arm,filename,vid,content_type,mb,cls,code_len,env
H_session_current,plan_consolidate-all-psoriasis-arms-into-one_b0cdaef0.json,6176d94e-2254-4c11-a403-ee13e52cee92,json,0.004,code_recoverable,5690,
E_genome_browser,PSORIASIS_PROJECT_NARRATIVE.md,be496398-cd79-4c36-a10e-5f568571b521,markdown,0.02,code_recoverable,19770,python
E_genome_browser,PSORIASIS_PROJECT_NARRATIVE.pdf,82a953d6-caf6-40cf-8c72-17589fe2adb3,pdf,0.198,code_recoverable,21595,python
E_genome_browser,GENOME_BROWSER_README.md,7ad91248-3ed6-46c0-a195-658b4db97a2f,markdown,0.003,no_code,0,python
E_genome_browser,stat3_quant_panel.png,5ae85cc3-8708-49d6-9ac8-7afbc06df8dd,png,0.049,code_recoverable,1858,psoriasis-r
E_genome_browser,stat3_exon23_zoom.png,a1322047-4c8f-4049-9fd9-595753f3907d,png,0.036,code_recoverable,2141,psoriasis-r
E_genome_browser,stat3_lead.png,d65222b8-5425-4907-af65-e5d5aad75ca0,png,0.043,code_recoverable,1612,psoriasis-r
E_genome_browser,module_th17_output.png,25993623-d4e0-4119-9a07-ea71bc6db5b6,png,0.085,code_recoverable,2924,psoriasis-r
E_genome_browser,module_il36.png,84a0dea1-beff-49f9-aea9-66c6df0eaad9,png,0.041,code_recoverable,2740,psoriasis-r
E_genome_browser,module_il1_inflammasome.png,53b8f9b4-6432-4e8e-b24a-82f697694a44,png,0.095,code_recoverable,2828,psoriasis-r
E_genome_browser,module_jakstat.png,9ee03089-5208-431b-bd7a-f22f15c4bd05,png,0.098,code_recoverable,2834,psoriasis-r
E_genome_browser,stat3_headline.png,9b472df1-1556-4cdc-8d47-2944f80247e4,png,0.102,code_recoverable,4840,psoriasis-r
E_genome_browser,RESUME_genome_browser.md,8a5ef896-69d8-40ac-b3f2-9cc768713a8b,markdown,0.003,no_code,0,python
I_lncRNA,lncRNA_curated_STAT3_IL1_linkage.csv,387f62b2-3703-4093-868d-1ae919f99409,csv,0.005,code_recoverable,5433,python
I_lncRNA,logcpm_rebuild_summary.csv,936a8b09-646d-4baa-b0d2-05e236c748a2,csv,0.0,code_recoverable,2613,psoriasis-r
I_lncRNA,lncRNA_target_linkage.csv,9ba3af86-cf5e-4067-a607-63d90b311b14,csv,0.311,code_recoverable,6517,psoriasis-r
I_lncRNA,coexpr_lnc_target_unadjusted.csv,4d7dc584-7d8b-474a-bfd9-1e81f198eb71,csv,11.072,code_recoverable,5393,psoriasis-r
I_lncRNA,coexpr_lnc_target_adjusted.csv,aecd8ee6-3b2f-4cc1-9899-0e41e7df181a,csv,10.94,code_recoverable,5269,psoriasis-r
I_lncRNA,fig_lncRNA_volcano_summary.png,655fe386-10f6-4697-b4f9-0ac3437dfaca,png,0.36,code_recoverable,6317,python
I_lncRNA,gencode_v26_annotation.csv,d1260db6-d2f1-4f52-ae7f-49a06bb05132,csv,3.352,code_recoverable,415,psoriasis-r
I_lncRNA,symbol_biotype_map.csv,29dba5e9-ff9d-4939-8814-6e53916d8d5d,csv,2.669,code_recoverable,1318,psoriasis-r
I_lncRNA,lncRNA_significant_ranked.csv,76020b2b-62fa-4ab0-85ff-7a93eedc2f9b,csv,0.333,code_recoverable,2412,psoriasis-r
I_lncRNA,meta_de_PPvsNN_4study_biotyped.csv,8c104c0b-9864-4f53-a73c-60a1c07899be,csv,3.595,code_recoverable,1706,psoriasis-r
I_lncRNA,plan_full-lncrna-arm-for-the-psoriasis-pp-vs_9961df5f.json,3649906c-8239-48cf-b072-2d85f08fd0bd,json,0.004,code_recoverable,251,
A3_pathway_TF,per_study_de_k4_primary.rds,e5879cf6-6314-465d-b9c9-d50c085859ea,octet-stream,2.594,code_recoverable,2381,psoriasis-r
A3_pathway_TF,gsea_perstudy_raw_k4.csv,b23eb2af-d867-42ae-946e-e56962bc3444,csv,2.358,code_recoverable,3278,psoriasis-r
A3_pathway_TF,gsea_perstudy_combined_k4.csv,14ab83e2-2b01-4adc-ab49-46822f785e57,csv,1.107,code_recoverable,4261,psoriasis-r
A3_pathway_TF,PATHWAY_METHODS_corrected.md,d9cd1eb9-9fa0-4d53-8cec-26e8332139d5,markdown,0.013,no_code,0,psoriasis-r
A3_pathway_TF,fig_pathway_corrected.png,8db6a21c-4017-46ee-a18b-9ef91433789e,png,0.477,code_recoverable,6994,python
A3_pathway_TF,pathway_nonredundant_top.csv,34744df6-93a9-49e9-8bee-23b367399056,csv,0.054,code_recoverable,1868,psoriasis-r
A3_pathway_TF,gsea_meta_primary_jointBH.csv,041bf1d6-9620-476b-8d7d-7c0a0d4f32d6,csv,1.767,code_recoverable,416,psoriasis-r
A3_pathway_TF,camera_perstudy_k4_full.rds,2b8808b1-4117-4389-b89c-9e3e7714bacf,octet-stream,0.005,code_recoverable,3690,psoriasis-r
A3_pathway_TF,camera_old_vs_corrected.csv,3fe47dcc-50b9-4798-a37b-55ebc614933d,csv,0.007,code_recoverable,5667,psoriasis-r
A3_pathway_TF,meta_pathway_camera_k4_corrected.csv,8808cf2b-f9e0-4bc6-bd07-a055029e32a3,csv,0.008,code_recoverable,5210,psoriasis-r
A3_pathway_TF,gsea_mega_vs_meta_hallmark.csv,4ab384c7-c2f5-480d-a288-32efe13c5883,csv,0.007,code_recoverable,1959,psoriasis-r
A3_pathway_TF,gsea_meta_k4_extended.csv,60bd528e-a57a-4933-8b05-46f02fe0fa92,csv,1.511,code_recoverable,1698,psoriasis-r
A3_pathway_TF,gsea_meta_k4_primary.csv,940b3249-ba6d-4f47-b396-cd2d2ca5a528,csv,1.527,code_recoverable,1640,psoriasis-r
A3_pathway_TF,plan_rebuild-the-psoriasis-pathway-enrichment_afa8da2d.json,39a171c0-7492-47dd-9232-6d6eda41fc0c,json,0.003,code_recoverable,461,
G_audit,PROJECT_AUDIT.md,deb27db7-30dc-4b47-a296-6d9c2648429f,markdown,0.019,no_code,0,python
G_audit,PROJECT_AUDIT.pdf,7bfeb4d5-a179-48e9-8b08-854249f5d9cd,pdf,0.1,terminal_output,0,python
H_session_current,NARRATIVE_walkthrough.md,e4262ba6-f07d-4625-8876-baf75ae1d141,markdown,0.015,no_code,0,python
H_session_current,lossofY_skin_check.md,0b8a5cf8-7034-4951-ba20-2514d6a57e4a,markdown,0.002,no_code,0,python
J_theory2_plan,plan_theory-2-sex-stratified-psoriasis-skin-a_5a65de78.json,014ef68d-493c-4617-a8cf-daabd6e2bf42,json,0.007,code_recoverable,287,
H_session_current,PROMPT_theory2_sex_mLOY.md,867c24d1-aeaa-48af-8683-4fbf2ce79e39,markdown,0.009,no_code,0,python
H_session_current,theory1_endothelial_IL1_and_blood_arm.md,1a3e3584-415c-45bc-9188-7a1375294dce,markdown,0.007,code_recoverable,7039,python
H_session_current,blood_arm_feasibility_recount3.csv,45450d34-5da3-4142-8d9c-eb9e16adbe6d,csv,0.0,code_recoverable,543,python
H_session_current,fig_theory1_endothelial_IL1.png,93ad7fe6-84c0-44d0-bdd3-a875cd9cad74,png,0.119,code_recoverable,4719,python
H_session_current,celltype_enrichment_BH.csv,29ba858c-3b9b-4d55-9ce6-06205c8bf6a6,csv,0.0,code_recoverable,3469,python
H_session_current,gradient_program_DE_BH.csv,77c061df-01c8-4c00-9518-2d1cf766b3e9,csv,0.425,code_recoverable,3662,python
H_session_current,WHITEPAPER.md,a00301d7-32f1-4fc7-a5d0-817a6254d788,markdown,0.014,no_code,0,python
H_session_current,CHECKPOINT.md,c36782fe-e2e8-4cc4-b1d9-ffe5f579aa4d,markdown,0.003,no_code,0,python
H_session_current,STAGING_MANIFEST.md,e5459792-61d5-4d35-ac44-592af14369b7,markdown,0.001,code_recoverable,1489,python
H_session_current,PLAN.md,b387e01f-0c7b-4a3d-ac40-0c90cbac3aeb,markdown,0.003,no_code,0,python
H_session_current,lab_notebook.md,0811daab-dd5a-4616-a401-d77bac74381b,markdown,0.005,no_code,0,python
H_session_current,references.md,f2324f1a-8204-497f-9f75-e0a319ec769b,markdown,0.003,no_code,0,python
H_session_current,METHODS.md,582c9948-6591-4a7b-9b58-9b24ba902ea1,markdown,0.005,no_code,0,python
H_session_current,DECISIONS_LOG.md,ea57d21d-1ed3-4fb7-a9dc-22a1e0889d68,markdown,0.006,no_code,0,python
H_session_current,COMPUTE.md,eb8ceb36-ea30-49b9-bab5-44ac04e527e1,markdown,0.002,code_recoverable,1505,python
H_session_current,ACCESS.md,eae6e78a-5e92-4951-b666-65bcb61356db,markdown,0.002,no_code,0,python
H_session_current,PROJECT_OVERVIEW.md,4ac7d7f6-d4d3-47f3-b9fb-eb74a947da20,markdown,0.002,code_recoverable,2522,python
