ligand,affinity,chembl_id,smiles,mw,logp,hbd,hba,tpsa,rot_bonds,qed,arom_rings,ro5_violations,max_phase,source,target,rank,heavy_atoms,lig_efficiency
CHEMBL3314024,-11.33,CHEMBL3314024,Cc1ccc(C(NC(=O)Cc2ccc3oc(C(O)c4c(C)noc4C)cc3c2)c2ccccc2)c(C)c1,494.6,6.18,2,5,88.5,7,0.282,5,1,,ChEMBL RORC bioactivity (pChEMBL>=7) + similarity analogs,RORC/RORgt (CHEMBL1741186),1,37,-0.306
CHEMBL3598073,-11.272,CHEMBL3598073,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C2COC2)cc1N1CC2CC2C1,527.0,4.61,1,5,79.7,6,0.507,3,1,,ChEMBL RORC bioactivity (pChEMBL>=7) + similarity analogs,RORC/RORgt (CHEMBL1741186),2,37,-0.305
CHEMBL3105678,-11.111,CHEMBL3105678,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(C#N)c3)c(C(=O)c3ccccc3)s2)cc1,515.6,4.89,1,7,117.0,8,0.334,4,1,,ChEMBL RORC bioactivity (pChEMBL>=7) + similarity analogs,RORC/RORgt (CHEMBL1741186),3,36,-0.309
CHEMBL3598061,-10.917,CHEMBL3598061,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)CO)nn2C(C)C)cc1N1CC2CC2C1,529.0,4.59,2,5,90.7,7,0.468,3,1,,ChEMBL RORC bioactivity (pChEMBL>=7) + similarity analogs,RORC/RORgt (CHEMBL1741186),4,37,-0.295
CHEMBL3581540,-10.833,CHEMBL3581540,CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cccc(Cl)c3)c(F)c2)CC1,480.0,3.89,0,4,60.9,6,0.63,2,0,,ChEMBL RORC bioactivity (pChEMBL>=7) + similarity analogs,RORC/RORgt (CHEMBL1741186),5,32,-0.339
CHEMBL3598053,-10.831,CHEMBL3598053,[2H]C([2H])([2H])N(C(=O)c1c(C)cccc1F)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CC2CC2C1,492.6,5.27,1,4,70.5,6,0.509,3,1,,ChEMBL RORC bioactivity (pChEMBL>=7) + similarity analogs,RORC/RORgt (CHEMBL1741186),6,36,-0.301
CHEMBL3598055,-10.786,CHEMBL3598055,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC=O)nn2C(C)C)cc1N1CC2CC2C1,499.0,5.22,1,4,70.5,7,0.453,3,1,,ChEMBL RORC bioactivity (pChEMBL>=7) + similarity analogs,RORC/RORgt (CHEMBL1741186),7,35,-0.308
CHEMBL3314028,-10.778,CHEMBL3314028,Cc1ccc(C(NC(=O)Cc2ccc(N(CC(=O)O)Cc3c(C)noc3C)cc2)c2ccccc2)cc1,497.6,5.14,2,5,95.7,10,0.315,4,1,,ChEMBL RORC bioactivity (pChEMBL>=7) + similarity analogs,RORC/RORgt (CHEMBL1741186),8,37,-0.291
CHEMBL3314023,-10.71,CHEMBL3314023,Cc1ccc(C(NC(=O)Cc2ccc(OCC(O)c3cccnc3C)cc2)c2ccccc2)c(C)c1,480.6,5.57,2,4,71.5,9,0.329,4,1,,ChEMBL RORC bioactivity (pChEMBL>=7) + similarity analogs,RORC/RORgt (CHEMBL1741186),9,36,-0.298
CHEMBL3596600,-10.672,CHEMBL3596600,CNC(=O)c1ccc(Cl)c(-c2ccc3c(c2)CCCN3C(=O)c2c(F)cccc2Cl)c1,457.3,5.75,1,2,49.4,3,0.545,3,1,,ChEMBL RORC bioactivity (pChEMBL>=7) + similarity analogs,RORC/RORgt (CHEMBL1741186),10,31,-0.344
