gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib
AADACL3,ENSG00000188984,arylacetamide deacetylase like 3,Unclassified,-6.062,1.16046507096926e-18,down,67,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
ACP7,ENSG00000183760,"acid phosphatase 7, tartrate resistant (putative)",Unclassified,3.435,3.70702294619857e-29,up,145,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
AGR3,ENSG00000173467,"anterior gradient 3, protein disulphide isomerase family member",Unclassified,-5.438,1.4442047661997402e-31,down,93,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
AKR1B10,ENSG00000198074,aldo-keto reductase family 1 member B10,Enzyme,5.748,1.24921493634178e-26,up,103,0,False,False,Discovery precedence,3,True,True,True,False,True,False,0,CHEMBL5983,81,129
AKR1B10P1,ENSG00000213606,aldo-keto reductase family 1 member B10 pseudogene 1,Unclassified,6.093,9.32667936312606e-36,up,70,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
AKR1B15,ENSG00000227471,aldo-keto reductase family 1 member B15,Unclassified,5.299,2.86056210423157e-50,up,71,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
AP000439.3,ENSG00000255774,long independently transcribed non-coding RNA 2747,Unclassified,-3.865,8.14487533292593e-141,down,35,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
ARL11,ENSG00000152213,ARF like GTPase 11,Unclassified,1.459,3.26022049510949e-132,up,69,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
ARSF,ENSG00000062096,arylsulfatase F,Unclassified,3.502,3.22130464684807e-181,up,23,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
ATP1A2,ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2,Unclassified,-1.79,3.0649519658687803e-97,down,149,0,False,False,Approved drug,6,False,True,False,False,True,False,6,,0,0
AURKA,ENSG00000087586,aurora kinase A,Enzyme,1.71,9.102257109857607e-11,up,1263,0,False,False,Advanced clinical,5,True,True,True,False,True,False,19,CHEMBL4722,2162,3340
AURKB,ENSG00000178999,aurora kinase B,Enzyme,1.489,1.33285131751699e-17,up,1097,0,False,False,Advanced clinical,5,True,True,False,False,True,False,18,CHEMBL2185,1422,2412
AWAT2,ENSG00000147160,acyl-CoA wax alcohol acyltransferase 2,Enzyme,-5.175,9.32897987524071e-17,down,115,0,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL2375204,0,0
BATF2,ENSG00000168062,basic leucine zipper ATF-like transcription factor 2,Unclassified,2.973,2.1641190605969e-49,up,87,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0
BCL3,ENSG00000069399,BCL3 transcription coactivator,Unclassified protein,1.298,2.5120626999321494e-55,up,63,2,True,True,Discovery precedence,3,False,True,False,False,False,False,0,CHEMBL4523197,4,10
BEST2,ENSG00000039987,bestrophin 2,Unclassified,-2.969,2.0665643256879495e-82,down,106,0,False,False,Discovery precedence,3,True,False,False,False,False,False,0,,0,0
BIRC3,ENSG00000023445,baculoviral IAP repeat containing 3,Enzyme,1.379,1.1487760560601e-73,up,55,2,True,True,Advanced clinical,5,False,True,False,False,True,False,1,CHEMBL5335,189,223
C10orf99,ENSG00000188373,G protein-coupled receptor 15 ligand,Unclassified,5.233,1.07765279477971e-39,up,108,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
CAMK2B,ENSG00000058404,calcium/calmodulin dependent protein kinase II beta,Enzyme,-2.602,7.73598408981174e-92,down,109,0,False,False,Discovery precedence,3,True,True,False,False,True,False,0,CHEMBL4121,23,52
CCL2,ENSG00000108691,C-C motif chemokine ligand 2,Secreted protein,1.744,1.08844768230025e-29,up,113,2,True,True,Discovery precedence,3,False,True,False,False,False,True,1,CHEMBL1649052,32,56
CCL20,ENSG00000115009,C-C motif chemokine ligand 20,Unclassified,3.425,0.0154127908989544,up,61,3,True,True,Discovery precedence,3,True,False,False,False,False,False,0,,0,0
CCL3,ENSG00000277632,C-C motif chemokine ligand 3,Unclassified,3.344,5.4735580084806e-57,up,141,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
CCR7,ENSG00000126353,C-C motif chemokine receptor 7,Membrane receptor,2.694,4.16081205718351e-136,up,32,1,True,False,Discovery precedence,3,True,False,False,False,True,False,0,CHEMBL4594,20,27
CD7,ENSG00000173762,CD7 molecule,Unclassified,2.069,2.28536057569943e-57,up,129,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0
CD83,ENSG00000112149,CD83 molecule,Unclassified,1.385,7.07470912761585e-77,up,100,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0
CDK1,ENSG00000170312,cyclin dependent kinase 1,Enzyme,1.399,6.08580502904221e-09,up,1636,0,False,False,Advanced clinical,5,True,True,False,False,True,False,12,CHEMBL308,593,1201
CHI3L2,ENSG00000064886,chitinase 3 like 2,Unclassified protein,4.384,3.730363786037929e-256,up,3,0,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL6066218,2,2
CHP2,ENSG00000166869,calcineurin like EF-hand protein 2,Unclassified,-2.323,2.93025328028022e-183,down,29,0,False,False,Druggable pocket,2,False,False,False,True,False,False,0,,0,0
CHRM4,ENSG00000180720,cholinergic receptor muscarinic 4,Membrane receptor,-4.58,7.81425433384877e-39,down,146,0,False,False,Approved drug,6,True,True,False,False,True,False,10,CHEMBL1821,886,1932
CRYAB,ENSG00000109846,crystallin alpha B,Unclassified protein,-1.292,1.3806465224838297e-126,down,82,0,False,False,Discovery precedence,3,True,True,False,False,False,False,0,CHEMBL3621022,4,6
CTA-384D8.34,ENSG00000273272,long independently transcribed non-coding RNA 3232,Unclassified,4.413,3.9796203329959e-143,up,15,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
CTLA4,ENSG00000163599,cytotoxic T-lymphocyte associated protein 4,Surface antigen,3.125,2.21057928611993e-101,up,68,0,False,False,Discovery precedence,3,True,False,False,False,False,True,6,CHEMBL2364164,0,0
CXCL10,ENSG00000169245,C-X-C motif chemokine ligand 10,Secreted protein,4.082,1.33942720004152e-20,up,60,2,True,True,Discovery precedence,3,True,True,True,False,False,True,2,CHEMBL3712964,0,0
CXCL11,ENSG00000169248,C-X-C motif chemokine ligand 11,Unclassified,3.184,2.43369990036028e-08,up,117,2,True,True,Discovery precedence,3,True,False,False,False,False,False,0,,0,0
CXCL13,ENSG00000156234,C-X-C motif chemokine ligand 13,Unclassified,5.544,4.28716710382635e-76,up,25,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0
CXCL17,ENSG00000189377,C-X-C motif chemokine ligand 17,Unclassified,3.16,1.80086204094958e-62,up,140,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
CXCL9,ENSG00000138755,C-X-C motif chemokine ligand 9,Unclassified,4.294,2.60678646314089e-05,up,76,2,True,True,Unknown,0,False,False,False,False,False,False,0,,0,0
CXCR1,ENSG00000163464,C-X-C motif chemokine receptor 1,Membrane receptor,1.172,0.0154184446213615,up,2077,0,False,False,Advanced clinical,5,False,True,False,False,True,False,5,CHEMBL4029,122,231
CXCR2,ENSG00000180871,C-X-C motif chemokine receptor 2,Membrane receptor,2.416,1.14090994204271e-27,up,243,1,False,True,Advanced clinical,5,True,True,False,False,True,False,7,CHEMBL2434,697,1082
DBX2,ENSG00000185610,developing brain homeobox 2,Unclassified,-3.508,1.95192292335285e-73,down,90,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
DEFB103B,ENSG00000177243,defensin beta 103B,Unclassified,5.334,2.9804155742008997e-12,up,75,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
