gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib,s_effect,s_signif,s_pathway,s_tract,s_chem,s_drugs,s_struct,druggability_score,druggability_rank,disease_axis,on_psoriasis_axis,struct_ready,is_lead
NOS2,ENSG00000007171,nitric oxide synthase 2,Enzyme,5.196,8.03807898512038e-38,up,27,2,True,True,Advanced clinical,5,True,True,True,False,True,False,4,CHEMBL4481,260,571,0.4365667745640597,0.1391191724405907,0.6666666666666666,0.8333333333333334,0.605710566030154,0.4731974454383394,0.75,0.5705786148239542,1,Innate/antimicrobial,True,True,False
HRH3,ENSG00000101180,histamine receptor H3,Membrane receptor,4.329,9.33831457451687e-102,up,47,0,False,False,Approved drug,6,True,True,False,False,True,False,16,CHEMBL264,4896,5880,0.3460373812258536,0.3912121429919797,0.0,1.0,0.924849867048811,0.8330046822133071,0.5,0.5551747316911453,2,,False,True,False
JAK3,ENSG00000105639,Janus kinase 3,Enzyme,1.545,0.0001172658014326,up,738,1,False,True,Approved drug,6,True,True,True,False,True,False,20,CHEMBL2148,6069,8832,0.0553409209564581,0.0083546257790886,0.3333333333333333,1.0,0.948224345537425,0.8951325360116483,0.75,0.5546667466515418,3,JAK-STAT,True,True,True
REN,ENSG00000143839,renin,Enzyme,3.423,2.36356916688984e-38,up,83,1,False,True,Approved drug,6,True,True,True,False,True,False,4,CHEMBL286,3205,4029,0.2514357314399081,0.1412151890442856,0.3333333333333333,1.0,0.8787401934757724,0.4731974454383394,0.75,0.546936771014191,4,,False,True,False
MMP12,ENSG00000262406,matrix metallopeptidase 12,Enzyme,5.339,1.65261179448983e-73,up,28,1,True,False,Advanced clinical,5,True,True,True,False,False,False,3,CHEMBL4393,408,594,0.4514983815391041,0.2798316696893919,0.3333333333333333,0.8333333333333334,0.6546064250779492,0.4075900941810124,0.75,0.5381464246841745,5,Eicosanoid/protease,True,True,False
HTR3A,ENSG00000166736,5-hydroxytryptamine receptor 3A,Ion channel,4.233,1.2231239054529601e-60,up,79,0,False,False,Approved drug,6,True,True,False,False,True,False,29,CHEMBL1899,815,1058,0.3360133653544951,0.2290884795025903,0.0,1.0,0.729790586894419,1.0,0.5,0.5305478937314502,6,,False,True,False
RORC,ENSG00000143365,RAR related orphan receptor C,Transcription factor,-2.473,9.30744833846091e-227,down,7,1,False,True,Phase 1,4,True,True,True,False,True,False,0,CHEMBL1741186,9766,14698,0.1522397410462566,0.8840883623053859,0.3333333333333333,0.6666666666666666,1.0,0.0,0.75,0.5226604235316392,7,Th17/IL-17 axis,True,True,True
MMP9,ENSG00000100985,matrix metallopeptidase 9,Enzyme,1.787,0.0061697067256682,up,290,2,True,True,Advanced clinical,5,True,True,True,False,True,True,5,CHEMBL321,1809,2434,0.0806097942988409,0.0015684167831115,0.6666666666666666,0.8333333333333334,0.8165096660163322,0.5268025545616607,0.75,0.5217287727904573,8,Eicosanoid/protease,True,True,False
PLK1,ENSG00000166851,polo like kinase 1,Enzyme,1.408,2.19308852825916e-05,up,325,2,False,True,Advanced clinical,5,True,True,True,False,True,False,8,CHEMBL3024,751,1118,0.0410358149733737,0.011225558141636,0.6666666666666666,0.8333333333333334,0.72089974944996,0.646015014942309,0.75,0.5185966187326092,9,Proliferation,True,True,False
IDO1,ENSG00000131203,"indoleamine 2,3-dioxygenase 1",Enzyme,3.086,2.58706871918645e-94,up,48,1,True,False,Advanced clinical,5,True,True,True,False,True,False,2,CHEMBL4685,1911,3581,0.2162472590581601,0.3618664748434554,0.3333333333333333,0.8333333333333334,0.8224772695772136,0.3230075074711545,0.75,0.515639990190821,10,Tryptophan/immunometab,True,True,False
MMP1,ENSG00000196611,matrix metallopeptidase 1,Enzyme,3.206,0.0108891679622064,up,304,1,False,True,Approved drug,6,True,True,False,True,True,False,4,CHEMBL332,971,1818,0.2287772788973582,0.0005955684822273,0.3333333333333333,1.0,0.7488333572753335,0.4731974454383394,0.75,0.5103950747450325,11,Eicosanoid/protease,True,True,False
CHRM4,ENSG00000180720,cholinergic receptor muscarinic 4,Membrane receptor,-4.58,7.81425433384877e-39,down,146,0,False,False,Approved drug,6,True,True,False,False,True,False,10,CHEMBL1821,886,1932,0.3722460060561763,0.143110496221914,0.0,1.0,0.7388721983927208,0.7050150296265741,0.5,0.4924440079990568,12,,False,True,False
IL17A,ENSG00000112115,interleukin 17A,Secreted protein,5.604,7.560101103235945e-125,up,11,1,False,True,Discovery precedence,3,True,True,False,False,False,True,11,CHEMBL3390822,28,53,0.4791688420173332,0.4822620552541294,0.3333333333333333,0.5,0.3665377272204881,0.7305976016521669,0.5,0.4807780776583341,13,Th17/IL-17 axis,True,True,False
AURKA,ENSG00000087586,aurora kinase A,Enzyme,1.71,9.102257109857607e-11,up,1263,0,False,False,Advanced clinical,5,True,True,True,False,True,False,19,CHEMBL4722,2162,3340,0.0725696982353555,0.0324462260946491,0.0,0.8333333333333334,0.8359037953712647,0.8807875396193517,0.75,0.4687923863459292,14,Proliferation,True,True,False
S100A9,ENSG00000163220,S100 calcium binding protein A9,Unclassified protein,7.94,3.01369564684045e-21,up,5,3,True,True,Discovery precedence,3,True,True,False,False,False,False,0,CHEMBL4296265,2,17,0.7230865615537225,0.0737686889918939,1.0,0.5,0.119586419404833,0.0,0.5,0.4583581940872773,15,Innate/antimicrobial,True,True,False
CXCR2,ENSG00000180871,C-X-C motif chemokine receptor 2,Membrane receptor,2.416,1.14090994204271e-27,up,243,1,False,True,Advanced clinical,5,True,True,False,False,True,False,7,CHEMBL2434,697,1082,0.1462879816226375,0.0990898071340589,0.3333333333333333,0.8333333333333334,0.7127883822663555,0.6113851412715186,0.5,0.45545676970604,16,Chemokine/leukocyte,True,True,False
