gene,degree,betweenness,direction,logFC,protein_class,ot_sm_bucket,community_name,evidence_rank
CDK1,89,0.0340209153633106,up,1.399,Enzyme,Advanced clinical,Cell cycle / proliferation,1636.0
CD8A,86,0.0650705296134385,up,1.271,,,Immune / JAK-STAT / chemokine,843.0
STAT1,81,0.1018596204033548,up,1.862,Transcription factor,Discovery precedence,Interferon / antiviral,142.0
CCNB1,77,0.0060033521653583,up,1.931,,,Cell cycle / proliferation,437.0
CCNA2,74,0.0015713448920249,up,1.441,,,Cell cycle / proliferation,1646.0
BUB1,72,0.0012796866985209,up,1.31,,,Cell cycle / proliferation,1923.0
BIRC5,72,0.0310387620237688,up,1.482,,,Cell cycle / proliferation,288.0
BUB1B,71,0.0023569057543824,up,1.06,,,Cell cycle / proliferation,2236.0
CDC20,71,0.00335067938011,up,1.582,,,Cell cycle / proliferation,1466.0
AURKB,70,0.0014136122872677,up,1.489,Enzyme,Advanced clinical,Cell cycle / proliferation,1097.0
DLGAP5,70,0.0020958208933955,up,1.575,,,Cell cycle / proliferation,1628.0
NUF2,67,0.0005063789198022,up,1.151,,,Cell cycle / proliferation,2118.0
PLK1,67,0.0041042432530638,up,1.408,Enzyme,Advanced clinical,Cell cycle / proliferation,325.0
MELK,67,0.0010672424601959,up,1.457,,,Cell cycle / proliferation,1809.0
KIF2C,66,0.0013142498721757,up,1.489,,,Cell cycle / proliferation,1469.0
CCNB2,65,0.0009004637300637,up,1.442,,,Cell cycle / proliferation,1380.0
KIF20A,65,0.0016715481462706,up,1.565,,,Cell cycle / proliferation,1651.0
PBK,64,0.0042833020949205,up,1.457,,,Cell cycle / proliferation,1272.0
TOP2A,64,0.0013077577228444,up,1.117,,,Cell cycle / proliferation,2114.0
CDCA8,64,0.0009416746083982,up,1.065,,,Cell cycle / proliferation,1867.0
CDC45,64,0.0062851436317343,up,1.517,,,Cell cycle / proliferation,1326.0
CXCL10,63,0.0161975173022546,up,4.082,Secreted protein,Discovery precedence,Immune / JAK-STAT / chemokine,60.0
STAT3,63,0.1113686166051475,up,1.246,Transcription factor,Discovery precedence,Immune / JAK-STAT / chemokine,825.0
TPX2,61,0.0024046970530733,up,1.085,,,Cell cycle / proliferation,980.0
UBE2C,61,0.0021615035539215,up,1.394,,,Cell cycle / proliferation,1582.0
KIF4A,60,0.0012133561228037,up,1.237,,,Cell cycle / proliferation,2038.0
MAD2L1,60,0.0004097556116441,up,1.161,,,Cell cycle / proliferation,1275.0
ASPM,59,0.0004312003619999,up,1.005,,,Cell cycle / proliferation,2377.0
TTK,59,0.0005161875421063,up,1.235,,,Cell cycle / proliferation,1999.0
CEP55,59,0.000283296566413,up,1.577,,,Cell cycle / proliferation,601.0
NCAPG,58,0.0004009102098145,up,1.013,,,Cell cycle / proliferation,2322.0
NUSAP1,58,0.0009260155577283,up,1.08,,,Cell cycle / proliferation,1985.0
HJURP,57,0.0017569079779905,up,1.294,,,Cell cycle / proliferation,1883.0
AURKA,56,0.0333769632514001,up,1.71,Enzyme,Advanced clinical,Cell cycle / proliferation,1263.0
CDCA5,55,0.0025991099743725,up,1.195,,,Cell cycle / proliferation,1946.0
HMMR,54,0.0010344614042458,up,1.092,,,Cell cycle / proliferation,2287.0
CENPE,54,0.0003104712463018,up,1.267,,,Cell cycle / proliferation,2058.0
RRM2,54,0.0087003852747839,up,1.937,Enzyme,Approved drug,Cell cycle / proliferation,570.0
ZWINT,53,0.0007477231423803,up,1.19,,,Cell cycle / proliferation,1692.0
FOXM1,52,0.0155411095920909,up,1.394,,,Cell cycle / proliferation,652.0
FN1,52,0.1378718190992048,down,-1.273,,,ECM / matrix remodeling,824.0
CCR7,51,0.0064124559851578,up,2.694,Membrane receptor,Discovery precedence,Immune / JAK-STAT / chemokine,32.0
KIF23,51,0.0027347142313768,up,1.338,,,Cell cycle / proliferation,1410.0
NDC80,50,0.00012953164265,up,1.271,,,Cell cycle / proliferation,1939.0
PRC1,50,0.000450128656555,up,1.06,,,Cell cycle / proliferation,1479.0
EXO1,49,0.0044524791058173,up,1.25,,,Cell cycle / proliferation,1806.0
CCL2,49,0.0382786267803801,up,1.744,Secreted protein,Discovery precedence,Immune / JAK-STAT / chemokine,113.0
NEK2,49,0.0003358585369156,up,1.141,,,Cell cycle / proliferation,2143.0
MCM10,48,0.0075196951650864,up,1.512,,,Cell cycle / proliferation,1698.0
PTTG1,48,0.0003231411611295,up,1.315,,,Cell cycle / proliferation,335.0
CCL5,47,0.014593790203451,up,1.211,,,Immune / JAK-STAT / chemokine,353.0
KIF14,46,0.0003892594332706,up,1.372,,,Cell cycle / proliferation,1866.0
NCAPH,45,0.0001546769114709,up,1.45,,,Cell cycle / proliferation,1554.0
CCR5,44,0.0194746763290602,up,1.605,,,Immune / JAK-STAT / chemokine,312.0
DDX58,44,0.0122510816183229,up,1.224,,,Interferon / antiviral,1975.0
IFIH1,44,0.0031622630841794,up,1.522,Enzyme,Discovery precedence,Interferon / antiviral,98.0
CXCR4,44,0.0274543584209829,up,2.491,,,Immune / JAK-STAT / chemokine,1066.0
SPAG5,44,8.22117372609023e-05,up,1.128,,,Cell cycle / proliferation,1733.0
ISG15,44,0.0057758303620632,up,2.861,,,Interferon / antiviral,253.0
CD2,42,0.0033728835934455,up,1.81,,,Immune / JAK-STAT / chemokine,565.0
CTLA4,42,0.0106668163918227,up,3.125,Surface antigen,Discovery precedence,Immune / JAK-STAT / chemokine,68.0
IL17A,42,0.0097421470536242,up,5.604,Secreted protein,Discovery precedence,Immune / JAK-STAT / chemokine,11.0
CDKN3,41,0.0002494813932894,up,1.42,,,Cell cycle / proliferation,1507.0
CXCL9,41,0.0025705362479203,up,4.294,Unclassified,Unknown,Immune / JAK-STAT / chemokine,76.0
IRF7,41,0.0128806893878135,up,2.256,,,Interferon / antiviral,263.0
TRIP13,41,5.337637414186655e-05,up,1.154,,,Cell cycle / proliferation,1751.0
FCGR3A,40,0.0154130337572378,up,1.993,,,Immune / JAK-STAT / chemokine,1329.0
KIF18A,40,0.000255859752911,up,1.122,,,Cell cycle / proliferation,2228.0
PCLAF,40,0.0002141683890302,up,1.456,,,Cell cycle / proliferation,1724.0
IFIT3,40,0.0008258367414269,up,2.186,,,Interferon / antiviral,422.0
CDC25C,40,0.0243642530848453,up,1.133,,,Cell cycle / proliferation,1911.0
CDC6,40,0.0028581650499598,up,1.445,,,Cell cycle / proliferation,1570.0
GZMB,39,0.0147733262942405,up,3.948,Enzyme,Druggable pocket,Immune / JAK-STAT / chemokine,30.0
IL7R,39,0.0082983544598283,up,1.984,Unclassified,Unknown,Immune / JAK-STAT / chemokine,51.0
CDCA2,39,0.0003169317575653,up,1.171,,,Cell cycle / proliferation,2185.0
MX1,38,0.0014919100275943,up,3.29,,,Interferon / antiviral,216.0
IFI44,38,0.000775624528381,up,3.332,,,Interferon / antiviral,207.0
OAS1,37,0.000629962761294,up,2.471,Unclassified,Discovery precedence,Interferon / antiviral,126.0
CD28,37,0.0036675824832484,up,1.76,,,Immune / JAK-STAT / chemokine,266.0
