gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction,in_leading_edge,leading_edge_sets,stat3_target,in_coexpr_module,absLFC,neglog10FDR,robustness,pathway_support,evidence_score,evidence_rank
VNN3,2,8.081,0.276,29.31,8.11432329718391e-189,3.7989638812755595e-185,0.0,0.0,0.41,up,False,,False,True,8.081,184.42033483548906,2.0,1,4.913838635378073,1
IL36A,2,10.061,0.488,20.62,1.81642756890757e-94,7.206907281450409e-92,0.0,0.0,0.31,up,False,,False,True,10.061,91.14225106520482,2.0,1,4.454355529898126,2
CHI3L2,3,4.384,0.127,34.48,1.5935596505779501e-260,3.7303637860379297e-256,0.0,0.0,1.89,up,False,,False,False,4.384,255.42824881361625,3.0,0,4.172869882385013,3
S100A12,2,8.802,0.453,19.42,5.24611796343836e-84,1.63741833874838e-81,0.0,0.0,0.05,up,True,COMPLEMENT,False,False,8.802,80.78584034991042,2.0,1,3.8889961738508356,4
S100A9,3,7.94,0.81,9.8,1.16381770461949e-22,3.01369564684045e-21,89.7,1.4285,19.39,up,True,COMPLEMENT,True,True,7.94,20.520900609211797,0.30899999999999994,3,3.5634738994607154,5
PRSS27,2,4.192,0.13,32.15,8.10747824944692e-227,6.32626527804343e-223,0.0,0.0,0.19,up,False,,False,False,4.192,222.19885260085297,2.0,0,3.510156156527324,6
RORC,2,-2.473,0.076,-32.44,7.952025578590209e-231,9.30744833846091e-227,0.0,0.0,0.02,down,False,,True,False,2.473,226.03116936567994,2.0,1,3.475531010421154,7
RP4-529N6.2,2,5.24,0.2,26.2,2.90517663762613e-151,5.66727332584917e-148,0.0,0.0,0.0,up,False,,False,True,5.24,147.24662584134728,2.0,1,3.468166640869218,8
DEFB4B,2,9.769,0.594,16.43,1.0746660377942601e-60,1.62302305024037e-58,0.0,0.0,0.01,up,False,,False,False,9.769,57.78967531226181,2.0,0,3.426190157165745,9
S100A7A,3,9.923,0.956,10.38,3.0502275488988804e-25,9.35816208285372e-24,72.9,1.7049,7.37,up,False,,False,True,9.923,23.028809437122103,0.8129999999999997,1,3.3460901691079012,10
IL17A,2,5.604,0.233,24.05,8.07392573714806e-128,7.560101103235949e-125,0.0,0.0,0.67,up,False,,True,False,5.604,124.12147239652474,2.0,1,3.3101259730575867,11
AL591704.7,2,5.231,0.185,28.35,8.0509929187635e-177,2.0940632581703804e-173,0.0,0.0,0.11,up,False,,False,False,5.231,172.67901020314457,2.0,0,3.261997996955801,12
