lncRNA,evidence_tier,curated_pathway,curated_mechanism,disease_context,direction_reported,in_meta,logFC,my_direction,my_FDR_sig,FDR,I2,k,STAT3_coexpr_r,STAT3_coexpr_fdr,STAT3_coexpr_k,coexpr_STAT3_confirms,direction_concordance,source
SH3PXD2A-AS1,1_triple_convergent,STAT3,STAT3/SH3PXD2A-AS1/miR-125b/STAT3 positive-feedback loop; enhances STAT3 expression,psoriasis,up,True,1.61864139919102,up_in_PP,True,6.45766627312231e-05,94.903796818489,4.0,0.443173808153676,1.5435614100743099e-13,4.0,True,concordant,Yang 2021 Cytokine 144:155535
AGAP2-AS1,1_triple_convergent,STAT3 / AKT,ceRNA to AKT3 via miR-424-5p (psoriasis); binds WTAP to stabilize STAT3 mRNA → IL6/STAT3 (cancer),psoriasis + cancer,up,True,0.564622961999134,up_in_PP,True,2.11877026483386e-13,42.3732542342682,4.0,0.339357725112338,7.97054799885201e-08,4.0,True,concordant,Implications review 2023; Zhang 2023 (GC)
XIST,3_two_lines,STAT3 / NF-kB (review),"Upregulated in psoriatic lesions; miRNA sponge, promotes keratinocyte hyperproliferation",psoriasis,up(review),True,-1.76039578926664,down_in_PP,True,0.0071581398843071,0.0,3.0,-0.179601653588007,0.00975946347219,3.0,False,DISCORDANT,ncRNA 2025 review
LINC00958,3_two_lines,STAT3 (cancer) / proliferation,"Induced in psoriasis epidermis, modulates epidermal proliferation; JAK/STAT3 in cancer",psoriasis,up,True,1.06622785607624,up_in_PP,True,3.20454737090332e-08,61.6056541781953,4.0,0.118154849389527,0.102185347192236,4.0,False,concordant,Sobolev 2022 JID; Chen 2020 TSCC
LINC01094,3_two_lines,STAT3 / AKT,IL6-JAK-STAT3 GSEA association; PTEN/AKT via AZGP1 (cancer),cancer,up,True,1.1061184878885,up_in_PP,True,1.49198842499802e-37,27.6715010171308,4.0,-0.0126577104088983,0.888242435438126,4.0,False,concordant,Chen 2023 Cancers
LINC01206,3_two_lines,(cell cycle),Enhances keratinocyte cell-cycle progression via EHF (overexpressed in psoriasis),psoriasis,up,True,4.0132131383485,up_in_PP,True,0.0105443929032013,97.6662821387125,3.0,0.37156361813374,3.34210916490185e-09,3.0,True,concordant,2024 (LINC01026/01206)
MIR181A2HG,3_two_lines,(proliferation),miR-223-3p/SOX6 sponge; inhibits keratinocyte proliferation (down in psoriasis),psoriasis,down,True,-0.926359951595404,down_in_PP,True,0.0438366955371974,73.0823125979346,2.0,-0.351818547154926,0.0016668888347214,2.0,True,concordant,2024
HOXC13-AS,4_DE_only,(differentiation),Skin-specific; regulates epidermal differentiation via COPA/Golgi-ER transport,psoriasis/skin,up,True,0.764131794943739,up_in_PP,True,1.9827943077469e-15,36.3947955107085,4.0,0.270185179886634,3.58450012399518e-05,4.0,False,concordant,Zhang 2023 CDD
UCA1,4_DE_only,NF-kB,"Suppresses METTL14, activates HIF-1a/NF-kB; promotes keratinocyte inflammation",psoriasis,up,True,1.62215314693613,up_in_PP,True,4.62740021156329e-09,74.0742404230042,4.0,0.0185183808333217,0.833860267567843,4.0,False,concordant,Hu 2023 CDD
MALAT1,5_curated_only_not_DE,STAT3 / Th17 / output,miR-330-5p/S100A7 and miR-125b/BRD4 (IL-17) axes; modulates Th17; targets NF-κB/STAT3/PI3K-AKT,psoriasis,up,True,-0.0369272393597312,down_in_PP,False,0.8842153576282,80.6980542100983,4.0,,,,False,DISCORDANT,Zhou 2022 Autoimmunity; Wang 2024 JBN
HOTAIR,5_curated_only_not_DE,STAT3 / NF-kB (review),"Upregulated; promotes proliferation, inhibits apoptosis, amplifies inflammation",psoriasis,up,True,0.870472924712834,up_in_PP,False,0.419373541349177,96.168057772475,4.0,,,,False,concordant,ncRNA 2025 review
MIR31HG,5_curated_only_not_DE,NF-kB,Promotes keratinocyte hyperproliferation and inflammation,psoriasis,up,True,1.24249390861516,up_in_PP,False,0.675895510141567,96.6285374547225,2.0,,,,False,concordant,review
NEAT1,5_curated_only_not_DE,(homeostasis),"Downregulated; tumor-suppressor-like, pro-apoptotic/anti-inflammatory in epidermis",psoriasis,down,True,-0.0217330371978109,down_in_PP,False,0.935249773847414,68.2183578344754,4.0,,,,False,concordant,ncRNA 2025 review
MEG3,5_curated_only_not_DE,AKT/apoptosis,MEG3/miR-21/caspase-8; inhibits keratinocyte proliferation (down in psoriasis),psoriasis,down,True,-0.61349186071866,down_in_PP,False,0.223469179391401,88.2203126985923,4.0,,,,False,concordant,Jia 2019
H19,5_curated_only_not_DE,AKT/mTOR (S1PR3-STAT3 upstream),H19/miR-766-3p/S1PR3 via AKT/mTOR; down in psoriasis promotes proliferation,psoriasis,down,True,-2.00390352549661,down_in_PP,False,0.0607118773660759,94.0987501690051,4.0,,,,False,concordant,He 2021
KLHDC7B-DT,5_curated_only_not_DE,(proliferation/inflam),ILF2-dependent; hyperproliferation and skin inflammation,psoriasis,up,False,,not_quantified,False,,,,,,,False,not_quantified,Yin 2022 Front Genet
