rank,gene,gene_types,logFC,direction,SE,P,FDR,FDR_lncRNA,I2,I2_flag,k,k_flag,confidence
1,AP001610.5,antisense,3.10490957855199,up_in_PP,0.243459629019869,2.98887347517166e-37,3.63626927353166e-35,4.78994649150658e-35,48.8415761635544,low,4,all4,A_high
2,RP11-321G12.1,lincRNA,-1.98278005914506,down_in_PP,0.224264224241609,9.46385379981655e-19,3.11263915919951e-17,3.65625851712556e-17,41.1972383327248,low,3,k3,A_high
3,RP11-706C16.7,antisense,1.90770534764615,up_in_PP,0.183229723376551,2.19617370662105e-25,1.19393721117867e-23,1.41833486993273e-23,37.0203219994352,low,3,k3,A_high
4,AC091177.1,antisense,1.8348579919868,up_in_PP,0.0628397728284756,1.99723832947275e-187,2.5027393506623e-183,8.64205025162859e-184,6.22566287601577,low,3,k3,A_high
5,XIST,lincRNA,-1.76039578926664,down_in_PP,0.576850764866821,0.00227522712945458,0.00715813988430713,0.00783830237989647,0,low,3,k3,A_high
6,TSIX,lincRNA,-1.66137140198697,down_in_PP,0.545786172532304,0.00233457567790064,0.00731638559954305,0.00798554067847911,0,low,4,all4,A_high
7,RP11-670E13.6,lincRNA,1.52274224621881,up_in_PP,0.184292963391361,1.4251245698691e-16,3.86960693066732e-15,4.3122475621144e-15,40.9635159580338,low,3,k3,A_high
8,RP1-27K12.4,antisense,-1.4484053785117,down_in_PP,0.1285080009772,1.82619366201954e-29,1.33434593462198e-27,1.61264081133848e-27,0,low,3,k3,A_high
9,SOX2-OT,sense_overlapping,-1.42414632954649,down_in_PP,0.108796889356039,3.75832985995097e-39,4.88037631865758e-37,6.7759555433366e-37,0,low,3,k3,A_high
10,CH17-140K24.7,antisense,-1.41748632307418,down_in_PP,0.0947250119359627,1.25781990199195e-50,2.6490321330859e-48,3.62839114394611e-48,0,low,3,k3,A_high
11,RP11-632L2.2,antisense,-1.41134949674873,down_in_PP,0.147002022089461,7.92609693889791e-22,3.43674466232975e-20,4.03484958289544e-20,0,low,3,k3,A_high
