lncRNA,logFC,direction,FDR,I2,k,confidence,STAT3_r,STAT3_fdr,STAT3_k,IL1_inflammasome_topr,IL36_topr,STAT3_JAK_STAT_topr,Th17_output_topr,IL1_inflammasome_nsig,IL36_nsig,STAT3_JAK_STAT_nsig,Th17_output_nsig,STAT3_linked
AC091177.1,1.8348579919868,up_in_PP,2.5027393506623003e-183,6.22566287601577,3,A_high,0.434650062120474,9.40600724192047e-13,3.0,0.377,0.576,0.435,0.492,5.0,4.0,8.0,6.0,True
GDNF-AS1,-1.40665726479377,down_in_PP,2.13864788404732e-21,0.0,4,A_high,-0.42814701990429,1.46805676826363e-12,4.0,-0.36,-0.345,-0.428,-0.39,6.0,3.0,3.0,5.0,True
RP11-519G16.5,1.2718155028336,up_in_PP,3.44673577292572e-32,0.0,3,A_high,0.550180055720452,5.19106385181678e-22,3.0,0.439,0.491,0.55,0.549,9.0,5.0,9.0,6.0,True
CTD-2008P7.9,-1.08735256962282,down_in_PP,1.30664668689892e-21,49.8414619112438,3,A_high,-0.489484813562196,1.24771233761007e-16,3.0,0.414,-0.359,-0.489,0.379,8.0,4.0,6.0,7.0,True
RP11-334E6.3,0.684562199636027,up_in_PP,1.8431958495034e-13,2.71766154296692,4,A_high,0.468408744523696,2.59821653293004e-15,4.0,0.412,0.481,0.468,0.353,5.0,5.0,6.0,5.0,True
RP4-718D20.3,0.594466863383142,up_in_PP,1.2539866123356401e-09,38.0714985523603,3,A_high,0.427721907615425,2.55936902026208e-12,3.0,0.432,0.353,0.428,0.451,6.0,3.0,6.0,5.0,True
CTD-2267D19.3,0.548715042672214,up_in_PP,5.2063419078225604e-09,42.8341243156432,4,A_high,0.418803356307672,5.55214172566697e-12,4.0,0.721,0.315,-0.481,0.385,8.0,3.0,6.0,5.0,True
RP11-87F15.2,0.457764075634611,up_in_PP,2.38817676671825e-10,33.2309988746113,4,A_high,0.443068084526086,1.56852288098849e-13,4.0,0.516,0.293,0.443,0.339,8.0,3.0,6.0,4.0,True
RP11-799B12.4,-0.450743533414471,down_in_PP,1.47245978288674e-16,0.0,4,A_high,-0.426385127513411,1.88103589840559e-12,4.0,0.315,-0.341,-0.426,-0.253,7.0,3.0,8.0,5.0,True
RP11-128P10.1,0.287129015853125,up_in_PP,0.0002114476961428,0.0,4,A_high,0.475184124666699,8.07828312432958e-16,4.0,0.286,0.284,0.475,0.25,3.0,3.0,7.0,3.0,True
