gene_name,n_ids,any_pc,any_lnc,gene_types,biotype
BX004987.1,1,TRUE,FALSE,protein_coding,protein_coding
AC145212.2,1,TRUE,FALSE,protein_coding,protein_coding
AC145212.1,1,TRUE,FALSE,protein_coding,protein_coding
Y_RNA,831,FALSE,FALSE,misc_RNA,other
AC011043.1,1,TRUE,FALSE,protein_coding,protein_coding
AC011043.2,1,TRUE,FALSE,protein_coding,protein_coding
AC011841.1,1,TRUE,FALSE,protein_coding,protein_coding
KIR3DL2,36,TRUE,FALSE,protein_coding,protein_coding
KIR2DS1,9,TRUE,FALSE,protein_coding,protein_coding
KIR2DS5,5,TRUE,FALSE,protein_coding,protein_coding
KIR2DL5A,8,TRUE,FALSE,protein_coding,protein_coding
KIR3DS1,7,TRUE,FALSE,protein_coding,protein_coding
KIR2DL4,35,TRUE,FALSE,protein_coding,protein_coding
KIR3DP1,35,TRUE,FALSE,protein_coding;transcribed_unprocessed_pseudogene;unprocessed_pseudogene,protein_coding
KIR2DL2,13,TRUE,FALSE,protein_coding,protein_coding
KIR2DS2,13,TRUE,FALSE,protein_coding,protein_coding
KIR3DL3,42,TRUE,FALSE,protein_coding,protein_coding
LILRP2,38,FALSE,FALSE,transcribed_processed_pseudogene;transcribed_unprocessed_pseudogene,other
LILRP1,21,FALSE,FALSE,transcribed_unprocessed_pseudogene;unprocessed_pseudogene,other
U6,115,FALSE,FALSE,snRNA,other
BX072566.1,1,TRUE,FALSE,protein_coding,protein_coding
U2,22,FALSE,FALSE,snRNA,other
AL354822.1,1,TRUE,FALSE,protein_coding,protein_coding
AL592183.1,1,TRUE,FALSE,protein_coding,protein_coding
pRNA,13,FALSE,FALSE,misc_RNA,other
RNA5-8S5,8,FALSE,FALSE,rRNA,other
NOP56P1,7,FALSE,FALSE,processed_pseudogene,other
XXbac-BPG308K3.5,8,FALSE,TRUE,lincRNA;processed_transcript,lncRNA
RPL13P,8,FALSE,FALSE,processed_pseudogene,other
LINC01623,8,FALSE,TRUE,lincRNA;processed_transcript,lncRNA
ZNF90P2,6,FALSE,FALSE,processed_pseudogene,other
HCG14,6,FALSE,TRUE,antisense;processed_transcript,lncRNA
TRIM27,7,TRUE,FALSE,protein_coding,protein_coding
HCG15,7,FALSE,TRUE,antisense;processed_transcript,lncRNA
HCG16,7,FALSE,TRUE,antisense;processed_transcript,lncRNA
ZNF311,7,TRUE,FALSE,protein_coding,protein_coding
OR2AD1P,8,FALSE,FALSE,unprocessed_pseudogene,other
OR2W1,8,TRUE,FALSE,protein_coding,protein_coding
OR2B3,8,TRUE,FALSE,protein_coding,protein_coding
OR2J1,8,TRUE,FALSE,polymorphic_pseudogene;protein_coding;unprocessed_pseudogene,protein_coding
OR2J3,8,TRUE,FALSE,protein_coding,protein_coding
XXbac-BCX196D17.5,7,FALSE,TRUE,lincRNA;processed_transcript,lncRNA
OR2N1P,8,FALSE,FALSE,unprocessed_pseudogene,other
OR2J2,8,TRUE,FALSE,protein_coding,protein_coding
XXbac-BPG308J9.3,6,FALSE,TRUE,lincRNA;processed_transcript,lncRNA
OR2U2P,6,FALSE,FALSE,unprocessed_pseudogene,other
OR2B4P,7,FALSE,FALSE,unprocessed_pseudogene,other
OR14J1,7,TRUE,FALSE,protein_coding,protein_coding
OR5V1,8,TRUE,TRUE,processed_transcript;protein_coding,protein_coding
OR10C1,8,TRUE,FALSE,protein_coding,protein_coding
OR12D3,7,TRUE,TRUE,processed_transcript;protein_coding,protein_coding
OR11A1,8,TRUE,FALSE,protein_coding,protein_coding
OR2H1,8,TRUE,FALSE,protein_coding,protein_coding
UBDP1,8,FALSE,FALSE,unprocessed_pseudogene,other
MAS1LP1,8,FALSE,FALSE,unprocessed_pseudogene,other
