gene,logFC
ACP7,3.43476130666858
BIRC5,1.48163298971252
CCL20,3.42464864317557
CCNB1,1.93122130641545
CD24,1.78637834211494
CEP55,1.57696997247366
CNFN,2.81360122133185
CTA-384D8.34,4.41261003020572
CTC-518B2.12,2.25070682010223
DEFB103B,5.33403985949335
FABP5,3.38497835613022
FABP5P2,3.30519600435174
FABP5P7,3.45729530355571
FAM43A,2.00190774332528
GDPD3,2.44248366330712
GJB2,4.0565169409176
GJB6,3.09868454810767
HEPHL1,5.02296019634578
IL36A,10.0608644809872
IL36G,4.83467746463242
IRAK2,1.64920790210063
KLK13,3.64961809557981
KYNU,4.65212522116213
LCE3A,7.6782902447014
LCE3D,5.05278896393993
LCE3E,4.85264563346532
LINC02159,2.75680543939442
PDZK1IP1,2.18691428365347
PI3,6.6112015595075
PITX1,2.80989634403936
PLA2G4D,4.10440472099257
PLBD1,2.04991448073448
PLK1,1.40762395233095
PTTG1,1.31489514517525
RDH16,2.38347980043724
RHCG,4.4197615032115
RP11-203M5.8,1.48115226967772
RP11-295G20.2,2.45529459907684
RP11-363E6.3,3.35490774407921
RP4-529N6.2,5.24027630823523
RRM2,1.93666251166155
S100A7,8.11034717543985
S100A7A,9.92257736319404
S100A8,7.76312310950864
S100A9,7.93956640609816
SERPINB11,6.24380301520154
SERPINB13,2.55529807285388
SERPINB3,6.34153818245382
SERPINB4,8.73009169100444
SLC26A9,2.97891545811505
SLC6A14,4.32409966478666
SPRR2A,8.78604439640605
SPRR2B,7.01150633567636
SPRR2C,5.96920022743944
SPRR2D,5.36384796398903
SPRR2E,4.23916410051868
SPRR2F,6.68988383579352
TGM1,2.34802521043068
TMPRSS11D,6.93348465431224
TREX2,1.91043190075778
TTC39A,2.21367059626031
TYMP,3.37857202385354
VNN3,8.08111877894042
WNT5A,1.93629602958248
ZC3H12A,3.06970851344472
