"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"S100A8",8.5356941226669,8.3910950151669,48.1800593688201,3.56453335683497e-105,8.74308741764482e-101,1.1657176787617e-101,229.823015944782
"S100A9",9.08298298626092,8.49552597979282,46.9552950614537,2.67370271805629e-103,3.27902901342423e-99,4.37193625950366e-100,225.521960591477
"PI3",9.84127231773949,6.28063022250223,45.1215724645096,2.05860679521738e-100,1.68311691576973e-96,2.24410331317969e-97,218.592810683413
"GJB2",4.34884281984234,8.82513770463377,45.0006740966659,3.21607456976844e-100,1.97209692618201e-96,2.62940096703418e-97,218.577831155113
"FABP5P7",3.58210016293333,8.01230041475152,43.7647207722269,3.26138952865483e-98,1.59990724717691e-94,2.13315968755976e-95,213.98656501751
"SPRR2A",10.0648563770722,5.76763010983877,43.2224898759846,2.56075480173397e-97,1.04683656294885e-93,1.39574938452615e-94,211.395885535699
"SERPINB3",6.87858819874489,7.21944011811021,42.070352567848,2.19329326507208e-95,7.68529960081256e-92,1.0246826073324e-92,207.443278874949
"S100A7A",10.5946614802433,5.57776898597512,41.3166920321169,4.25487040057355e-94,1.30454326481585e-90,1.73935027051919e-91,203.927239882028
"SPRR2B",8.28815256611978,5.78058920192807,41.201949036151,6.70837510487461e-94,1.82825582858183e-90,2.43761732997868e-91,203.852724372674
"AKR1B10",6.38406875874343,3.90403014647671,40.8001272840746,3.33105366026217e-93,8.17040841789104e-90,1.08936226763756e-90,202.109153821184
"S100A7",8.01469735234753,8.23364090970156,40.745746834972,4.14184393160729e-93,9.23555890495124e-90,1.23137900543225e-90,202.235148624567
"SERPINB4",10.2082368592092,5.7059174432649,40.5330182717715,9.73376982493767e-93,1.98958255221726e-89,2.65271458889318e-90,200.962710267178
"SERPINB11",6.72833918612663,5.96359942065383,40.2116181256534,3.56379009468111e-92,6.72404949556448e-89,8.96518929231942e-90,200.029505200094
"FABP5P1",3.65673509645352,6.56425204487217,38.6124469432636,2.57546811132726e-89,4.51222013104535e-86,6.01615256254742e-87,193.56259566688
"SPRR2D",6.134981321572,7.0603858568789,38.4948842972818,4.21401348470357e-89,6.89075485018728e-86,9.18745789120801e-87,193.053198527538
"IL36G",5.60216375685223,5.07078700386533,38.2349116517123,1.2571684830484e-88,1.9272392845132e-85,2.56959217933369e-86,191.895642846825
"TPBG",1.79684445921431,5.09551766078837,37.4012209932591,4.35342561036149e-87,6.28122490417333e-84,8.37477033604397e-85,188.441457515766
"FABP5P2",3.53693825632025,5.53457020586517,37.2739714782674,7.51855401032882e-87,1.02452829314081e-83,1.36600572161213e-84,187.889846398666
"GJB6",2.97489079324103,7.4057586981659,36.4445116345184,2.74415520115933e-85,3.54255993547559e-82,4.7233025904815e-83,184.314422605727
"PLA2G4D",4.49721564264678,6.09912238124702,35.8211573233722,4.26995461278817e-84,5.23667233712341e-81,6.98206620803926e-82,181.566556212774
"PLBD1",2.0029274986501,6.11480967048869,35.431944229002,2.41360043235839e-83,2.7659338860246e-80,3.68782545021547e-81,179.845079457859
"MPZL2",2.41543302976199,6.11740189960785,35.425793713961,2.48086046528625e-83,2.7659338860246e-80,3.68782545021547e-81,179.817531467064
"KYNU",4.36099203161583,3.24808369277139,35.1433208440223,8.80048529916546e-83,9.38514362686654e-80,1.25132316777214e-80,178.413297192896
"CDK5R1",2.31227462555421,2.67111779205149,34.9618067336236,1.99348363321817e-82,2.03734027314897e-79,2.71639005835619e-80,177.619707634037
"KRT77",-3.64968260046855,6.69506869135916,-34.6521841929499,8.10062836302958e-82,7.75091791761099e-79,1.03343151127086e-79,176.337332377112
"LCE3D",5.63390363909893,6.36955473993607,34.6490695924537,8.21607411357982e-82,7.75091791761099e-79,1.03343151127086e-79,176.316170598069
"WNT5A",2.45543382577412,4.28973012784926,34.1247169825683,9.0190230003963e-81,8.19328133902668e-78,1.09241191900888e-78,173.921233156984
"HPSE",2.81997540520296,4.52991611526548,33.8399975143597,3.35013422308382e-80,2.93471757942143e-77,3.91286510254961e-78,172.614630909178
"SPRR2E",4.24376189290767,9.56542412736406,33.7513867143917,5.04826092761219e-80,4.26978427698179e-77,5.69291232995266e-78,172.211495344606
"FAM110C",2.08136692477959,4.45080240276659,33.6392302028221,8.49237334803774e-80,6.94336444935565e-77,9.25760238009802e-78,171.689634627182
"RRM2",2.76819070793581,4.12692044380884,33.5332684278953,1.38976948324581e-79,1.099621480163e-76,1.46612762533423e-77,171.188740876106
"ARNTL2",2.13978816094025,5.3661879063522,33.5079668437705,1.56348453426776e-79,1.19841089551624e-76,1.59784375997952e-77,171.083393273725
"PLA2G4E",2.39002651001235,7.09461620488918,33.2853459499175,4.41939090461066e-79,3.28481273055425e-76,4.37964770168118e-77,170.041629285092
"KPNA2",1.8135025928095,5.38115302840229,33.171823740371,7.52175081948458e-79,5.42627953236229e-76,7.23486987904489e-77,169.514373265633
"ADAP2",2.04488583347216,4.6129060054238,33.0963564710457,1.07193637652054e-78,7.51213012665592e-76,1.00159388503062e-76,169.161343962495
"ZC3H12A",3.7573318428583,5.65389016590102,32.9690236856648,1.9513077441912e-78,1.32949100970894e-75,1.7726131510989e-76,168.56399046886
"TTC39A",2.58173229023008,4.29875683843235,32.9073473921267,2.60973876827947e-78,1.73004520292862e-75,2.30667289685412e-76,168.269348331367
"C10orf99",5.6855621233841,4.11050880629525,32.0820474886509,1.32642800596834e-76,8.56174371852408e-74,1.14153908533137e-74,164.299627464569
"LCE3E",5.70940765848118,4.65668076314759,31.980593691412,2.16045123963348e-76,1.35875764117257e-73,1.81163441219953e-74,163.840889888354
"SERPINB13",2.96050653674678,5.86331047413295,31.9290312691152,2.76949363394392e-76,1.69825349633441e-73,2.26428494778698e-74,163.613622592371
"BTC",-4.49373896588793,1.83232953630876,-31.7741589183547,5.84911100670035e-76,3.49919499444747e-73,4.66548402367532e-74,162.662864067596
"SPRR2G",4.9604443147825,8.3278334176242,31.7559297653485,6.38822067283769e-76,3.73072087293721e-73,4.97417796296002e-74,162.775934645604
