gene,cls,trend_slope,trend_FDR,spearman_rho,mu_NN,mu_PN,mu_PP,pn_frac
UGT3A2,PN_divergent,-2.72137237142164,3.86069245125608e-21,-0.631,3.56366623363717,3.64126589570145,-2.14111819333966,-0.014
BTC,PN_divergent,-2.47767900859795,5.059348373948e-22,-0.635,6.02588223788412,6.17237312103864,0.824849508214876,-0.028
CACNA1H,PN_divergent,-2.38663737568538,4.23188026192342e-15,-0.624,3.80674688368834,3.84109455097519,-1.19318042024916,-0.007
RAB3B,PN_divergent,-2.22241770765673,1.13916779603705e-20,-0.663,5.17640266227286,5.22752181947548,0.518718788737481,-0.011
HSD11B1,PN_divergent,-1.92863433956188,2.64117160118224e-20,-0.63,4.89841177969003,4.9423221288795,0.85647352152228,-0.011
NPTX1,PN_divergent,-1.72011514552199,3.68488898266811e-09,-0.51,2.46892154580906,2.51932917044036,-1.13706503786369,-0.014
CDK8P2,PN_divergent,-1.65209467718373,1.19356680450107e-14,-0.638,0.0439964240410446,0.317826564830459,-3.44049795836136,-0.079
SAPCD1-AS1,PN_divergent,-1.65138206479983,3.15391737370846e-17,-0.528,2.36828750646107,2.82245888219052,-1.13159847783447,-0.13
C5orf46,PN_divergent,-1.61046990892135,6.07724900250568e-16,-0.548,5.90477541970096,6.19658682564504,2.50574407792841,-0.086
KB-1410C5.3,PN_divergent,-1.58952969095763,1.07635333135769e-18,-0.627,-0.268874047297215,-0.125953821619786,-3.61012534235099,-0.043
SAPCD1,PN_divergent,-1.56864313273732,7.95454678747992e-17,-0.526,3.22915896398512,3.69314183508338,-0.0984216915850886,-0.139
CRISP3,PN_divergent,1.56848040203564,6.86526005236149e-09,0.56,-1.04450038647176,-1.09996536416476,2.24449413900268,-0.017
ZBTB16,PN_divergent,-1.547777967445,1.22317251071834e-14,-0.626,3.77588585089039,3.85542989787284,0.527980074150389,-0.024
IL34,PN_divergent,-1.53132116436551,1.3662401985751e-20,-0.598,5.28547866989439,5.32195704883193,2.07605899140893,-0.011
PGBD5,PN_divergent,1.52156950174308,4.07543253110264e-14,0.552,0.368962307235727,0.130697852118128,3.57685691694671,-0.074
STUM,PN_divergent,-1.45013227191208,3.923313509217e-19,-0.632,3.00099016926451,3.09001163977127,-0.0433699052299215,-0.029
LCE5A,PN_divergent,-1.44310802733303,8.74649041257535e-15,-0.589,4.85251697199582,5.04417350150946,1.81325430486493,-0.063
HSD17B13,PN_divergent,-1.43362296091619,4.70167402354374e-09,-0.526,1.48979087635222,1.61492369370187,-1.52338571820269,-0.042
IL37,PN_divergent,-1.39893247879162,2.70518597291757e-14,-0.513,5.64894435293046,6.13033590601951,2.67504351164134,-0.162
RP11-53O19.1,PN_divergent,-1.39250222386773,3.44743154966873e-20,-0.662,1.98093821003386,1.99896083566022,-0.936119534984332,-0.006
TNFRSF9,PN_divergent,1.35892585746458,2.6781722336854e-11,0.58,-1.89336610768199,-1.98290217085745,0.960090572078234,-0.031
RP11-150O12.3,PN_divergent,-1.34077392576912,3.0862743217175e-15,-0.598,-0.484357937039827,-0.235556393578092,-3.31472179991383,-0.088
CLDN3,PN_divergent,-1.33727151619414,2.00369992796893e-16,-0.662,-0.418451109608712,-0.406213281165599,-3.21933516940756,-0.004
AQP9,PN_divergent,-1.32931252567695,2.81383261318709e-16,-0.595,6.0771530145635,6.17634223229309,3.28479166961745,-0.036
ACADL,PN_divergent,-1.32498978892708,6.47552645972998e-17,-0.609,2.17416625969198,2.22316068722032,-0.604445682393445,-0.018
CTA-398F10.2,PN_divergent,-1.3058311933519,1.50107913870891e-13,-0.574,0.119011227892627,0.345653652058306,-2.6361212963735,-0.082
TPSG1,PN_divergent,-1.29822464352094,1.24330013139093e-11,-0.609,-0.807732726238246,-0.77515691445574,-3.52877151499023,-0.012
CCL27,PN_divergent,-1.29818731612673,1.37395376254889e-14,-0.64,5.48686922404765,5.53892732323034,2.76408465346773,-0.019
MUC4,PN_divergent,1.27474310730481,3.45880262950532e-09,0.495,-2.02379312880965,-2.22428135774431,0.663804202576901,-0.075
BCAR3,PN_divergent,-1.25956338950665,3.12631718107813e-22,-0.657,4.56231968574106,4.61302293358078,1.92052578048522,-0.019
ANKFN1,PN_divergent,-1.25332504865022,7.49737102177865e-15,-0.581,2.1464416661436,2.1971675025814,-0.48229363884538,-0.019
POSTN,PN_divergent,-1.23783600638857,9.0048486092392e-15,-0.587,8.43683621585831,8.56686843780757,5.83310441748782,-0.05
NPIPB8,PN_divergent,-1.21671711542578,2.74268105402314e-13,-0.551,1.29418504710017,1.59745333867945,-1.28155017539196,-0.118
HS3ST6,PN_divergent,-1.21047995447349,9.30947930244014e-17,-0.653,4.85847683009173,4.88748893196162,2.32147570921247,-0.011
RP11-195F19.30,PN_divergent,-1.20425011470266,4.0652812305818e-15,-0.636,5.57666161750574,5.62678105311516,3.05072734559547,-0.02
F3,PN_divergent,-1.20263006545415,3.64826754273845e-18,-0.592,6.67416363295982,6.76309753339621,4.14798731939186,-0.035
TOGARAM2,PN_divergent,-1.201704202115,4.5672986896167e-13,-0.62,0.748146803141017,0.894432797252615,-1.78146040586748,-0.058
FAM83A-AS1,PN_divergent,1.19764123158845,3.45724896675586e-12,0.573,-2.19420335947644,-2.29041207756935,0.3222093000992,-0.038
KLRF2,PN_divergent,-1.17989893248261,1.08817394284361e-14,-0.585,0.755038527303166,0.872437753771038,-1.72621235531691,-0.047
DBX2,PN_divergent,-1.17649726040487,9.64803730651058e-08,-0.438,0.751356797539458,1.36794524909613,-1.76950635788527,-0.245
RP11-407H12.8,PN_divergent,-1.17604266495192,3.00820837441724e-08,-0.519,-1.14181213899832,-0.884895736218164,-3.62805105707402,-0.103
FAM153A,PN_divergent,-1.17444235040367,1.33463024223094e-13,-0.61,1.3550572472819,1.41705811194844,-1.10958323302229,-0.025
GPC3,PN_divergent,-1.17109632480371,2.91558463134247e-11,-0.506,2.02305546959433,2.4850555558415,-0.472027620714794,-0.185
CRIP1,PN_divergent,-1.16372217483091,1.14625741284328e-16,-0.613,6.07008874886326,6.17368659140058,3.62399793432993,-0.042
SCD5,PN_divergent,-1.15109696872664,2.02939699002881e-16,-0.633,3.92466165000502,4.03083850569414,1.50476177198577,-0.044
RORC,PN_divergent,-1.14322688532154,3.4868896491238e-17,-0.588,4.91068800845952,4.93861509036168,2.51459083589189,-0.012
