"pathway","NES","padj","size","collection"
"REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE",2.75989507705041,1.60702511186171e-15,79,"Reactome"
"REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS",2.64340020403005,1.85119520756724e-11,54,"Reactome"
"GOBP_KERATINIZATION",2.5394227058134,8.47304819984649e-10,79,"GO:BP"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",2.48920502255653,6.41549337838404e-11,81,"Hallmark"
"REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY",2.45782041329135,5.49026588445495e-10,85,"Reactome"
"GOBP_KERATINOCYTE_DIFFERENTIATION",2.36984491321884,4.38967775863476e-11,164,"GO:BP"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.33243595366503,5.2386717140949e-13,195,"Hallmark"
"GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY",2.21542634922116,7.04475145462519e-06,74,"GO:BP"
"GOBP_RESPONSE_TO_INTERLEUKIN_17",2.19566458991442,0.000153516161982661,21,"GO:BP"
"REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE",2.18423086933706,7.62815412349161e-08,121,"Reactome"
"REACTOME_TAK1_DEPENDENT_IKK_AND_NF_KAPPA_B_ACTIVATION",2.14234979905287,5.51242324277737e-05,44,"Reactome"
"GOBP_INTERLEUKIN_17_PRODUCTION",2.14205585504318,0.000423203743185698,32,"GO:BP"
"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION",2.12472467781856,0.000463856200295015,21,"GO:BP"
"REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION",2.10109503347448,0.000101506435519794,35,"Reactome"
"REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1",2.07401333715749,0.000462338855545521,17,"Reactome"
"REACTOME_INTERLEUKIN_17_SIGNALING",2.01740896083172,9.22343849172504e-05,70,"Reactome"
"GOBP_CORNIFICATION",2.00273342061109,0.00556322376931232,17,"GO:BP"
"REACTOME_STAT3_NUCLEAR_EVENTS_DOWNSTREAM_OF_ALK_SIGNALING",1.97708486671592,0.00101546062251952,11,"Reactome"
"GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY",1.97513053033342,0.00730637545367632,15,"GO:BP"
"GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION",1.96828509858585,2.51594180139999e-08,317,"GO:BP"
"GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT",1.92805010227454,0.000146431138902709,117,"GO:BP"
"GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION",1.92730074286476,2.51633032711185e-06,215,"GO:BP"
"REACTOME_KERATINIZATION",1.88011460547733,1.84928684347743e-05,178,"Reactome"
"GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION",1.8562828888896,0.016196065840594,12,"GO:BP"
"GOBP_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION",1.84671559050484,0.000481723228258974,124,"GO:BP"
"KEGG_JAK_STAT_SIGNALING_PATHWAY",1.82070882673408,0.000265365749913966,117,"KEGG"
"REACTOME_REGULATION_OF_NF_KAPPA_B_SIGNALING",1.8182012572939,0.00717470290263359,18,"Reactome"
"GOBP_KERATINOCYTE_MIGRATION",1.81308564954527,0.015980663034171,20,"GO:BP"
"GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT",1.77501282643013,0.00195018968727841,134,"GO:BP"
"GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT",1.7747524448427,0.0214823693316909,21,"GO:BP"
"GOBP_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT",1.74833029337866,0.0116800588548214,66,"GO:BP"
"HALLMARK_IL2_STAT5_SIGNALING",1.72682722285075,9.91307811034121e-05,192,"Hallmark"
"REACTOME_TNF_SIGNALING",1.71758068066461,0.00431108196116023,57,"Reactome"
"GOBP_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION",1.70480130237143,0.0329517079747025,32,"GO:BP"
"REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY",1.69498106037703,0.0352744776617317,17,"Reactome"
"GOBP_NEGATIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION",1.68846910077743,0.0230759688048084,81,"GO:BP"
"GOBP_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT",1.67854426768154,0.0139310535057525,77,"GO:BP"
"REACTOME_HEDGEHOG_ON_STATE",1.63255866302836,0.0155533989163412,71,"Reactome"
"REACTOME_HEDGEHOG_OFF_STATE",1.45010434271135,0.0366331861324657,97,"Reactome"
"GOBP_PROSTATE_GLAND_DEVELOPMENT",-1.57145434021891,0.0398490231301411,46,"GO:BP"
"GOBP_PROSTATE_GLAND_GROWTH",-1.82737313817183,0.0250361513016349,11,"GO:BP"
