pathway,collection,gsea_nes,gsea_padj,gsea_size,ora_padj,ora_fold,ora_k,ora_setsize,gsea_sig,ora_sig
GOBP_2FE_2S_CLUSTER_ASSEMBLY,GO:BP,1.44841349899208,0.142791508664354,11,1,0.570518653321201,1,11,FALSE,FALSE
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,GO:BP,0.940389326202154,0.650267967569053,16,1,0.784463148316652,2,16,FALSE,FALSE
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION,GO:BP,1.11981035824561,0.423410058428948,22,1,0.570518653321201,2,22,FALSE,FALSE
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION,GO:BP,1.80059018984915,0.0285525985603245,23,1,0.272856747240574,1,23,TRUE,FALSE
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION,GO:BP,1.7636761984966,0.0335130444872328,10,,,,,TRUE,FALSE
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,GO:BP,-1.058548131507,0.505860800485261,23,1,0.272856747240574,1,23,FALSE,FALSE
GOBP_ACETYL_COA_METABOLIC_PROCESS,GO:BP,-0.918855845607832,0.687098398159615,41,1,0.91839588095608,6,41,FALSE,FALSE
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,GO:BP,-1.22724046503022,0.221125160216274,66,0.788586078744843,1.1410373066424,12,66,FALSE,FALSE
GOBP_ACID_SECRETION,GO:BP,1.00956960167266,0.55342605156038,30,0.129469489029263,2.0919017288444,10,30,FALSE,FALSE
GOBP_ACROSOME_ASSEMBLY,GO:BP,0.892743901037411,0.708843403605397,23,0.719442465053918,1.36428373620287,5,23,FALSE,FALSE
GOBP_ACROSOME_REACTION,GO:BP,-1.63186651547239,0.0407873535976718,29,0.553228151642349,1.51482538985284,7,29,FALSE,FALSE
GOBP_ACTIN_CROSSLINK_FORMATION,GO:BP,0.70944952938919,0.895733293317327,14,1,0.896529312361887,2,14,FALSE,FALSE
