"collection","pathway","NES","ES","padj","pval","size","leadingEdge"
"Hallmark","HALLMARK_E2F_TARGETS",3.24963350850882,0.726127514427115,1.55993943300359e-43,3.11987886600719e-45,197,"RRM2;KPNA2;GINS3;CCNE1;KIF2C;LMNB1;MELK;CCNB2;PTTG1;BIRC5;KIF4A;EZH2;AURKA;CTPS1;DLGAP5;MKI67;CDC25B;CKS2;PLK1;RAN;CDC25A;SPAG5;TACC3;CDC20;GINS1;SPC25;CDKN3;BUB1B;HMGB3;GINS4"
"Hallmark","HALLMARK_INTERFERON_GAMMA_RESPONSE",3.07398454610413,0.688204314163853,1.04999206499818e-34,6.29995238998908e-36,195,"STAT1;IFI27;IL4R;OASL;PNP;CFB;APOL6;GCH1;MYD88;TRIM14;PSME2;NAMPT;CASP4;OAS2;CD274;UBE2L6;OAS3;UPP1;IRF9;SLAMF7;SOD2;STAT3;RTP4;CASP7;HERC6;NMI;NFKB1;TNFSF10;PARP12;GBP6"
"Hallmark","HALLMARK_MYC_TARGETS_V1",3.07646479362767,0.688759592507088,1.04999206499818e-34,5.1457875697865e-36,195,"KPNA2;CCNA2;CTPS1;GOT2;RAN;EIF4A1;CDC20;TFDP1;CCT5;PGK1;CDC45;TYMS;MAD2L1;VDAC1;ILF2;C1QBP;CCT2;YWHAQ;NOLC1;PCNA;HDGF;CCT3;LDHA;NME1;RANBP1;EIF2S2;SRSF1;PSMB2;MCM4;PSMD1"
"Hallmark","HALLMARK_G2M_CHECKPOINT",3.08899060794308,0.692633723341721,1.5873203327343e-34,1.26985626618744e-35,193,"KPNA2;SLC7A1;KIF2C;LMNB1;CCNB2;PTTG1;BIRC5;CCNA2;KIF4A;EZH2;AURKA;BUB1;PRC1;CDC6;TPX2;MKI67;UBE2C;CDC25B;RAD54L;CKS2;PLK1;NDC80;KIF23;CDC25A;STIL;TACC3;NEK2;CDC20;TROAP;CDKN3"
"Hallmark","HALLMARK_INTERFERON_ALPHA_RESPONSE",3.05095934162059,0.765646780235976,3.50271693247087e-26,3.50271693247087e-27,95,"PARP9;IFI27;IL4R;OASL;TRIM14;PSME2;UBE2L6;LAMP3;IRF9;RTP4;HERC6;NMI;OAS1;PARP12;SAMD9;EPSTI1;MX1;GBP2;TRIM25;LAP3;IRF1;SP110;PARP14;TAP1;IRF7;TRIM21;IFIH1;NCOA7;PLSCR1;SELL"
"Hallmark","HALLMARK_MTORC1_SIGNALING",2.76018050105324,0.617949797796881,9.84770607983224e-24,1.18172472957987e-24,195,"RRM2;PNP;CTSC;SLC7A11;AURKA;BUB1;NAMPT;CXCR4;POLR3G;HK2;PLK1;CDC25A;SLC7A5;PGK1;DDX39A;ATP2A2;ABCF2;ADIPOR2;SQLE;ARPC5L;PSME3;MTHFD2;CCT6A;LDLR;LDHA;EIF2S2;TUBG1;PSMA3;PSMG1;MCM4"
"Hallmark","HALLMARK_MYOGENESIS",-2.62500940200215,-0.548233147477209,1.93246780351191e-17,2.70545492491667e-18,178,"CRYAB;TNNC1;TNNT2;NCAM1;DMD;CAMK2B;FHL1;TNNT3;SORBS1;MYLK;SGCG;SPTAN1;MAPRE3;CASQ2;GSN;SSPN;PYGM;APOD;MYH11;FST;LDB3;DES;FXYD1;PDE4DIP;SGCA;KCNH2;CACNA1H;MYOM2;TPM2;LARGE1"
"Hallmark","HALLMARK_ALLOGRAFT_REJECTION",2.57969181633687,0.581395347227617,2.64941533484773e-17,4.23906453575636e-18,181,"STAT1;IL4R;TAP2;LYN;GZMB;GBP2;IL12B;TAP1;IRF7;CCL22;IFNGR1;IL2RA;CCL2;IL12RB1;NME1;CXCL9;CD2;CXCL13;GZMA;LCK;IRF8;CD28;CD80;UBE2N;CD7;HIF1A;BCL3;CCL4;NPM1;CD3D"
"Hallmark","HALLMARK_INFLAMMATORY_RESPONSE",2.49175693456168,0.558393612979064,1.0189056352415e-15,1.83403014343471e-16,187,"TPBG;SLC7A1;NOD2;IRAK2;IL4R;GCH1;MXD1;RGS1;NAMPT;LYN;LAMP3;CCR7;RASGRP1;TNFRSF9;RTP4;NMI;NFKB1;TNFSF10;CXCR6;GNA15;IRF1;IL12B;ATP2A2;IRF7;CCL22;OSMR;IL7R;FZD5;PTPRE;CCL20"
"Hallmark","HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.33243595366503,0.52218625752609,5.2386717140949e-13,1.04773434281898e-13,195,"KYNU;ZC3H12A;GCH1;SGK1;MXD1;NAMPT;PLK2;SOD2;TNFRSF9;NFKB1;SLC16A6;IRF1;IL12B;BCL2A1;TAP1;CD83;IL7R;FOSL1;PTPRE;CXCL2;CCL20;SAT1;IFIH1;SOCS3;PANX1;NR4A3;MCL1;CCL2;LDLR;CXCL10"
