gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
LLNLR-285B5.1,2,-1.05,0.177,-5.92,3.18694118418538e-09,6.20051276795107e-05,0,0,0.01,down
H2AFJ,2,0.33,0.062,5.31,1.10921388073628e-07,0.00100061766766074,0,0,0.21,up
BGN,2,-0.646,0.123,-5.25,1.54289319643411e-07,0.00100061766766074,0,0,0.38,down
NFATC2,2,-0.377,0.073,-5.18,2.21467700983264e-07,0.0010772188975826,0,0,0.06,down
IFI27,2,2.057,0.403,5.11,3.29720476344951e-07,0.00128300831755347,0,0,0.04,up
OCIAD2,2,0.402,0.08,5.03,4.8212153204916e-07,0.00137309557920729,0,0,0.59,up
ZNF667-AS1,2,-0.742,0.147,-5.03,4.94020818999335e-07,0.00137309557920729,0,0,0.07,down
CXCR2,2,0.552,0.111,4.97,6.83355567841509e-07,0.00140740124645492,0,0,0,up
OTUD4P1,2,-0.291,0.059,-4.96,7.17595897124844e-07,0.00140740124645492,0,0,0.04,down
NT5C3A,2,0.447,0.09,4.95,7.35027808893557e-07,0.00140740124645492,0,0,0.57,up
SIK2,2,-0.241,0.049,-4.92,8.4823230547884e-07,0.00140740124645492,0,0,0.56,down
TMEM45A,2,0.35,0.071,4.91,9.0422876636211e-07,0.00140740124645492,0,0,0.62,up
IFI16,2,0.375,0.077,4.89,9.95714974892298e-07,0.00140740124645492,0,0,0.4,up
MEGF8,2,-0.295,0.06,-4.89,1.01272704823031e-06,0.00140740124645492,0,0,0.03,down
KMT2A,2,-0.322,0.067,-4.82,1.46988099969641e-06,0.00168197638224657,0,0,0,down
ERC1,2,-0.245,0.051,-4.81,1.50867484011426e-06,0.00168197638224657,0,0,0.64,down
ZNF221,2,-0.555,0.115,-4.81,1.51686915170975e-06,0.00168197638224657,0,0,0.02,down
PSMA3,2,0.245,0.051,4.79,1.63885909082925e-06,0.00168197638224657,0,0,0.33,up
ST6GALNAC1,2,1.256,0.262,4.79,1.64255506078766e-06,0.00168197638224657,0,0,0.01,up
ASXL2,2,-0.254,0.053,-4.77,1.86401596499427e-06,0.00181331473074643,0,0,0,down
PRRC2A,2,-0.267,0.056,-4.74,2.10230795960501e-06,0.00192992982709103,0,0,0.74,down
MYL12A,2,0.29,0.061,4.74,2.18228084888993e-06,0.00192992982709103,0,0,0.64,up
ZFAND2A,2,0.377,0.08,4.72,2.3676412563334e-06,0.00198471610708999,0,0,0.9,up
EFNA5,2,-0.26,0.055,-4.71,2.44825177683799e-06,0.00198471610708999,0,0,0.25,down
NDUFV2P1,2,0.3,0.064,4.7,2.64323212657424e-06,0.00205706897018514,0,0,0.15,up
RP11-270C12.3,2,0.384,0.082,4.68,2.9371791111701e-06,0.00219791372257406,0,0,0.56,up
BPGM,2,0.305,0.065,4.66,3.17122050810591e-06,0.00228515800761883,0,0,0.26,up
WFDC12,2,0.873,0.188,4.64,3.47152525380798e-06,0.00241221411921743,0,0,0.62,up
LINC00665,2,-0.65,0.141,-4.62,3.8745102309832e-06,0.00251872567439391,23.7,0.0139,1.31,down
KMT2D,2,-0.461,0.1,-4.62,3.88372585484259e-06,0.00251872567439391,0,0,0.95,down
IGF2R,2,-0.24,0.052,-4.58,4.68086585945807e-06,0.00293165708920501,0,0,0.68,down
PHLPP1,2,-0.218,0.048,-4.57,4.82180442303455e-06,0.00293165708920501,0,0,0.5,down
NDUFB4P12,2,0.411,0.09,4.56,5.1964797418322e-06,0.0030109325005385,0,0,0.1,up
LYST,2,-0.271,0.06,-4.55,5.41430941227947e-06,0.0030109325005385,0,0,0.71,down
PLBD1,2,0.401,0.088,4.54,5.52563750209224e-06,0.0030109325005385,0,0,0.25,up
NOTCH2,2,-0.21,0.046,-4.54,5.57121556431878e-06,0.0030109325005385,0,0,0.11,down
LRCH3,2,-0.222,0.049,-4.52,6.1173432119366e-06,0.00321673052787671,0,0,0.21,down
MED12,2,-0.261,0.058,-4.51,6.58203317333244e-06,0.00337000098474621,0,0,0.49,down
IL18,2,0.336,0.075,4.49,7.14047562370025e-06,0.00356218189063364,0,0,0.29,up
GLA,2,0.332,0.074,4.47,7.81083538781449e-06,0.00365513403819155,0,0,0.41,up
MED31,2,0.228,0.051,4.47,7.82059349278156e-06,0.00365513403819155,0,0,0.09,up
VWA8,2,-0.235,0.053,-4.47,7.8904003702737e-06,0.00365513403819155,0,0,0.39,down
NDUFA4,2,0.318,0.071,4.45,8.42020414814724e-06,0.00380984864898495,0,0,0.1,up
ZNF549,2,-0.248,0.056,-4.44,9.04804528997868e-06,0.00400088111731421,0,0,0,down
HAL,2,0.536,0.121,4.43,9.30199124126519e-06,0.00401635550464088,0,0,0.97,up
EP300,2,-0.28,0.063,-4.43,9.4959063123705e-06,0.00401635550464088,0,0,0.55,down
LRTOMT,2,0.178,0.04,4.41,1.01613667315015e-05,0.00419531138899764,0,0,0.36,up
EIF2B1,2,0.185,0.042,4.41,1.05722179074004e-05,0.00419531138899764,0,0,0.04,up
SPEN,2,-0.291,0.066,-4.4,1.07121059395761e-05,0.00419531138899764,0,0,0.12,down
C8orf59,2,0.25,0.057,4.4,1.07815362587316e-05,0.00419531138899764,0,0,0.02,up
RAB31,2,0.476,0.109,4.38,1.1825676097374e-05,0.00451137949314722,0,0,0.03,up
ZNF667,2,-0.714,0.164,-4.36,1.31659864222458e-05,0.00492610445829257,0,0,0.08,down
NDUFB4,2,0.3,0.069,4.33,1.47754765095008e-05,0.00542399379186504,0,0,0.32,up
PSMC6,2,0.199,0.046,4.33,1.52243032610699e-05,0.0054852600786551,0,0,0.02,up
ATP1B3,2,0.255,0.059,4.32,1.56568207591396e-05,0.00553852917617856,0,0,0.17,up
IGFBP5,2,-0.58,0.135,-4.3,1.67523511557973e-05,0.00571960837744498,0,0,0.76,down
POLR2A,2,-0.355,0.083,-4.3,1.68444082064745e-05,0.00571960837744498,0,0,0.12,down
RP11-547D13.1,2,-0.439,0.102,-4.3,1.70506417501958e-05,0.00571960837744498,0,0,0.11,down
EGR3,2,-0.326,0.076,-4.29,1.79657402796915e-05,0.00592443123528268,0,0,0.3,down
KIAA1671,2,-0.257,0.06,-4.28,1.87653501073703e-05,0.00608497752814995,0,0,0.31,down
EHD2,2,-0.368,0.086,-4.27,1.91339395446799e-05,0.00610278570133264,0,0,0.3,down
ITM2A,2,0.735,0.173,4.26,2.02999948640485e-05,0.0063702693560472,0,0,0,up
EP400,2,-0.349,0.082,-4.26,2.07959940162639e-05,0.00642233110445128,0,0,0,down
ZNF229,2,-0.777,0.183,-4.24,2.19028185608937e-05,0.00665845684251168,0,0,0.19,down
IFI30,2,0.442,0.105,4.2,2.66162111280118e-05,0.00789205622972175,0.8,8e-04,1.01,up
ARID1B,2,-0.231,0.055,-4.2,2.67719835095413e-05,0.00789205622972175,0,0,0.79,down
WDR61,2,0.177,0.042,4.18,2.92835087346441e-05,0.00842609774776731,0,0,0.17,up
TRRAP,2,-0.244,0.058,-4.18,2.94497659769828e-05,0.00842609774776731,0,0,0.12,down
JHDM1D-AS1,2,0.341,0.082,4.16,3.15105087340404e-05,0.00880995414825024,0,0,0.23,up
ABCA2,2,-0.299,0.072,-4.16,3.21708769176681e-05,0.00880995414825024,0,0,0.27,down
STYK1,2,0.394,0.095,4.16,3.23544465031468e-05,0.00880995414825024,0,0,0.85,up
NDUFA9,2,0.193,0.046,4.15,3.26026263709918e-05,0.00880995414825024,0,0,0.54,up
INVS,2,-0.238,0.057,-4.15,3.36395472510234e-05,0.00887350968137953,0,0,0.12,down
FIGN,2,-0.535,0.129,-4.15,3.37499854246549e-05,0.00887350968137953,0,0,0.02,down
KIAA1549L,2,-0.347,0.084,-4.14,3.45422736912032e-05,0.00896072635914733,0,0,0.1,down
PEG10,2,-0.635,0.154,-4.13,3.60410827556655e-05,0.00922503740114264,0,0,0.49,down
SNRPF,2,0.305,0.074,4.13,3.68222146590842e-05,0.00922503740114264,0,0,0.04,up
ZNF585B,2,-0.29,0.07,-4.12,3.72205376797562e-05,0.00922503740114264,0,0,0.07,down
AHNAK,2,-0.251,0.061,-4.12,3.76566604992725e-05,0.00922503740114264,0,0,0.03,down
TESMIN,2,-0.59,0.143,-4.12,3.79318972086458e-05,0.00922503740114264,0,0,0.65,down
AJAP1,2,0.85,0.207,4.11,3.87200708334822e-05,0.0092675748955048,0,0,0.64,up
