gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
EPB41L4B,4,1.05,0.039,26.72,2.64320639994158e-157,6.8363890328089e-153,0,0,2.14,up
PDZK1IP1,4,-1.872,0.073,-25.8,8.59555845493313e-147,1.11157761939195e-142,0,0,1.63,down
AGR3,2,5.493,0.214,25.64,5.40119237511668e-145,4.65654798633393e-141,0,0,0.07,up
EPHX2,4,0.768,0.031,24.95,2.40439641349039e-137,1.55468272096289e-133,0,0,0.4,up
NINJ1,4,0.865,0.035,24.75,3.29517047567407e-135,1.70452578365668e-131,0,0,2.87,up
ZFYVE21,4,0.538,0.022,24.55,3.96123921734611e-133,1.70755818529066e-129,0,0,0.67,up
CTD-2385L22.2,2,2.065,0.084,24.54,5.63555045005866e-133,2.0822553834331e-129,0,0,0.13,up
IFI27,4,-3.487,0.145,-24.13,1.23639910028699e-128,3.99727829122784e-125,10.8,0.0187,3.36,down
WNT7B,4,1.592,0.067,23.82,2.20782290881368e-125,6.34479241261744e-122,0,0,1.7,up
PARP9,4,-1.842,0.078,-23.75,1.02361924397004e-124,2.64748881260411e-121,0,0,2.82,down
TAF7,4,0.564,0.024,23.08,7.08762601416204e-118,1.66649417482079e-114,0,0,1.85,up
TLE3,4,-0.938,0.041,-22.76,1.15940262592968e-114,2.49889912642043e-111,0,0,1.76,down
IFI6,4,-2.926,0.13,-22.52,2.66587567638511e-112,5.30386219184803e-109,0,0,2.71,down
SPRR2A,4,-6.365,0.283,-22.5,3.71196040992685e-112,6.85758171731057e-109,0,0,2.64,down
RP11-1008C21.1,3,4.85,0.219,22.13,1.68851725330794e-108,2.91145401597044e-105,0,0,0.14,up
RP11-255M2.3,3,1.083,0.049,22.08,4.69977032493415e-108,7.59717873025605e-105,0,0,0.44,up
GYS1,4,-0.876,0.04,-21.99,3.90580438865818e-107,5.94233674754441e-104,0,0,2.85,down
PLBD1,4,-1.681,0.077,-21.85,7.39779456948982e-106,1.06298088191825e-102,0,0,2.17,down
SYNGR1,4,0.594,0.027,21.77,4.85916271862273e-105,6.61459918707676e-102,0,0,2.09,up
MX1,4,-2.805,0.129,-21.68,3.12902137879317e-104,4.04645044705533e-101,0,0,1.78,down
GATM,4,0.865,0.04,21.66,5.26180148147983e-104,6.48053492938068e-101,0,0,2.04,up
NOD2,4,-1.45,0.068,-21.41,1.144625756198e-101,1.34566366174114e-98,0,0,1.71,down
TCEA3,4,0.906,0.043,21.3,1.0403585098001e-100,1.16990576075956e-97,7.4,8e-04,3.24,up
IVL,4,-1.542,0.073,-21.25,3.11425340228891e-100,3.35612708320002e-97,0,0,2.09,down
RP11-363E6.3,4,-2.776,0.134,-20.78,6.14695756534044e-96,6.35939641879861e-93,0,0,2.87,down
FABP5,4,-2.736,0.133,-20.62,1.69339618069452e-94,1.68453841605704e-91,25.5,0.0182,4.03,down
FABP5P1,4,-2.807,0.138,-20.38,2.71075438434161e-92,2.5967019035782e-89,34.5,0.0255,4.58,down
KLK10,4,-2.081,0.102,-20.36,3.53195208300107e-92,3.26251459552642e-89,0,0,0.65,down
CNFN,4,-2.204,0.108,-20.36,4.03841830765408e-92,3.60171210721259e-89,0,0,1.62,down
PLA2G4E,4,-1.765,0.088,-20.12,5.05049473152473e-90,4.35419985787185e-87,0,0,2.12,down
LGALS3,4,0.97,0.049,19.94,2.01380488903144e-88,1.68016289193255e-85,0,0,1.24,up
RHOC,4,0.805,0.041,19.76,6.8388665430316e-87,5.52751388340529e-84,0,0,2.87,up
RNF128,4,0.982,0.05,19.69,2.654431748408e-86,2.0804309921462e-83,0,0,0.57,up
GPNMB,4,0.589,0.03,19.56,3.58796755535515e-85,2.72938802505017e-82,0,0,1.69,up
CBX7,4,0.92,0.047,19.46,2.34013915705063e-84,1.72929597594165e-81,0,0,2.91,up
CLEC2A,4,1.692,0.087,19.4,7.09707717940179e-84,5.09885567133466e-81,0,0,0.71,up
IRF9,4,-1.044,0.054,-19.33,3.08033587681083e-83,2.15323803021176e-80,0,0,2.23,down
TTC39A,4,-1.746,0.09,-19.32,3.35419113049022e-83,2.28296840523682e-80,0,0,2.95,down
IRF8,3,-1.412,0.073,-19.32,3.57800139197029e-83,2.37285712825435e-80,0,0,0.23,down
TLE2,4,1.139,0.059,19.31,4.65445008617454e-83,3.00956742572045e-80,0,0,2.67,up
CTB-191K22.5,4,1.839,0.095,19.28,8.0125832162711e-83,5.05457200745453e-80,0,0,2.09,up
KPNA2,4,-1.573,0.082,-19.15,9.74598835486563e-82,6.00167244786297e-79,13,0.0045,3.45,down
VAMP2,4,0.708,0.037,19.07,4.5788162683739e-81,2.75410474337727e-78,0,0,2.2,up
LMNB2,4,-1.005,0.053,-18.95,4.30302388333174e-80,2.52939567542028e-77,0,0,1.66,down
LDLR,4,-1.204,0.064,-18.91,9.42613792405544e-80,5.41772513928377e-77,0,0,1.62,down
LTB4R,4,-1.078,0.057,-18.87,2.02970559798537e-79,1.14122403448464e-76,3.3,6e-04,3.1,down
FABP5P7,4,-2.747,0.146,-18.83,4.12078021742949e-79,2.26765658603396e-76,49.6,0.038,5.96,down
MTURN,4,0.921,0.049,18.82,5.42993357880869e-79,2.92582921004808e-76,0,0,2.71,up
ALAD,4,0.556,0.03,18.81,6.57466512952283e-79,3.47034977367303e-76,0,0,1.19,up
PSCA,2,2.518,0.134,18.76,1.58622414221919e-78,8.20522024287144e-76,0,0,0.02,up
RP11-680F20.6,3,2.265,0.121,18.72,3.69725222225844e-78,1.87501434267632e-75,0,0,1.88,up
SERPINB3,4,-5.626,0.303,-18.59,3.88770613347518e-77,1.93368521992696e-74,50.5,0.1667,6.07,down
SEPT10,4,0.43,0.023,18.58,4.51132393431211e-77,2.20152607994431e-74,0,0,1.18,up
TFDP1,4,-0.606,0.033,-18.57,5.54891435965269e-77,2.65772446292699e-74,0,0,3,down
ADAP2,4,-1.687,0.092,-18.36,2.76642801023037e-75,1.30092534648361e-72,0,0,0.26,down
SERPINB13,4,-2.24,0.122,-18.31,7.38518968561569e-75,3.4109026076565e-72,33.3,0.0194,4.5,down
LYPD6B,4,1.329,0.073,18.28,1.15600575287091e-74,5.24542680565848e-72,0,0,2.94,up
MED8,4,-0.688,0.038,-18.09,3.55839934478949e-73,1.58680070092475e-70,0,0,2.97,down
SLC27A4,4,-0.904,0.05,-18.07,5.42170872955875e-73,2.37673007764928e-70,0,0,1,down
LINC01805,3,2.146,0.119,18.07,5.88205257825834e-73,2.5355567980679e-70,15.7,0.0074,2.37,up
TGM1,4,-2.068,0.115,-17.99,2.42378865457233e-72,1.02768638953867e-69,11.5,0.0072,3.39,down
IL36G,4,-3.915,0.218,-17.97,3.49577469312154e-72,1.4583018816596e-69,7.6,0.0163,3.25,down
ESPN,4,1.311,0.073,17.92,8.48145909205717e-72,3.48197552312646e-69,0,0,1.94,up
AC091177.1,3,-1.725,0.097,-17.87,2.19662275808052e-71,8.8771017210929e-69,0,0,0.24,down
CDH3,4,-1.451,0.081,-17.86,2.40089169927455e-71,9.55333275539032e-69,0,0,2.14,down
SERPINB4,4,-6.781,0.38,-17.82,4.67735931826037e-71,1.83295790011343e-68,47.7,0.2469,5.74,down
PLA2G4D,4,-3.615,0.203,-17.81,5.95519920550982e-71,2.29888466046725e-68,18.6,0.0321,3.68,down
RP11-296A16.1,4,0.8,0.045,17.75,1.63680554694143e-70,6.22563803913135e-68,0,0,1.6,up
METAP1,4,-0.659,0.037,-17.73,2.42843014914925e-70,9.10274164892697e-68,0,0,2.46,down
LTB4R2,4,-0.951,0.054,-17.54,6.74105679469754e-69,2.49072418482939e-66,0,0,1.46,down
