gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
CHI3L2,3,4.384,0.127,34.48,1.59355965057795e-260,3.73036378603793e-256,0,0,1.89,up
RORC,2,-2.473,0.076,-32.44,7.95202557859021e-231,9.30744833846091e-227,0,0,0.02,down
PRSS27,2,4.192,0.13,32.15,8.10747824944692e-227,6.32626527804343e-223,0,0,0.19,up
NMI,3,1.483,0.049,30.07,1.0890708042833e-198,6.37351461436693e-195,0,0,0.23,up
VNN3,2,8.081,0.276,29.31,8.11432329718391e-189,3.79896388127556e-185,0,0,0.41,up
CHP2,3,-2.323,0.08,-29.15,7.51058126433479e-187,2.93025328028022e-183,0,0,1.92,down
ARSF,2,3.502,0.121,28.99,9.63267654660022e-185,3.22130464684807e-181,0,0,0.64,up
AC091177.1,2,1.872,0.065,28.93,5.40439768403653e-184,1.58139431732014e-180,0,0,0.02,up
AL591704.7,2,5.231,0.185,28.35,8.0509929187635e-177,2.09406325817038e-173,0,0,0.11,up
PLBD1,3,2.05,0.072,28.31,2.55337191160065e-176,5.97718830786596e-173,33.2,0.0055,3,up
RDH16,3,2.383,0.084,28.22,3.09337274466131e-175,6.58297841634332e-172,0,0,1.04,up
RP4-529N6.2,2,5.24,0.2,26.2,2.90517663762613e-151,5.66727332584917e-148,0,0,0,up
PLA2G2F,3,2.142,0.083,25.94,2.45293361822058e-148,4.41697869760966e-145,0,0,0.99,up
CTA-384D8.34,2,4.413,0.171,25.76,2.38005402460347e-146,3.9796203329959e-143,0,0,0.02,up
LINC01206,2,5.227,0.204,25.68,1.9272433319245e-145,3.00765594380137e-142,0,0,0.35,up
AP000439.3,2,-3.865,0.151,-25.55,5.56700437125955e-144,8.14487533292593e-141,0,0,0.2,down
CCR7,2,2.694,0.107,25.12,3.02165000521679e-139,4.16081205718351e-136,0,0,0.02,up
FABP5P11,2,3.329,0.134,24.83,4.79473971488691e-136,6.23555899921043e-133,0,0,0.05,up
ARL11,3,1.459,0.059,24.76,2.64616982387459e-135,3.26022049510949e-132,0,0,1.73,up
SYK,3,0.699,0.028,24.64,4.68516724989518e-134,5.48375400763981e-131,0,0,1.64,up
