pathway,k,Zc,nUp,meanNGenes,p_comb,FDR
HALLMARK_INTERFERON_ALPHA_RESPONSE,3,59.745675176908,3,93,1.11253695810788e-308,1.11253765061069e-308
HALLMARK_MYC_TARGETS_V1,3,51.9775577834301,3,195,1.11253695810788e-308,1.11253765061069e-308
HALLMARK_INTERFERON_GAMMA_RESPONSE,3,36.2746863611731,3,186,4.05682825938702e-288,6.7613804323117e-287
HALLMARK_E2F_TARGETS,3,35.3263284946714,3,197,2.31583039888405e-273,2.89478799860507e-272
HALLMARK_G2M_CHECKPOINT,3,34.1705253459633,3,193,6.6284645777172e-256,6.6284645777172e-255
HALLMARK_ALLOGRAFT_REJECTION,3,9.23023793807518,3,158,2.70031386304403e-20,2.2502615525367e-19
HALLMARK_MYC_TARGETS_V2,3,9.15648762087985,3,57,5.36139450043299e-20,3.82956750030928e-19
HALLMARK_MTORC1_SIGNALING,3,9.09540816877549,2,194,9.42318481745649e-20,5.88949051091031e-19
HALLMARK_IL6_JAK_STAT3_SIGNALING,3,8.52177594486872,3,74,1.57125131281596e-17,8.72917396008866e-17
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3,8.26766983654305,2,186,1.36602565272912e-16,6.83012826364562e-16
HALLMARK_INFLAMMATORY_RESPONSE,3,7.18256557962358,2,166,6.84152256671314e-13,3.10978298486961e-12
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,3,6.91859003913925,2,107,4.56160829139575e-12,1.90067012141489e-11
HALLMARK_DNA_REPAIR,3,5.57872728191915,3,147,2.42284751931033e-08,9.31864430503975e-08
HALLMARK_TNFA_SIGNALING_VIA_NFKB,3,5.54193198729981,2,191,2.99152505735139e-08,1.06840180619693e-07
HALLMARK_PI3K_AKT_MTOR_SIGNALING,3,5.09657246367164,2,97,3.45858211524647e-07,1.01723003389602e-06
HALLMARK_UV_RESPONSE_UP,3,5.00204681106185,3,147,5.67248116688882e-07,1.57568921302467e-06
HALLMARK_COMPLEMENT,3,4.68082445420701,3,174,2.85723524800425e-06,7.51904012632696e-06
HALLMARK_GLYCOLYSIS,3,4.35399389494789,2,184,1.33679430841974e-05,3.34198577104935e-05
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,3,3.61809237156172,2,48,0.000296782479713466,0.000674505635712423
HALLMARK_IL2_STAT5_SIGNALING,3,3.20586192400818,3,180,0.00134658586612763,0.00280538722109922
HALLMARK_MITOTIC_SPINDLE,3,3.00354921883718,2,197,0.00266850381956909,0.00513173811455595
HALLMARK_XENOBIOTIC_METABOLISM,3,2.71732408755201,3,167,0.00658121297863503,0.0121874314419167
HALLMARK_P53_PATHWAY,3,2.47349411505525,2,194,0.0133799007726416,0.0238926799511458
HALLMARK_APOPTOSIS,3,2.39301475411125,2,154,0.0167105690974161,0.0288113260300278
HALLMARK_ADIPOGENESIS,3,1.62928016526109,3,188,0.103253723083893,0.161333942318583
HALLMARK_KRAS_SIGNALING_UP,3,1.58465244226866,3,176,0.113045322775681,0.171280792084365
HALLMARK_PROTEIN_SECRETION,3,1.56175035973256,2,93,0.118346810072527,0.174039426577246
HALLMARK_HEME_METABOLISM,3,1.20552276636383,2,174,0.228001554622762,0.300002045556266
HALLMARK_SPERMATOGENESIS,3,0.991287009749482,3,91,0.32154545425508,0.412237761865487
HALLMARK_TGF_BETA_SIGNALING,3,0.897456685118149,2,53,0.36947527660963,0.461844095762038
HALLMARK_ESTROGEN_RESPONSE_LATE,3,0.75095433944787,2,182,0.452680135829198,0.552048946133168
HALLMARK_FATTY_ACID_METABOLISM,3,0.539815113857388,2,147,0.589324542936172,0.640570155365404
HALLMARK_APICAL_SURFACE,3,0.507418458992758,2,40,0.611861236584279,0.650916209132212
HALLMARK_CHOLESTEROL_HOMEOSTASIS,3,0.00482038163418036,1,72,0.996153906811603,0.996153906811603
HALLMARK_COAGULATION,3,-0.203716830723237,2,105,0.838574788982973,0.855688560186707
HALLMARK_HYPOXIA,3,-0.225435349533545,1,182,0.821640614357727,0.855688560186707
HALLMARK_PEROXISOME,3,-0.565724972967782,1,93,0.571580756066988,0.63508972896332
HALLMARK_APICAL_JUNCTION,3,-0.625029315604375,1,178,0.531951817799417,0.604490702044792
HALLMARK_ESTROGEN_RESPONSE_EARLY,3,-0.655717748546258,0,188,0.512005746939487,0.595355519697078
HALLMARK_ANDROGEN_RESPONSE,3,-0.730697815392634,1,94,0.464963750237318,0.553528274092046
HALLMARK_NOTCH_SIGNALING,3,-1.25897846378861,1,31,0.20803811079173,0.281132582150986
HALLMARK_WNT_BETA_CATENIN_SIGNALING,3,-1.30805012413331,1,39,0.19085630872274,0.265078206559361
HALLMARK_PANCREAS_BETA_CELLS,3,-1.432113524891,1,22,0.152111334399417,0.217301906284881
HALLMARK_HEDGEHOG_SIGNALING,3,-1.6441936296249,1,30,0.100136212406606,0.161333942318583
HALLMARK_ANGIOGENESIS,3,-1.65864389439613,1,29,0.0971875712238019,0.161333942318583
HALLMARK_KRAS_SIGNALING_DN,3,-3.08137812693492,1,132,0.00206044805637867,0.00412089611275734
HALLMARK_BILE_ACID_METABOLISM,3,-3.29453043606438,1,90,0.000985862676778848,0.00214317973212793
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3,-4.3425792097204,1,189,1.40819689269783e-05,3.35284974451865e-05
HALLMARK_UV_RESPONSE_DN,3,-5.12138964130435,1,138,3.03292219351141e-07,9.47788185472317e-07
HALLMARK_MYOGENESIS,3,-5.44454933828414,1,163,5.19367074336952e-08,1.73122358112317e-07
