pathway,trend_p,pn_vs_nn_p,NN,PN,PP,pn_frac,trend_FDR,pn_FDR
ADIPOGENESIS,0.971582649373525,0.868782457749468,0.432579552134374,0.439847133423811,0.433464996473943,8.20783528073408,0.971582649373525,0.931543843313934
INTERFERON_ALPHA_RESPONSE,1.14090934856661e-21,0.00134519296451733,0.147937733466511,0.272188905192229,0.684289739544859,0.231659750159613,6.52575724546786e-21,0.00848172066957184
INTERFERON_GAMMA_RESPONSE,1.63143931136696e-21,0.00496197345533555,0.183476111410457,0.295782894859219,0.699734356433293,0.217539931868389,6.52575724546786e-21,0.0198478938213422
MYC_TARGETS_V1,1.52149346225463e-21,0.00141362011159531,0.307322527503551,0.402047190452311,0.760603891448847,0.208975418985439,6.52575724546786e-21,0.00848172066957184
IL6_JAK_STAT3_SIGNALING,1.15852141691227e-19,0.0224847219317151,0.27707494033538,0.375092207489473,0.755212497689303,0.204998050553764,2.78045140058945e-19,0.0539633326361162
ALLOGRAFT_REJECTION,6.47584679157131e-17,0.0823345032696499,0.281010237192175,0.358329266389945,0.690231425087604,0.188941901066785,8.63446238876175e-17,0.1646690065393
MTORC1_SIGNALING,7.94451254186447e-20,0.0201616048489668,0.26764622123202,0.357661089391784,0.745147810331556,0.188512185539556,2.38335376255934e-19,0.0539633326361162
INFLAMMATORY_RESPONSE,4.47833035771142e-17,0.115145139536026,0.276743175608461,0.354628031308602,0.706680988835641,0.181153769926691,6.92132173363796e-17,0.187129002015403
TNFA_SIGNALING_VIA_NFKB,2.19637436141441e-12,0.336924877086659,0.273511257358441,0.319199236506656,0.627529460625041,0.129055451744127,2.63564923369729e-12,0.449233169448878
E2F_TARGETS,4.4337480252992e-19,0.124752668010269,0.245099549561038,0.285264826259193,0.75490079116348,0.0787861492292658,8.8674960505984e-19,0.187129002015403
G2M_CHECKPOINT,4.61421448909197e-17,0.48729182824359,0.24364919569652,0.258119182651082,0.750482281442976,0.0285498073458457,6.92132173363796e-17,0.584750193892308
FATTY_ACID_METABOLISM,0.773310610625584,0.931543843313934,0.438433937142167,0.433244234694218,0.453193870336792,-0.351607448320852,0.843611575227909,0.931543843313934
