sample,grp,a,b,depth,psi_beta
SRR1146076,NN,83,9,92,0.0978260869565217
SRR1146077,PP,40,12,52,0.230769230769231
SRR1146078,PP,176,7,183,0.0382513661202186
SRR1146079,PP,373,9,382,0.0235602094240838
SRR1146080,PP,245,16,261,0.0613026819923372
SRR1146081,PP,46,8,54,0.148148148148148
SRR1146082,PP,42,1,43,0.0232558139534884
SRR1146083,PP,140,9,149,0.0604026845637584
SRR1146084,PP,153,27,180,0.15
SRR1146085,NN,74,8,82,0.0975609756097561
SRR1146086,NN,48,3,51,0.0588235294117647
SRR1146087,PP,23,1,24,0.0416666666666667
SRR1146088,NN,25,2,27,0.0740740740740741
SRR1146089,PP,40,3,43,0.0697674418604651
SRR1146090,PP,47,4,51,0.0784313725490196
SRR1146091,PP,186,16,202,0.0792079207920792
SRR1146092,PP,27,2,29,0.0689655172413793
SRR1146093,PP,42,1,43,0.0232558139534884
SRR1146094,PP,112,6,118,0.0508474576271187
SRR1146095,PP,121,7,128,0.0546875
SRR1146096,NN,127,11,138,0.0797101449275362
SRR1146097,PP,144,12,156,0.0769230769230769
SRR1146098,PP,115,11,126,0.0873015873015873
SRR1146099,PP,174,12,186,0.0645161290322581
SRR1146100,PP,174,16,190,0.0842105263157895
SRR1146101,NN,122,10,132,0.0757575757575758
SRR1146102,PP,65,10,75,0.133333333333333
SRR1146103,PP,265,23,288,0.0798611111111111
SRR1146104,PP,314,22,336,0.0654761904761905
SRR1146105,PP,210,16,226,0.0707964601769912
SRR1146106,NN,90,6,96,0.0625
SRR1146107,NN,75,5,80,0.0625
SRR1146108,NN,100,3,103,0.029126213592233
SRR1146109,NN,76,9,85,0.105882352941176
SRR1146110,PP,371,19,390,0.0487179487179487
SRR1146111,NN,105,7,112,0.0625
SRR1146112,PP,111,7,118,0.0593220338983051
SRR1146113,NN,132,8,140,0.0571428571428571
SRR1146114,NN,110,6,116,0.0517241379310345
SRR1146115,NN,128,6,134,0.0447761194029851
SRR1146116,NN,109,6,115,0.0521739130434783
SRR1146117,NN,86,12,98,0.122448979591837
SRR1146118,NN,81,10,91,0.10989010989011
SRR1146119,PP,388,29,417,0.0695443645083933
SRR1146120,NN,77,2,79,0.0253164556962025
SRR1146121,NN,102,9,111,0.0810810810810811
SRR1146122,NN,146,2,148,0.0135135135135135
SRR1146123,PP,206,20,226,0.0884955752212389
SRR1146124,PP,414,18,432,0.0416666666666667
SRR1146125,NN,110,5,115,0.0434782608695652
SRR1146126,NN,146,11,157,0.0700636942675159
SRR1146127,NN,104,6,110,0.0545454545454545
SRR1146128,PP,274,12,286,0.041958041958042
SRR1146129,PP,23,1,24,0.0416666666666667
SRR1146130,NN,110,7,117,0.0598290598290598
SRR1146131,NN,125,9,134,0.0671641791044776
SRR1146132,PP,204,18,222,0.0810810810810811
SRR1146133,PP,149,13,162,0.0802469135802469
SRR1146134,PP,114,20,134,0.149253731343284
SRR1146135,PP,179,11,190,0.0578947368421053
SRR1146136,PP,336,13,349,0.0372492836676218
SRR1146137,NN,180,4,184,0.0217391304347826
SRR1146138,NN,80,2,82,0.024390243902439
SRR1146139,NN,77,5,82,0.0609756097560976
SRR1146140,PP,153,1,154,0.00649350649350649
SRR1146141,PP,265,19,284,0.0669014084507042
SRR1146142,NN,112,9,121,0.0743801652892562
SRR1146143,NN,99,7,106,0.0660377358490566
SRR1146144,NN,124,7,131,0.0534351145038168
SRR1146145,NN,106,6,112,0.0535714285714286
SRR1146146,NN,151,2,153,0.0130718954248366
SRR1146147,PP,235,13,248,0.0524193548387097
SRR1146148,PP,490,32,522,0.0613026819923372
SRR1146149,PP,232,12,244,0.0491803278688525
SRR1146150,PP,338,19,357,0.0532212885154062
SRR1146151,PP,142,8,150,0.0533333333333333
SRR1146152,PP,197,14,211,0.0663507109004739
SRR1146153,NN,116,6,122,0.0491803278688525
SRR1146154,PP,385,20,405,0.0493827160493827
SRR1146155,PP,426,24,450,0.0533333333333333
SRR1146156,PP,299,13,312,0.0416666666666667
SRR1146157,PP,334,18,352,0.0511363636363636
SRR1146158,PP,343,16,359,0.0445682451253482
SRR1146159,PP,302,20,322,0.062111801242236
SRR1146160,PP,422,36,458,0.0786026200873363
SRR1146161,PP,328,20,348,0.0574712643678161
SRR1146162,PP,379,16,395,0.0405063291139241
SRR1146163,PP,287,24,311,0.0771704180064309
SRR1146164,PP,371,18,389,0.0462724935732648
SRR1146165,PP,306,8,314,0.0254777070063694
SRR1146166,NN,104,8,112,0.0714285714285714
SRR1146167,NN,134,5,139,0.0359712230215827
SRR1146168,PP,342,13,355,0.0366197183098592
SRR1146169,NN,116,2,118,0.0169491525423729
SRR1146170,NN,80,10,90,0.111111111111111
SRR1146171,NN,237,6,243,0.0246913580246914
SRR1146172,NN,145,5,150,0.0333333333333333
SRR1146173,NN,113,5,118,0.0423728813559322
SRR1146174,NN,169,6,175,0.0342857142857143
SRR1146175,NN,141,11,152,0.0723684210526316
SRR1146176,NN,138,5,143,0.034965034965035
SRR1146177,NN,139,6,145,0.0413793103448276
SRR1146178,NN,103,1,104,0.00961538461538462
SRR1146179,NN,140,10,150,0.0666666666666667
SRR1146180,NN,166,10,176,0.0568181818181818
SRR1146181,NN,188,11,199,0.0552763819095477
SRR1146182,NN,169,6,175,0.0342857142857143
SRR1146183,NN,184,11,195,0.0564102564102564
SRR1146184,NN,126,5,131,0.0381679389312977
SRR1146185,NN,95,3,98,0.0306122448979592
SRR1146186,NN,118,0,118,0
SRR1146187,NN,163,7,170,0.0411764705882353
SRR1146188,NN,188,8,196,0.0408163265306122
SRR1146189,NN,171,9,180,0.05
SRR1146190,NN,179,12,191,0.0628272251308901
SRR1146191,NN,154,15,169,0.0887573964497041
SRR1146192,NN,217,21,238,0.0882352941176471
SRR1146193,NN,116,9,125,0.072
SRR1146194,NN,161,5,166,0.0301204819277108
SRR1146195,NN,155,6,161,0.0372670807453416
SRR1146196,NN,153,5,158,0.0316455696202532
SRR1146197,NN,121,7,128,0.0546875
SRR1146198,NN,189,3,192,0.015625
SRR1146199,PP,164,9,173,0.0520231213872832
SRR1146200,NN,208,5,213,0.0234741784037559
SRR1146201,NN,106,6,112,0.0535714285714286
SRR1146202,PP,140,18,158,0.113924050632911
SRR1146203,PP,409,14,423,0.033096926713948
SRR1146204,PP,157,10,167,0.0598802395209581
SRR1146205,PP,284,16,300,0.0533333333333333
SRR1146206,PP,147,11,158,0.069620253164557
SRR1146207,NN,55,0,55,0
SRR1146208,PP,200,13,213,0.0610328638497653
SRR1146209,PP,406,14,420,0.0333333333333333
SRR1146210,PP,203,7,210,0.0333333333333333
SRR1146211,PP,325,14,339,0.0412979351032448
SRR1146212,PP,262,12,274,0.0437956204379562
SRR1146213,NN,206,6,212,0.0283018867924528
SRR1146214,PP,255,30,285,0.105263157894737
SRR1146215,PP,518,31,549,0.0564663023679417
SRR1146216,PP,19,3,22,0.136363636363636
SRR1146217,PP,151,17,168,0.101190476190476
SRR1146218,PP,284,21,305,0.0688524590163935
SRR1146219,PP,377,25,402,0.0621890547263682
SRR1146220,PP,580,26,606,0.0429042904290429
SRR1146221,PP,229,16,245,0.0653061224489796
SRR1146222,PP,267,21,288,0.0729166666666667
SRR1146223,PP,447,18,465,0.0387096774193548
SRR1146224,PP,137,10,147,0.0680272108843538
SRR1146225,PP,315,24,339,0.0707964601769912
SRR1146226,PP,342,19,361,0.0526315789473684
SRR1146227,PP,311,13,324,0.0401234567901235
SRR1146228,PP,340,20,360,0.0555555555555556
SRR1146229,PP,297,11,308,0.0357142857142857
SRR1146230,NN,205,11,216,0.0509259259259259
SRR1146231,NN,198,8,206,0.0388349514563107
SRR1146232,NN,109,8,117,0.0683760683760684
SRR1146233,PP,685,24,709,0.0338504936530324
SRR1146234,PP,306,18,324,0.0555555555555556
SRR1146235,PP,468,24,492,0.0487804878048781
SRR1146236,NN,239,12,251,0.0478087649402391
SRR1146237,PP,538,15,553,0.027124773960217
SRR1146238,NN,104,1,105,0.00952380952380953
SRR1146239,PP,232,13,245,0.0530612244897959
SRR1146240,PP,601,5,606,0.00825082508250825
SRR1146241,PP,1147,11,1158,0.00949913644214162
SRR1146242,PP,297,21,318,0.0660377358490566
SRR1146243,NN,194,11,205,0.0536585365853659
SRR1146244,NN,245,1,246,0.0040650406504065
SRR1146245,NN,223,8,231,0.0346320346320346
SRR1146246,NN,172,5,177,0.0282485875706215
SRR1146247,NN,262,6,268,0.0223880597014925
SRR1146248,NN,224,8,232,0.0344827586206897
SRR1146249,NN,178,6,184,0.0326086956521739
SRR1146250,NN,116,5,121,0.0413223140495868
SRR1146252,PP,508,29,537,0.0540037243947858
SRR1146253,PP,397,16,413,0.0387409200968523
SRR1146254,PP,428,16,444,0.036036036036036
