statistic,source,condition,score,p_value,padj,rank,axis
ulm,RELA,PPvsNN,10.6682871867956,1.63771622484768e-26,1.1988082765885e-23,1,TRUE
ulm,RELB,PPvsNN,9.9528009198962,2.71446744213114e-23,7.00130354082253e-21,2,TRUE
ulm,REL,PPvsNN,9.94725520763314,2.86938669705842e-23,7.00130354082253e-21,3,TRUE
ulm,NFKB2,PPvsNN,9.87028062919739,6.1803009557809e-23,1.1309950749079e-20,4,TRUE
ulm,NFKB1_RELA,PPvsNN,9.61878207776531,7.28092576492479e-22,1.06592753198499e-19,5,FALSE
ulm,NFKB1_NFKB2,PPvsNN,9.43800943914699,4.12596035715838e-21,2.15728784388567e-19,6,FALSE
ulm,NFKB1_REL,PPvsNN,9.43800943914699,4.12596035715838e-21,2.15728784388567e-19,7,FALSE
ulm,NFKB1_RELB,PPvsNN,9.43800943914699,4.12596035715838e-21,2.15728784388567e-19,8,FALSE
ulm,NFKB2_REL,PPvsNN,9.43800943914699,4.12596035715838e-21,2.15728784388567e-19,9,FALSE
ulm,NFKB2_RELA,PPvsNN,9.43800943914699,4.12596035715838e-21,2.15728784388567e-19,10,FALSE
ulm,NFKB2_RELB,PPvsNN,9.43800943914699,4.12596035715838e-21,2.15728784388567e-19,11,FALSE
ulm,RELA_RELB,PPvsNN,9.43800943914699,4.12596035715838e-21,2.15728784388567e-19,12,FALSE
ulm,REL_RELA,PPvsNN,9.43800943914699,4.12596035715838e-21,2.15728784388567e-19,13,FALSE
ulm,REL_RELB,PPvsNN,9.43800943914699,4.12596035715838e-21,2.15728784388567e-19,14,FALSE
ulm,NFKB1,PPvsNN,9.39825990643658,6.01605254634185e-21,2.93583364261482e-19,15,TRUE
ulm,STAT1,PPvsNN,9.30260652316846,1.4814800361948e-20,6.77777116559122e-19,16,TRUE
ulm,MYC,PPvsNN,8.86163461502134,8.40874616846687e-19,3.62070717371632e-17,17,TRUE
ulm,E2F1,PPvsNN,8.10843747843562,5.365167899001e-16,2.18183494559374e-14,18,TRUE
ulm,STAT3,PPvsNN,7.68100482762732,1.63732271253462e-14,6.30800118723864e-13,19,TRUE
ulm,IRF1,PPvsNN,7.42176046694172,1.19331122213373e-13,4.36751907300946e-12,20,TRUE
ulm,JUN,PPvsNN,7.23116314050587,4.92909681073056e-13,1.71814231688322e-11,21,TRUE
