pathway,k_old,Zc_old,p_old,FDR_old,k_new,Zc_new,p_new,FDR_new,direction_consistent
HALLMARK_INTERFERON_ALPHA_RESPONSE,3,59.745675176908,1.66880540830754e-308,1.66880575455895e-308,4,16.752,5.45370458728514e-63,2.72685229364257e-61,TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE,3,36.2746863611731,4.05682825938702e-288,6.7613804323117e-287,4,15.133,9.86440216519473e-52,2.46610054129868e-50,TRUE
HALLMARK_E2F_TARGETS,3,35.3263284946714,2.31583039888405e-273,2.89478799860507e-272,4,15.052,3.35230795231085e-51,5.58717992051808e-50,TRUE
HALLMARK_MYC_TARGETS_V1,3,51.9775577834301,1.66880540830754e-308,1.66880575455895e-308,4,14.064,6.29085074479784e-45,7.86356343099731e-44,TRUE
HALLMARK_G2M_CHECKPOINT,3,34.1705253459633,6.6284645777172e-256,6.6284645777172e-255,4,13.094,3.5776242042822e-39,3.5776242042822e-38,TRUE
HALLMARK_ALLOGRAFT_REJECTION,3,9.23023793807518,2.70031386304403e-20,2.2502615525367e-19,4,9.901,4.1419245498902e-23,3.45160379157516e-22,TRUE
HALLMARK_MYC_TARGETS_V2,3,9.15648762087985,5.36139450043299e-20,3.82956750030928e-19,4,9.427,4.22088827553254e-21,3.01492019680896e-20,TRUE
HALLMARK_MTORC1_SIGNALING,3,9.09540816877549,9.42318481745649e-20,5.88949051091031e-19,4,9.081,1.07958191931297e-19,6.74738699570604e-19,FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING,3,8.52177594486872,1.57125131281596e-17,8.72917396008866e-17,4,8.509,1.75736863239512e-17,9.76315906886177e-17,TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,3,6.91859003913925,4.56160829139575e-12,1.90067012141489e-11,4,7.43,1.08368459841472e-13,5.41842299207358e-13,FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3,8.26766983654305,1.36602565272912e-16,6.83012826364562e-16,4,7.198,6.0943302788399e-13,2.77015012674541e-12,FALSE
HALLMARK_INFLAMMATORY_RESPONSE,3,7.18256557962358,6.84152256671314e-13,3.10978298486961e-12,4,6.95,3.65752273701742e-12,1.52396780709059e-11,FALSE
