pathway,NES_mega,padj_mega,NES_meta,padj_meta,nlp_mega,nlp_meta
HALLMARK_E2F_TARGETS,3.24963350850882,1.55993943300359e-43,3.26762897074073,2.31224892616796e-37,42.8068922634551,36.6359654135725
HALLMARK_INTERFERON_GAMMA_RESPONSE,3.07398454610413,1.04999206499818e-34,3.25881848859285,3.46818061132795e-37,33.9788139829687,36.4598982939926
HALLMARK_MYC_TARGETS_V1,3.07646479362767,1.04999206499818e-34,3.19507770069268,1.03411663663648e-34,33.9788139829687,33.985430474984
HALLMARK_G2M_CHECKPOINT,3.08899060794308,1.5873203327343e-34,3.16282159136451,2.24969382810641e-33,33.7993354206299,32.6478765831383
HALLMARK_INTERFERON_ALPHA_RESPONSE,3.05095934162059,3.50271693247087e-26,3.33931050257012,5.84385814361829e-31,25.4555949582099,30.233300334865
HALLMARK_MTORC1_SIGNALING,2.76018050105324,9.84770607983224e-24,2.43711918439714,6.36189544736202e-14,23.0066649220804,13.1964134724507
HALLMARK_MYOGENESIS,-2.62500940200215,1.93246780351191e-17,-2.23858333791152,9.60915790640097e-10,16.7138877330493,9.01731466983692
HALLMARK_ALLOGRAFT_REJECTION,2.57969181633687,2.64941533484773e-17,2.60783543729876,1.13021691030392e-16,16.5768499543138,15.946838199076
HALLMARK_INFLAMMATORY_RESPONSE,2.49175693456168,1.0189056352415e-15,1.67518777596467,0.000485073686282221,14.9918660358087,3.31419228384103
HALLMARK_TNFA_SIGNALING_VIA_NFKB,2.33243595366503,5.2386717140949e-13,1.01339144992343,0.495123780945236,12.2807788161396,0.305286213871991
HALLMARK_MYC_TARGETS_V2,2.59261282239336,1.82847260165465e-11,2.57725227111107,2.72000191383895e-10,10.7379115428673,9.56543079038881
HALLMARK_IL6_JAK_STAT3_SIGNALING,2.48920502255653,6.41549337838404e-11,2.22333436139166,8.2583018731435e-07,10.1927699389352,6.08310924601396
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,2.30375071280682,1.06223380413879e-09,2.10857837419575,2.49081134034235e-06,8.97377988186874,5.60365916565945
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.03064517861803,7.39576311611107e-08,1.83502658175356,1.80308847303449e-05,7.1310170076012,4.74398296301249
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.92697589935099,9.74497554368334e-07,-1.29802118974089,0.107806691449814,6.01121924646495,0.967354282103452
