pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection
REACTOME_CELL_CYCLE_MITOTIC,5.11685296544739e-47,7.01520541562838e-44,1.78578387179408,0.579779272304818,2.96996515953,481,MCM6;ENSA;NDEL1;VRK1;POLD3;RFC3;RFC5;GINS2;RPA3;HAUS8;MAD2L1;ZWILCH;MCM4;LCMT1;CCNB2;TICRR;KIF23;AURKA;CENPN;KPNB1;CEP78;NDC1;MIS12;NUP210;CCNB1;AURKB;NCAPH;CSNK2B;CDC6;NUP107,Reactome
HALLMARK_E2F_TARGETS,4.92958375332692e-39,2.46479187666346e-37,1.62807167569582,0.71252764367566,3.32913219214951,197,MCM6;SRSF2;TCF19;POLD3;UBE2T;RFC3;RPA3;ILF3;MAD2L1;MCM4;CCNB2;AURKA;HMGB2;HMGB3;KPNA2;AURKB;KIF22;NUP107;RAD51AP1;TIMELESS;CTPS1;CDCA8;PTTG1;CDC25A;MCM2;MYBL2;CDKN3;BIRC5;DEK;PLK4,Hallmark
HALLMARK_INTERFERON_GAMMA_RESPONSE,2.43005714460266e-36,6.07514286150665e-35,1.56979165706381,0.692307195278609,3.24347173316155,194,SP110;IDO1;PARP14;BATF2;ADAR;PML;IFIT1;STAT1;OAS2;NMI;MX2;IFI44L;ST8SIA4;HERC6;XAF1;PSMB8;IRF9;UBE2L6;IFIH1;IFI30;CMPK2;KLRK1;RSAD2;MX1;IFI44;OAS3;CIITA;PSMB9;CFB;GCH1,Hallmark
HALLMARK_G2M_CHECKPOINT,1.9824282205903e-35,3.30404703431717e-34,1.54987806027287,0.694322163337121,3.24884275355843,193,MCM6;SRSF2;TLE3;BCL3;PML;CCNF;PRC1;GINS2;ILF3;MAD2L1;CCNB2;KIF23;AURKA;KPNB1;HMGB3;KPNA2;AURKB;KIF22;CDC6;PBK;UBE2C;CCNA2;NUSAP1;EXO1;CENPA;PTTG1;CDC25A;MCM2;MYBL2;CDKN3,Hallmark
HALLMARK_MYC_TARGETS_V1,4.04573757472398e-31,5.05717196840497e-30,1.44620288250144,0.665131392750392,3.11086085700246,195,MCM6;SRSF2;MAD2L1;MCM4;SNRPA1;HSPD1;KPNB1;PABPC4;KPNA2;HNRNPA2B1;CCNA2;CTPS1;RFC4;SRSF3;MCM2;DEK;CCT5;CLNS1A;CCT2;CDC20;NOLC1;PCNA;TFDP1;CSTF2;SET;CDC45;RRM1;RANBP1;ILF2;SNRPD1,Hallmark
REACTOME_CELL_CYCLE_CHECKPOINTS,1.25959820240796e-32,8.63454567750658e-30,1.48156758833633,0.625976759946201,3.03081023579083,252,MCM6;NDEL1;RFC3;RFC5;RPA3;MAD2L1;ZWILCH;MCM4;CCNB2;CENPN;MIS12;CCNB1;AURKB;CSNK1A1;CDC6;NUP107;UBE2C;CCNA2;RFC4;EXO1;CENPA;CDCA8;CDC25A;MCM2;ORC1;NUP37;BIRC5;ZWINT;MAPK14;CDC23,Reactome
REACTOME_M_PHASE,4.19346032834452e-28,1.91641137005344e-25,1.37274298193398,0.556161572026251,2.76747244390522,335,ENSA;NDEL1;VRK1;HAUS8;MAD2L1;ZWILCH;CCNB2;KIF23;CENPN;KPNB1;CEP78;NDC1;MIS12;NUP210;CCNB1;AURKB;NCAPH;CSNK2B;NUP107;UBE2C;RCC1;CENPA;HDAC8;CDCA8;PTTG1;NUP37;BIRC5;TUBGCP5;CEP152;ZWINT,Reactome
GOBP_RESPONSE_TO_VIRUS,9.24114847119038e-29,4.49581873123412e-25,1.39518713415833,0.541823338755139,2.72045035127813,364,DTX3L;OAS1;NT5C3A;ADAR;BCL3;PML;IFIT1;STAT1;PTPRC;IFIT5;OAS2;NMI;MX2;PARP9;IFI44L;GBP2;MMP12;GBP5;GBP1;IFI16;TRIM15;ILF3;IRF9;LGALS9;IFIH1;DDX60L;IFI6;TNF;TLR8;IL12RB1,GO:BP
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,6.52850440243241e-28,1.58805869589168e-24,1.37274298193398,0.508365861418502,2.61272568294196,439,TNIP3;PARP14;SYK;OAS1;ADAR;KLRB1;FFAR2;LAG3;NMI;PARP9;GBP2;LTF;SH2D1A;MMP12;GBP5;NOD2;S100A8;PTPN22;SERPINB4;IL18RAP;IFI16;TRIM15;CD300E;PYDC1;LGALS9;IFIH1;NLRX1;TNF;CTSS;HSPD1,GO:BP
HALLMARK_INTERFERON_ALPHA_RESPONSE,7.2049179758436e-25,7.2049179758436e-24,1.29512308741004,0.755110194124915,3.14347417322443,95,SP110;PARP14;OAS1;BATF2;ADAR;NMI;PARP9;IFI44L;GBP2;HERC6;PSMB8;IRF9;UBE2L6;IFIH1;IFI30;NCOA7;CMPK2;RSAD2;MX1;IFI44;PSMB9;TRIM26;TAP1;IRF7;PARP12;PNPT1;TRIM25;TRIM21;CXCL10;IFIT3,Hallmark
