pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection,padj_percollection,padj_joint
REACTOME_CELL_CYCLE_MITOTIC,9.66245630955725e-52,1.32762149693317e-48,1.87625989921711,0.592342933497073,3.06059545483952,481,MCM6;MCM4;NCAPG2;RFC5;MCM2;NUP37;ENSA;RFC3;ZWILCH;SMC2;POLA2;RFC4;VRK1;MAD2L1;TMPO;NUP107;POLE2;GINS2;CEP152;MCM5;ZWINT;CCNE2;AURKB;E2F1;BORA;RPA3;MCM3;CSNK2B;PLK4;MCM7,Reactome,1.32762149693317e-48,6.26223793422405e-48
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,1.15139476640017e-44,5.61420088096722e-41,1.73878131184881,0.566850993584172,2.88780472302233,482,TSR1;NOP56;SNRPA1;PRPF4;NOL11;WDR43;EXOSC10;SHQ1;MRTO4;RPL7L1;SRSF1;SNRPD1;DHX37;NOB1;EXOSC8;MPHOSPH10;WDR18;FCF1;NOC2L;RIOK3;PA2G4;EFTUD2;SENP3;MTG1;ADAR;BRIX1;DKC1;TFB2M;DDX3X;NOP58,GO:BP,5.61420088096722e-41,3.73109474051974e-41
HALLMARK_E2F_TARGETS,4.62449785233593e-39,2.31224892616796e-37,1.62807167569582,0.703862448336739,3.26762897074073,197,MCM6;MCM4;MCM2;RFC3;POLA2;MAD2L1;CSE1L;TCF19;TMPO;RAD51AP1;RANBP1;ILF3;NUP107;PSMC3IP;NOP56;MCM5;CDKN3;AURKB;RPA3;HMGB2;MCM3;DCLRE1B;ASF1B;TIMELESS;PLK4;MCM7;SRSF1;BIRC5;EXOSC8;SSRP1,Hallmark,2.31224892616796e-37,9.99045686032972e-36
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.38727224453118e-38,3.46818061132795e-37,1.61530228892975,0.701934625332929,3.25881848859285,195,IFIH1;PSMB8;NMI;IFI35;IFI44L;MX2;IFIT1;HLA-B;HERC6;XAF1;UBE2L6;PARP12;CASP8;IFI30;IFI44;HELZ2;CMPK2;RSAD2;SP110;STAT2;MX1;TRIM26;ISG15;STAT1;IFIT3;IRF9;TRIM21;PSMB9;EPSTI1;PNPT1,Hallmark,3.46818061132795e-37,2.24772785420164e-35
REACTOME_CELL_CYCLE_CHECKPOINTS,2.85580219331291e-38,1.96193610680597e-35,1.60887959037681,0.653110083656262,3.14181520380405,252,MCM6;MCM4;RFC5;MCM2;NUP37;RFC3;ZWILCH;RFC4;MAD2L1;NUP107;CSNK1A1;MCM5;ZWINT;CCNE2;AURKB;RPA3;MCM3;MCM7;SPDL1;PKMYT1;ORC1;BIRC5;CCNB1;CDK1;MAPK14;SGO2;CDC45;CCNA2;CENPP;INCENP,Reactome,1.96193610680597e-35,3.7016908029722e-35
HALLMARK_MYC_TARGETS_V1,6.20469981981885e-36,1.03411663663648e-34,1.55654423323138,0.688205150607734,3.19507770069268,195,MCM6;MCM4;MCM2;RFC4;MAD2L1;RANBP1;NOP56;SNRPA1;MCM5;MCM7;SRSF1;SNRPD1;CDC45;CCNA2;CBX3;HNRNPA2B1;PA2G4;CCT5;PCNA;RRM1;CCT2;PPM1G;NPM1;C1QBP;DDX18;HNRNPR;SNRPD3;SNRPG;RRP9;POLE3,Hallmark,1.03411663663648e-34,6.702109922041e-33
GOBP_RIBOSOME_BIOGENESIS,8.01239367384948e-36,1.9534215776845e-32,1.55654423323138,0.601318189814869,2.93891755188004,313,TSR1;NOP56;NOL11;WDR43;EXOSC10;MRTO4;RPL7L1;DHX37;NOB1;EXOSC8;MPHOSPH10;WDR18;FCF1;NOC2L;RIOK3;PA2G4;SENP3;MTG1;BRIX1;DKC1;TFB2M;DDX3X;NOP58;DDX49;DDX54;BMS1;ABCF1;NPM1;EIF5;MYBBP1A,GO:BP,1.9534215776845e-32,7.41833191431693e-33
HALLMARK_G2M_CHECKPOINT,1.79975506248513e-34,2.24969382810641e-33,1.52970525162309,0.681552200179394,3.16282159136451,193,MCM6;MCM2;SMC2;POLA2;MAD2L1;TMPO;PRC1;ILF3;GINS2;PBK;MCM5;CDKN3;AURKB;E2F1;MCM3;PLK4;SRSF1;SNRPD1;BIRC5;CDK1;MAPK14;CDC45;CCNA2;STMN1;INCENP;NUSAP1;KIF23;CHEK1;CCNB2;KIF2C,Hallmark,2.24969382810641e-33,1.45802656999577e-31
REACTOME_M_PHASE,1.03024588166054e-33,4.71852613800529e-31,1.50926283727233,0.577884549156188,2.85885452790409,335,NCAPG2;NUP37;ENSA;ZWILCH;SMC2;VRK1;MAD2L1;TMPO;NUP107;CEP152;ZWINT;AURKB;CSNK2B;PLK4;SPDL1;BIRC5;NDC1;CCNB1;CDK1;SGO2;CENPP;INCENP;CDC23;KIF23;CCNB2;KIF2C;CENPK;HAUS1;TUBGCP5;CENPL,Reactome,4.71852613800529e-31,7.4189150656022e-31
GOBP_HOMOPHILIC_CELL_CELL_ADHESION,5.78372676543198e-33,9.40048390274878e-30,1.49547932629977,-0.713017129614474,-3.2162140744486,163,PCDHB16;PCDHB9;PCDHB14;PCDHB4;PCDHB2;PCDHB12;PCDHAC1;PCDHGC5;CDH20;PCDHGA10;PCDHGC4;PCDHGA9;PCDHA7;PCDHGB6;PCDHB8;PCDHGA1;PCDHGB7;PCDHGA12;PCDHB3;PCDHA1;PCDHGA2;PCDHGA11;PCDHGA4;PCDHGA3;PCDHGA7;PCDHGA5;IGSF11;PCDHGB1;PCDHGC3;PCDHA3,GO:BP,9.40048390274878e-30,3.74843331667647e-30
HALLMARK_INTERFERON_ALPHA_RESPONSE,5.84385814361829e-32,5.84385814361829e-31,1.46752397671296,0.798970764909691,3.33931050257012,95,IFIH1;PSMB8;NMI;IFI35;IFI44L;HERC6;PARP9;UBE2L6;PARP12;CASP8;IFI30;IFI44;HELZ2;GBP2;CMPK2;RSAD2;SP110;STAT2;MX1;TRIM26;ISG15;IFIT3;IRF9;TRIM21;PSMB9;EPSTI1;PNPT1;DHX58;CD47;PSME1,Hallmark,5.84385814361829e-31,3.44309496625365e-29
GOBP_RRNA_METABOLIC_PROCESS,2.18511017876412e-31,2.66364930791346e-28,1.45334466856494,0.606292399035902,2.93284394571691,267,TSR1;IPPK;NOP56;DEDD2;NOL11;WDR43;EXOSC10;MRTO4;RPL7L1;DHX37;NOB1;EXOSC8;MPHOSPH10;WDR18;FCF1;RIOK3;PA2G4;SENP3;BRIX1;DKC1;TFB2M;NOP58;DDX49;DDX54;BMS1;SLFN5;NOC4L;DDX18;UTP15;RBFA,GO:BP,2.66364930791346e-28,1.18014158904752e-28
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,3.11754005508649e-31,1.07087500892221e-28,1.45334466856494,0.643317523674405,3.02068126754226,218,NUP37;ZWILCH;VRK1;MAD2L1;TMPO;NUP107;ZWINT;AURKB;SPDL1;BIRC5;NDC1;CCNB1;CDK1;SGO2;CENPP;INCENP;CDC23;CCNB2;KIF2C;CENPK;CENPL;RCC1;CENPU;CENPS;PSMD2;NDC80;PTTG1;TUBB2A;DYNLL1;CENPO,Reactome,1.07087500892221e-28,1.55421362284735e-28
GOBP_RRNA_PROCESSING,4.16081702953694e-30,4.05762876720443e-27,1.42456271623384,0.627052610957017,2.97313011190224,224,TSR1;NOP56;NOL11;WDR43;EXOSC10;MRTO4;RPL7L1;DHX37;NOB1;EXOSC8;MPHOSPH10;WDR18;FCF1;RIOK3;PA2G4;SENP3;BRIX1;DKC1;TFB2M;NOP58;DDX49;DDX54;BMS1;NOC4L;DDX18;UTP15;RBFA;RPUSD3;EBNA1BP2;GTPBP4,GO:BP,4.05762876720443e-27,1.92616108345921e-27
REACTOME_INTERFERON_SIGNALING,2.29679290024972e-29,6.31158688988623e-27,1.40995143033448,0.596070564675077,2.88261754051031,262,IFIH1;PSMB8;IFIT5;IFI35;IFI44L;MX2;NUP37;IFIT1;HLA-B;IFI6;XAF1;UBE2L6;IFI30;ILF3;IFI44;NUP107;GBP2;RSAD2;STAT2;MX1;FANCG;TRIM26;ISG15;STAT1;IFIT3;IRF9;TRIM21;HLA-A;NDC1;GBP3,Reactome,6.31158688988623e-27,9.92367652434563e-27
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,2.32336676375847e-27,1.88812272334771e-24,1.3575740855908,0.502708161809247,2.54890819865289,441,IFIH1;NMI;IFI35;LAG3;HLA-B;PARP9;FFAR2;CASP8;HAVCR2;GBP2;CTSS;RSAD2;STAT2;SYK;ISG15;CSNK1A1;N4BP1;AURKB;LGALS9;TRIM21;HMGB2;PYCARD;PARP1;CD300C;MAPK8;ARG1;ZNFX1;DHX58;HLA-A;LY96,GO:BP,1.88812272334771e-24,9.41108749744914e-25
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,6.87416969658709e-27,1.57418486051844e-24,1.34223377296446,0.57007760916921,2.77558098863535,286,NUP37;NUP107;SNRPA1;PRPF4;THOC6;WTAP;SRSF1;SNRPD1;HNRNPF;NDC1;CPSF3;HNRNPA2B1;EFTUD2;UPF3B;ALYREF;SNRNP40;LSM5;SNIP1;DDX46;RBBP6;PPIH;HNRNPL;CSTF1;HNRNPR;DHX9;NUP85;SNRPD3;PTBP1;DHX8;EIF4A3,Reactome,1.57418486051844e-24,2.62067610609299e-24
GOBP_RESPONSE_TO_VIRUS,4.31687942427065e-26,3.00701486753482e-23,1.32671609800481,0.523982160126941,2.59967851335988,367,IFIH1;NT5C3A;DDX60L;IFIT5;NMI;IFI44L;MX2;IFIT1;PRF1;IFI6;PARP9;ILF3;IFI44;GBP2;RSAD2;STAT2;MX1;TRIM26;ISG15;STAT1;IFIT3;IRF9;LGALS9;TRIM21;PYCARD;WDFY4;SMPD1;ZNFX1;DHX58;VAMP8,GO:BP,3.00701486753482e-23,1.55431641937212e-23
GOBP_CHROMOSOME_SEGREGATION,2.10285914314126e-25,1.2816926477446e-22,1.30309315086572,0.5017577578045,2.52777415765819,406,NCAPG2;NUP37;ZWILCH;SMC2;MAD2L1;PRC1;PSMC3IP;ZWINT;CCNE2;AURKB;MND1;RAD18;SPDL1;BIRC5;NDC1;CCNB1;CDK1;FANCD2;SGO2;CENPP;INCENP;NUSAP1;CDC23;KIF23;RIOK3;CEP55;BCCIP;CCNB2;KIF2C;CENPK,GO:BP,1.2816926477446e-22,7.17296321405186e-23
