pathway,k,meanNES,nUp,Zc_up,p_stouffer_up,p_fisher,size,collection,FDR_stouffer_up,FDR_fisher,direction_consistent
HALLMARK_INTERFERON_GAMMA_RESPONSE,4,2.90722448124952,4,21.6817831973727,1.52418736498341e-104,3.17845873955859e-102,195,Hallmark,1.00550640467956e-100,6.98943076828933e-99,TRUE
REACTOME_CELL_CYCLE_MITOTIC,4,1.9301256487084,3,20.9236571068874,1.63060389482588e-97,3.25527618910554e-125,481,Reactome,5.37854694708316e-94,2.14750570195292e-121,FALSE
HALLMARK_E2F_TARGETS,4,2.75755439010159,4,20.7841542060948,3.01079695795267e-96,1.67530232720672e-106,197,Hallmark,6.62074251053792e-93,5.52598472629137e-103,TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE,4,3.08414898805623,4,19.9214719444639,1.32541447489685e-88,2.49482661676181e-85,95,Hallmark,2.18593982272363e-85,2.0572963988472e-82,TRUE
REACTOME_CELL_CYCLE_CHECKPOINTS,4,2.03598861784059,3,18.7237771250009,1.5843230678533e-78,1.51802100544603e-101,252,Reactome,2.09035585572565e-75,2.50359614323186e-98,FALSE
HALLMARK_MYC_TARGETS_V1,4,2.463770089297,4,18.4258879417034,4.07216448444907e-76,8.93233919795857e-97,195,Hallmark,4.47734485065175e-73,1.17853283377865e-93,TRUE
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,4,1.77614140735531,3,17.9069413683301,5.20505630873878e-72,6.50832116509663e-92,475,GO:BP,4.90539378124996e-69,7.15589912102374e-89,FALSE
REACTOME_M_PHASE,4,1.82169754246567,3,17.1259185189655,4.75483073862261e-66,6.35971619503479e-86,335,Reactome,3.92095229783667e-63,5.99357824837779e-83,FALSE
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,4,1.95152460602387,3,16.9001209272365,2.24492444440589e-64,1.67986330516785e-84,218,Reactome,1.64552961774952e-61,1.23133980268803e-81,FALSE
REACTOME_INTERFERON_SIGNALING,4,2.37727755456653,4,16.7027388151624,6.25921485425819e-63,1.76208361684728e-63,262,Reactome,4.12920403935413e-60,7.26529101271345e-61,TRUE
GOBP_RESPONSE_TO_VIRUS,4,2.18937863809653,4,16.1343842197826,7.31295167506919e-59,5.10833425651471e-61,367,GO:BP,4.38577656367558e-56,1.87220450501264e-58,TRUE
HALLMARK_G2M_CHECKPOINT,4,2.32693037557448,4,16.0393096381512,3.39525004010775e-58,8.07186815357558e-74,193,Hallmark,1.86653870954924e-55,4.84091947355801e-71,TRUE
REACTOME_TRANSLATION,4,1.71933990573921,3,15.9504100579731,1.41516203788098e-57,2.08335066668522e-79,346,Reactome,7.18140304915448e-55,1.37438643481224e-76,FALSE
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,4,2.61679255643076,4,15.8210761819505,1.11327034993891e-56,1.24093656682976e-58,105,GO:BP,5.24588892753357e-54,3.72111751426178e-56,TRUE
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,4,2.08296780591847,4,15.8113538776896,1.29911320962804e-56,2.17838465183446e-60,445,GO:BP,5.71349989594412e-54,7.56358081481679e-58,TRUE
GOBP_RIBOSOME_BIOGENESIS,4,1.79905786877251,3,15.7735681479047,2.36501740414259e-56,1.02748412519752e-70,314,GO:BP,9.75126238445541e-54,5.64859397827336e-68,FALSE
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,4,1.95839934619255,3,15.5556849330882,7.27946824308485e-55,4.22112733326531e-70,173,Reactome,2.7904403654512e-52,2.14205977058086e-67,FALSE
GOBP_CHROMOSOME_SEGREGATION,4,2.02639830153923,4,15.5528101532961,7.61375270245894e-55,1.32401784985278e-68,407,GO:BP,2.7904403654512e-52,6.23896125391344e-66,TRUE
REACTOME_SYNTHESIS_OF_DNA,4,2.53164473810325,4,15.2768625932668,5.45333179415776e-53,4.39521833747722e-60,108,Reactome,1.89345420242415e-50,1.44976276861686e-57,TRUE
REACTOME_DNA_REPLICATION,4,2.43635050707145,4,15.2290270359306,1.13471842891037e-52,1.72096639127958e-62,124,Reactome,3.74286873776087e-50,6.6783619313361e-60,TRUE
REACTOME_NEUTROPHIL_DEGRANULATION,4,2.02831932428353,4,15.1702915551024,2.78145828686319e-52,1.71885783145814e-63,441,Reactome,8.7377525325888e-50,7.26529101271345e-61,TRUE
GOBP_DEFENSE_RESPONSE_TO_VIRUS,4,2.24321131329728,4,15.0624941512627,1.42899051479113e-51,7.84911644071113e-51,277,GO:BP,4.28502292094413e-49,1.67034261804424e-48,TRUE
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE,4,1.99136824116866,4,14.9632883802761,6.37819025734369e-51,6.06308960952791e-55,491,GO:BP,1.8294313533781e-48,1.5383923905406e-52,TRUE
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,4,2.01434064559167,4,14.9174973865476,1.2680404940521e-50,7.06797455033257e-53,473,GO:BP,3.4855263080257e-48,1.60784234857048e-50,TRUE
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,4,2.06611579573437,4,14.3435911610504,5.84245486954392e-47,1.94288298292835e-58,306,GO:BP,1.54170699097525e-44,5.57269523407753e-56,TRUE
REACTOME_G2_M_CHECKPOINTS,4,2.32015976068825,4,14.1881535550834,5.42387414766756e-46,4.9323956103096e-57,120,Reactome,1.37620375969857e-43,1.35579224338385e-54,TRUE
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,4,1.86559019658172,3,13.9558923219021,1.44826813310256e-44,2.08301618092962e-55,197,GO:BP,3.53860180521392e-42,5.49666309823707e-53,FALSE
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,4,2.00329373129898,4,13.947229055847,1.63533759731577e-44,1.55699654542796e-47,389,GO:BP,3.85297218910433e-42,2.70302795004954e-45,TRUE
GOBP_RRNA_METABOLIC_PROCESS,4,1.73527695761467,3,13.8369548492837,7.62663270365375e-44,6.51545199971404e-54,269,GO:BP,1.73492744641392e-41,1.59194210526346e-51,FALSE
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,4,2.10676222869423,4,13.8253859773809,8.95744807791323e-44,3.41486084309065e-48,286,Reactome,1.96974283233312e-41,6.43652485196257e-46,TRUE
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,4,2.29690386070268,4,13.7582219233084,2.27284806861915e-43,7.23220944387399e-50,138,Reactome,4.83676732538082e-41,1.49096517816365e-47,TRUE
GOBP_ORGANELLE_FISSION,4,1.48689402695631,3,13.7469547060183,2.65593813419865e-43,1.54096766764498e-53,457,GO:BP,5.4753824597839e-41,3.63062989409068e-51,FALSE
GOBP_RRNA_PROCESSING,4,1.79299607054626,3,13.6457208267532,1.07043039893077e-42,1.63725277553078e-52,225,GO:BP,2.13988767931706e-40,3.60031885339218e-50,FALSE
REACTOME_S_PHASE,4,2.27371874033238,4,13.6011802464673,1.97011573959005e-42,1.89232952258896e-48,150,Reactome,3.82260398061046e-40,3.67167584132923e-46,TRUE
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,4,2.43704174542546,4,13.5219071042419,5.80629120503006e-42,2.61513019864202e-44,94,Reactome,1.09440294513095e-39,3.8337808712092e-42,TRUE
