pathway,k,nUp,nDown,direction_consistent,Zc,meanNGenes,p_stouffer,FDR_stouffer,p_fisher,FDR_fisher,minStudyP,maxStudyP
HALLMARK_INTERFERON_ALPHA_RESPONSE,4,4,0,TRUE,16.752,93,5.45370458728514e-63,2.72685229364257e-61,9.77330011623312e-72,4.88665005811656e-70,1.24989106566651e-23,7.89193805732926e-18
HALLMARK_INTERFERON_GAMMA_RESPONSE,4,4,0,TRUE,15.133,188,9.86440216519473e-52,2.46610054129868e-50,1.26100658612801e-54,3.15251646532002e-53,9.7383578588789e-23,5.13824567971534e-11
HALLMARK_E2F_TARGETS,4,4,0,TRUE,15.052,197,3.35230795231085e-51,5.58717992051808e-50,5.56984440522653e-50,9.28307400871087e-49,7.96096986491369e-25,0.0099051580929031
HALLMARK_MYC_TARGETS_V1,4,4,0,TRUE,14.064,195,6.29085074479784e-45,7.86356343099731e-44,5.85468969473584e-46,7.3183621184198e-45,1.21587461607627e-20,0.782590675561865
HALLMARK_G2M_CHECKPOINT,4,4,0,TRUE,13.094,193,3.5776242042822e-39,3.5776242042822e-38,2.25549227923518e-37,2.25549227923518e-36,1.25699699308436e-21,0.597212631799181
HALLMARK_ALLOGRAFT_REJECTION,4,4,0,TRUE,9.901,162,4.1419245498902e-23,3.45160379157516e-22,2.52274968220681e-21,1.80196405871915e-20,2.24630633347131e-11,0.0159482745869531
HALLMARK_MYC_TARGETS_V2,4,4,0,TRUE,9.427,57,4.22088827553254e-21,3.01492019680896e-20,2.49164448178337e-19,1.55727780111461e-18,4.43527583468708e-11,0.155938299033082
HALLMARK_MTORC1_SIGNALING,4,3,1,FALSE,9.081,194,1.07958191931297e-19,6.74738699570604e-19,3.72933239441374e-25,3.10777699534479e-24,8.65318992080868e-14,0.0991246735811808
HALLMARK_IL6_JAK_STAT3_SIGNALING,4,4,0,TRUE,8.509,75,1.75736863239512e-17,9.76315906886177e-17,1.23227898895598e-15,6.1613949447799e-15,1.61662015870122e-10,0.19908299355119
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,4,3,1,FALSE,7.43,107,1.08368459841472e-13,5.41842299207358e-13,1.50232969548715e-13,6.82877134312341e-13,1.10683126210196e-07,0.154233709305953
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4,2,2,FALSE,7.198,186,6.0943302788399e-13,2.77015012674541e-12,1.81662471556765e-17,1.00923595309314e-16,3.29843714310675e-16,0.949249944182581
HALLMARK_INFLAMMATORY_RESPONSE,4,3,1,FALSE,6.95,170,3.65752273701742e-12,1.52396780709059e-11,1.00023677276225e-10,3.57227418843659e-10,6.23264567947412e-09,0.891969458215533
HALLMARK_DNA_REPAIR,4,4,0,TRUE,6.593,147,4.31113119615323e-11,1.65812738313586e-10,2.30343706262292e-11,8.85937331778045e-11,3.19954599841914e-07,0.94208439409862
HALLMARK_MYOGENESIS,4,1,3,FALSE,-6.36,166,2.01757725902733e-10,7.20563306795475e-10,7.82393226323861e-09,2.44497883226207e-08,1.31443917179772e-07,0.793842587147163
HALLMARK_UV_RESPONSE_DN,4,1,3,FALSE,-5.941,138,2.83538977110322e-09,9.45129923701073e-09,3.88523727711669e-09,1.29507909237223e-08,1.67426541864155e-05,0.348304314278058
HALLMARK_PI3K_AKT_MTOR_SIGNALING,4,3,1,FALSE,5.388,98,7.12769646089132e-08,2.22740514402854e-07,1.98152461423644e-07,5.50423503954566e-07,2.06387262240095e-05,0.263272956982968
HALLMARK_COMPLEMENT,4,4,0,TRUE,5.132,176,2.86769342123913e-07,8.43439241540922e-07,1.24292315443187e-05,2.95934084388541e-05,0.000597478422440337,0.480298726985069
HALLMARK_BILE_ACID_METABOLISM,4,1,3,FALSE,-4.808,91,1.5212684851816e-06,4.2257457921711e-06,9.70733339869388e-08,2.85509805843938e-07,1.9727329305628e-06,0.188756440148242
HALLMARK_UV_RESPONSE_UP,4,3,1,FALSE,4.366,147,1.26680356409679e-05,3.3336935897284e-05,1.71359020594857e-05,3.89452319533765e-05,2.76708407692576e-05,0.551641824434612
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4,1,3,FALSE,-4.251,190,2.12699825290918e-05,5.31749563227294e-05,5.76530674705125e-06,1.51718598606612e-05,0.000338059808793487,0.653375619217511
HALLMARK_GLYCOLYSIS,4,3,1,FALSE,4.148,184,3.34841164143946e-05,7.97240867009396e-05,1.00713024934038e-05,2.51782562335094e-05,7.79429794122539e-05,0.762676451067402
HALLMARK_TNFA_SIGNALING_VIA_NFKB,4,2,2,FALSE,3.774,192,0.000160523679421254,0.000364826544139214,7.68144919852255e-12,3.20060383271773e-11,1.11267268049597e-06,0.11548501813072
HALLMARK_KRAS_SIGNALING_DN,4,1,3,FALSE,-3.755,134,0.000173672870635952,0.000377549718773809,0.000504427684879755,0.000946894936014032,0.0112156661531112,0.322388223011099
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,4,3,1,FALSE,3.361,48,0.000777220419529362,0.00157692854894658,0.000165588087300552,0.000331176174601104,0.00013167996829273,0.909635915680805
HALLMARK_MITOTIC_SPINDLE,4,3,1,FALSE,3.357,197,0.000788464274473291,0.00157692854894658,0.000926654576342822,0.0016547403148979,0.0024446071458531,0.189057035711541
HALLMARK_IL2_STAT5_SIGNALING,4,3,1,FALSE,2.755,183,0.00587263164604841,0.0112935223962469,0.0252059072995646,0.036008438999378,0.0231957854687014,0.543822317173002
HALLMARK_HEDGEHOG_SIGNALING,4,1,3,FALSE,-2.716,31,0.00660865149647226,0.0122382435119857,0.00226568300575023,0.00377613834291704,0.000757151255681078,0.272028673408059
HALLMARK_P53_PATHWAY,4,2,2,FALSE,2.361,194,0.0182491135932786,0.0325877028451404,0.000159255810063076,0.000331176174601104,0.000619551756536216,0.984916014287133
HALLMARK_PROTEIN_SECRETION,4,3,1,FALSE,2.135,94,0.0327213535088019,0.0564161267393137,0.000511323265447577,0.000946894936014032,0.00154963110676746,0.157128361661191
HALLMARK_XENOBIOTIC_METABOLISM,4,3,1,FALSE,1.989,169,0.0467372800028025,0.0778954666713374,0.025069954729353,0.036008438999378,0.00914302735542953,0.57452380959049
HALLMARK_APOPTOSIS,4,2,2,FALSE,1.918,155,0.0550500808257592,0.088790452944773,0.0794039049025512,0.104478822240199,0.0621879337305614,0.560181707878085
HALLMARK_ESTROGEN_RESPONSE_EARLY,4,0,4,TRUE,-1.802,189,0.0715271510180177,0.111761173465653,0.0287868082312841,0.0399816780990056,0.000537563700273999,0.806584909658761
HALLMARK_NOTCH_SIGNALING,4,1,3,FALSE,-1.783,32,0.0745557558094033,0.112963266377884,0.125580033280297,0.161000042667047,0.0795742546037477,0.341151882390558
HALLMARK_PANCREAS_BETA_CELLS,4,1,3,FALSE,-1.562,22,0.118335332603524,0.174022547946358,0.515456898893564,0.560279237927787,0.1427669963769,0.612873222460613
HALLMARK_WNT_BETA_CATENIN_SIGNALING,4,1,3,FALSE,-1.516,40,0.129510122608755,0.182048439636422,0.246275126474835,0.293184674374803,0.0711084777680859,0.588526107202986
HALLMARK_KRAS_SIGNALING_UP,4,4,0,TRUE,1.51,178,0.131074876538224,0.182048439636422,0.400366771094237,0.454152003297829,0.155602502933419,0.834911275248716
HALLMARK_ANDROGEN_RESPONSE,4,1,3,FALSE,-1.359,95,0.174084504088484,0.235249329849302,0.150154162473865,0.187692703092331,0.0483059689923298,0.88864044007904
HALLMARK_CHOLESTEROL_HOMEOSTASIS,4,1,3,FALSE,-1.303,72,0.192667494907393,0.253509861720254,4.70345820642734e-05,0.000102249091444073,0.000148585966997751,0.901840825162619
HALLMARK_PEROXISOME,4,1,3,FALSE,-1.281,93,0.200349600890819,0.255486775276129,0.190954621347155,0.232871489447749,0.04890259202195,0.530792332857016
HALLMARK_ANGIOGENESIS,4,2,2,FALSE,-1.269,30,0.204389420220903,0.255486775276129,0.0490930698132638,0.0663419862341403,0.0671709100405348,0.392433962231247
HALLMARK_HYPOXIA,4,1,3,FALSE,-1.218,183,0.223237706234921,0.272241105164538,0.014220086831073,0.0215455861076863,0.00312612627705238,0.867016771288323
HALLMARK_HEME_METABOLISM,4,2,2,FALSE,1.064,175,0.287453120518644,0.342206095855529,0.653115175437762,0.694803378125279,0.250304173143649,0.877414630969964
