theme,pathway,label,collection,NES,ES,padj_joint,padj_percollection,size
Proliferation / cell cycle,REACTOME_CELL_CYCLE_MITOTIC,CELL_CYCLE_MITOTIC,Reactome,3.02842506043756,0.592342933497073,3.3264589424224e-48,3.3264589424224e-48,481
RNA processing / translation,GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,GO:BP,2.89944837379596,0.566850993584172,4.14234998392506e-41,4.14234998392506e-41,482
Interferon / antiviral,HALLMARK_INTERFERON_GAMMA_RESPONSE,INTERFERON_GAMMA_RESPONSE,Hallmark,3.29303277606242,0.701934625332929,1.47743452919377e-35,1.47743452919377e-35,195
Proliferation / cell cycle,REACTOME_CELL_CYCLE_CHECKPOINTS,CELL_CYCLE_CHECKPOINTS,Reactome,3.15044905017683,0.653110083656262,1.47743452919377e-35,1.47743452919377e-35,252
Proliferation / cell cycle,HALLMARK_E2F_TARGETS,E2F_TARGETS,Hallmark,3.31032265515995,0.703862448336739,2.38561318296528e-35,2.38561318296528e-35,197
Metabolism / MYC-mTOR,HALLMARK_MYC_TARGETS_V1,MYC_TARGETS_V1,Hallmark,3.22862277456585,0.688205150607734,3.41533907539657e-33,3.41533907539657e-33,195
RNA processing / translation,GOBP_RIBOSOME_BIOGENESIS,RIBOSOME_BIOGENESIS,GO:BP,2.96965200317636,0.601318189814869,2.53704758128509e-32,2.53704758128509e-32,313
Proliferation / cell cycle,HALLMARK_G2M_CHECKPOINT,G2M_CHECKPOINT,Hallmark,3.19884427317885,0.681552200179394,2.87462688997932e-32,2.87462688997932e-32,193
RNA processing / translation,GOBP_RRNA_METABOLIC_PROCESS,RRNA_METABOLIC_PROCESS,GO:BP,2.94280472368643,0.606292399035902,6.00200046934616e-29,6.00200046934616e-29,267
Interferon / antiviral,HALLMARK_INTERFERON_ALPHA_RESPONSE,INTERFERON_ALPHA_RESPONSE,Hallmark,3.34172387907596,0.798970764909691,7.801543687436e-29,7.801543687436e-29,95
RNA processing / translation,GOBP_RRNA_PROCESSING,RRNA_PROCESSING,GO:BP,2.98879777010027,0.627052610957017,8.22777902173664e-28,8.22777902173664e-28,224
Interferon / antiviral,REACTOME_INTERFERON_SIGNALING,INTERFERON_SIGNALING,Reactome,2.87983030505017,0.596070564675077,1.14520474246228e-26,1.14520474246228e-26,262
RNA processing / translation,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,Reactome,2.78407382143242,0.57007760916921,9.90397072438302e-25,9.90397072438302e-25,286
Interferon / antiviral,GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,REGULATION_OF_INNATE_IMMUNE_RESPONSE,GO:BP,2.56786348187167,0.502708161809247,1.0089607383138e-24,1.0089607383138e-24,441
