"organism","project_home","project","n_samples","study_title","study_abstract"
"human","data_sources/sra","SRP076982",259,"Transcriptome analysis for anatomically separate psoriatic plaques highlight individualized expression patterns","To evaluate the transcriptomes of lesional skin from different body parts of the same individual.  Specifically, we conducted a transcriptomic study to investigate expression variability for diseased samples taken from different anatomic regions of same patient, and to compare the variability to between individuals variability. Overall design: 5 psoriasis patients, each with 4 psoriatic and 1 uninvolved skin biopsies. Totally 25 RNA-seq experiments conducted."
"human","data_sources/sra","SRP035988",179,"Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","To increase our understanding of psoriasis, we utilized RNA-seq to assay the transcriptomes of lesional psoriatic and normal skin. We sequenced polyadenylated RNA-derived cDNAs from 92 psoriatic and 82 normal punch biopsies, generating an average of ~38 million single-end 80-bp reads per sample. Comparison of 42 samples* examined by both RNA-seq and microarray [GSE13355] revealed marked differences in sensitivity, with transcripts identified only by RNA-seq having much lower expression than those also identified by microarray. RNA-seq identified many more differentially expressed transcripts enriched in immune system processes.  Weighted gene co-expression network analysis (WGCNA) revealed multiple modules of coordinately expressed epidermal differentiation genes, overlapping significantly with genes regulated by the long non-coding RNA TINCR, its target gene, staufen-1 (STAU1), the p63 target gene ZNF750, and its target KLF4. Other coordinately expressed modules were enriched for lymphoid and/or myeloid signature transcripts and genes induced by IL-17 in keratinocytes. Dermally-expressed genes were significantly down-regulated in psoriatic biopsies, most likely due to expansion of the epidermal compartment. These results demonstrate the power of WGCNA to elucidate gene regulatory circuits in psoriasis, and emphasize the influence of tissue architecture in both differential expression and co-expression analysis. *The list of 42 samples examined by both RNA-seq and microarray is provided in the ''MAoverlappedsamples.txt''. Overall design: 92 psoriatic and 82 normal skin samples"
"human","data_sources/sra","ERP110816",178,"RNA-sequencing of the mRNA transcriptome in lesional and non-lesional skin, across three time-points in severe psoriasis patients treated with the tumor necrosis factor (TNF) inhibitor, etanercept","Blood (mRNA and miRNA) and skin mRNA transcriptomes were investigated across three time-points in a pilot investigation of ten severe psoriasis patients, treated with the tumor necrosis factor (TNF) inhibitor, etanercept. We used illumina RNA-sequencing to analyse the small-RNA transcriptome in blood"
"human","data_sources/sra","SRP165679",147,"Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","To gain a deeper understanding of the pathophysiology of AD, we conducted a large-scale transcriptomic study of AD with deeply-sequenced RNA-seq samples using long (125b) paired-end reads. By integrating deep sequencing-based skin transcriptome profiling with systems biology analysis, we are able to provide deep characterization for the expression signatures for AD, and by including psoriasis samples in the analysis, we can reveal the distinct molecular features of uninvolved and lesional skin of AD that have not been previously described. Overall design: We performed high-depth sequencing of 147 skin transcriptomes obtained from a carefully matched and tightly defined cohort of 27 AD patients, 28 PSO patients, and 38 healthy controls, whom were recruited within an ongoing investigator-initiated clinical study to identify shared and distinct disease mechanisms of AD and Psoriasis."
"human","data_sources/sra","SRP026042",84,"Environmental factors transmitted by aryl hydrocarbon receptor influence severity of psoriatic skin inflammation [RNA-Seq]","Environmental stimuli are known to contribute to psoriasis pathogenesis and that of other autoimmune diseases, but the mechanism is unknown. Here we show that the aryl hydrocarbon receptor (AhR), a transcription factor that senses environmental stimuli, modulates pathology in psoriasis. AhR-activating ligands reduced inflammation in the lesional skin of psoriasis patients, whereas AhR antagonists upregulated inflammation. Similarly, AhR signaling via the endogenous FICZ ligand reduced the inflammatory response in the imiquimod-induced model of psoriasis and AhR deficient mice exhibited a substantial exacerbation of the disease, compared to AhR sufficient controls. Non-haematopoietic cells, in particular keratinocytes, were responsible for this hyper-inflammatory response, which involved increased reactivity to IL-1beta and upregulation of AP-1 family members of transcription factors. Thus, our data suggest a critical role for AhR in the regulation of inflammatory responses and open the possibility for novel therapeutic strategies in chronic inflammatory disorders. Overall design: Total RNA obtained from skin explants taken from psoriatic patients or healthy donors cultured in the presence of AhR agonist or antagonist"
"human","data_sources/sra","SRP049599",73,"JunB control of keratinocyte-mediated inflammation [RNA-seq]","To determne JunB target gene in human keratincoytes Mice with epidermal deletion of JunB transcription factor displayed a psoriasis-like inflammation. The relevance of these findings to humans and the mechanisms mediating JunB function are not fully understood. Here, we demonstrate that impaired JunB function via gene silencing or overexpression of a dominant negative mutant increased human keratinocyte cell proliferation but decreased cell barrier function. RNA-seq revealed over 500 genes affected by JunB loss-of-function which included an upregulation of an array of proinflammatory molecules relevant to psoriasis. Among these were TNFa, CCL2, CXCL10, IL6R and SQSTM1, an adaptor protein involved in NF-kB activation. ChIP-Seq and gene reporter analyses showed that JunB directly suppressed SQSTM1 through binding to a consensus AP-1 cis-element located around 2 Kb upstream of SQSTM1-trasncription start site. Similar to JunB loss-of-function, SQSTM1-overexpression induced TNFa, CCL2 and CXCL10. Conversely, NF-kB-inhibition genetically with a mutant IkBa or pharmacologically with PDTC prevented cytokine, but not IL6R, induction by JunB-deficiency.  Taken together, our findings indicate that JunB controls epidermal growth, barrier formation and proinflammatory responses through direct and indirect mechanisms, pinpointing SQSTM1 as a key mediator of JunB-suppression of NF-kB-dependent inflammation. Overall design: 3 indepdent set of priamry human keratinocytes isolated from foreskin skin samples were transfected with nonsilencing control or siRNA oligonucleotides targeting JunB. mRNA was then isolated and used for cDNA library construction followed by RNA-sequencing."
"mouse","data_sources/sra","SRP083914",56,"Imiquimod has strain-dependent effects in mice and does not uniquely model human psoriasis","Background: Imiquimod (IMQ) produces a cutaneous phenotype in mice frequently studied as an acute model of human psoriasis. Whether this phenotype depends on strain or sex has never been systematically investigated on a large scale. Such effects, however, could lead to conflicts among studies, while further impacting study outcomes and efforts to translate research findings.  Methods: RNA-seq was used to evaluate the psoriasiform phenotype elicited by IMQ in both sexes of 7 mouse strains (C57BL/6J, BALB/cJ, CD1, DBA/1J, FVB/NJ, 129X1/SvJ and MOLF/EiJ).   Results: In most strains, IMQ altered gene expression in a manner consistent with human psoriasis, partly due to innate immune activation and decreased homeostatic gene expression. The IMQ response of MOLF males was aberrant, however, with decreased expression of differentiation-associated genes (elevated in other strains). Key aspects of the IMQ response differed between the two most commonly studied strains (BALB/c and C57BL/6). Compared with BALB/c, the C57BL/6 phenotype showed increased expression of genes associated with DNA replication, IL-17A activation and CD8+ T cells, but decreased expression of genes associated with interferon signaling and CD4+ T cells. Surprisingly, although IMQ-induced expression shifts mirrored psoriasis, correspondence was similar or better for other human skin diseases (e.g., eschars, acne, atopic dermatitis). For BALB/c, MOLF, and 129X1 strains, genes altered by IMQ corresponded better to those altered in human skin infections or wounds compared with those altered in psoriasis lesions.  Conclusions: These findings demonstrate strain-dependent aspects of IMQ dermatitis that warrant consideration in planning and interpreting experimental studies. We have further shown that IMQ does not uniquely model psoriasis but in fact triggers a core set of pathways active in diverse skin diseases. These observations challenge the view of IMQ dermatitis as a mouse phenotype uniquely appropriate for studying psoriasis as opposed to other human skin conditions. Overall design: RNA-seq was used to investigate the psoriasiform phenotype that develops following topical IMQ treatment in male and female mice of 7 laboratory mouse strains (C57BL/6J, BALB/cJ, CD1, DBA/1J, FVB/NJ, 129X1/SvJ and MOLF/EiJ). Mouse back skin was treated with 62.5 mg AldaraTM (5% IMQ) or a non-toxic lanolin-derived occlusion cream (CTL) once per day for 5 consecutive days. Mice were sacrificed on day 6 and skin biopsies were collected. Overall, RNA-seq was used to profile transcriptomes of 56 CTL- and IMQ-treated skin samples (7 strains × 2 sexes × 2 treatments; n = 2 samples per strain/sex/treatment combination)."
"human","data_sources/sra","SRP065812",52,"Long non-coding RNAs  in psoriatic and healthy skin","In this study, we used RNA-sequencing to profile the long non-coding RNA (lncRNA) transcriptome in lesional skin from psoriasis patients before (PP) and after treatment (PT) with adalimumab and in normal skin from healthy individuals (NN). For this we sequenced total RNA from 18 psoriasis patients (before and after treatment) and 16 healthy controls. We created our own reference set of long non-coding RNAs by merging three long non-coding RNA reference data sets. The combined reference had 67,157 lncRNA transcripts with no overlaps. We identified differential expression of 971 lncRNAs between PP and NN, 157 between PP and PT, and 377 between PT and NN. Based on differentially expressed (DE) lncRNAs between PP and NN, we identified a molecular lncRNA signature that distinguishes psoriatic skin from healthy skin . Overall design: We recruited 18 psoriatic patients in our study. We took 5 mm punch biopsies from the edge of a psoriatic plaque before treatment and after one month of treatment with adalimumab. The mean improvement in the PASI over this time period was 53.1%. We obtained sixteen normal skin samples (N=16) from healthy control surgical discard specimens."
"human","data_sources/sra","SRP116922",36,"T cell activation in skin explants from patients with psoriasis and controls","We have worked on skin explants and activated T cells locally with a CD3 antibody, whole biopsies were activated, then epidermal and dermal RNA was sequenced. Sequencing was performed by BGI (Hong Kong) as well as the group analysis. Overall design: Examination of skin tissue responses to local T cell activation (acd3) compared to isotype at the RNA level. Samples include biopsies from healthy controls and patients with psoriasis treated with Ustekinumab or untreated lesional psoriasis. All biopsy samples were treated either with acd3 or with isotype as indicated."
"human","data_sources/sra","SRP130972",34,"RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","IL-36 cytokines have recently emerged as mediators of inflammation in autoimmune conditions including psoriasis vulgaris (PsV) and generalized pustular psoriasis (GPP). This study used RNA-seq to profile the transcriptome of primary epidermal keratinocytes (KCs) treated with IL-1B, IL-36A, IL-36B or IL-36G. We identified some early IL-1B-specific responses (8 hours post-treatment), but nearly all late IL-1B responses were replicated by IL-36 cytokines (24 hours post-treatment). Type I and II interferon genes exhibited time-dependent response patterns, with early induction (8 hours) followed by no response or repression (24 hours). Altogether, we identified 225 differentially expressed genes (DEGs) with shared responses to all 4 cytokines at both time points (8 + 24 hours). These involved up-regulation of ligands (IL1A, IL1B, IL36G) and activating proteases (CTSS), but also up-regulation of inhibitors such as IL1RN and IL36RN. Shared IL-1B/IL-36 DEGs overlapped significantly with genes altered in PsV and GPP skin lesions, as well as genes near GWAS loci linked to autoimmune and autoinflammatory diseases (e.g., PsV, psoriatic arthritis, IBD, primary biliary cholangitis). Inactivation of MyD88 adapter protein using CRISPR/Cas9 completely abolished expression responses of such DEGs to IL-1B and IL-36G stimulation. These results provide a global view of IL-1B and IL-36 expression responses in epidermal KCs with fine-scale characterization of time-dependent and cytokine-specific response patterns. Our findings support an important role for IL-1B and IL-36 in autoimmune or autoinflammatory conditions and show that MyD88 adaptor protein mediates shared IL-1B/IL-36 responses. Overall design: Cultures were treated with truncated recombinant human IL-1B, IL-36A, IL-36B or IL-36G (10 ng/ml for IL-1B; 2000 ng/ml for IL-36 cytokines). Three cell lines were used (lines A, B and C) with samples processed in 4 batches. Samples within the same batch are comparable. Experiments were performed with 8 and 24 hours of cytokine treatment (n = 2-3 per time point)."
