module,gene,lfc3,fdr3,k3,i23,lfc4,fdr4,k4,i24,se4,dlfc,sig3,sig4,flip
STAT3 / JAK-STAT,STAT3,1.246,2.19753287372143e-07,3,91.1,1.06003954877897,5.72095716086077e-06,4,91.7129706813404,0.214195659105009,-0.18596045122103,***,***,
STAT3 / JAK-STAT,STAT1,1.862,3.79613668235924e-32,3,72.5,1.70256551147039,5.28019621155931e-21,4,83.1918477632976,0.173766429391861,-0.15943448852961017,***,***,
STAT3 / JAK-STAT,JAK3,1.545,0.0001172658014326,3,91.8,1.1231654422183,0.0112873102211888,4,94.8941035513861,0.388911744305491,-0.4218345577817,***,*,
STAT3 / JAK-STAT,TYK2,0.249,3.54648982577694e-07,3,0.0,0.233031792677098,4.63120170378439e-07,4,0.0,0.0426928865969979,-0.015968207322901995,***,***,
STAT3 / JAK-STAT,JAK1,-0.337,4.92450111411083e-08,3,52.2,-0.228451977613532,0.0231969999991985,4,82.1228671386767,0.0876520275436566,0.10854802238646802,***,*,
STAT3 / JAK-STAT,SOCS3,2.163,2.29647935138402e-23,3,60.8,0.855675563482736,0.443477053145605,4,98.1879990812016,0.887718485148308,-1.3073244365172638,***,ns,FLIP
IL-1$\beta$ / inflammasome,IL1B,1.633,0.0915411745325905,3,90.1,1.08538751814924,0.330959262032692,4,94.1223023463016,0.906044035325612,-0.54761248185076,ns,ns,
IL-1$\beta$ / inflammasome,IL1RN,0.843,0.0002215702347996,3,87.9,0.831359571466454,2.2382313065894e-05,4,82.5284497284982,0.178793926911824,-0.011640428533545966,***,***,
IL-1$\beta$ / inflammasome,NLRP3,0.702,0.0669124935115674,2,92.8,0.521083208991352,0.0614979105626366,3,88.3710557114962,0.239151673548489,-0.180916791008648,ns,ns,
IL-1$\beta$ / inflammasome,CASP1,0.519,0.000879055267675,3,80.9,0.591342778153016,6.41822271843493e-08,4,71.7748600980222,0.101539996969316,0.07234277815301593,***,***,
IL-1$\beta$ / inflammasome,PYCARD,1.022,1.25505248921921e-10,3,73.0,1.09398754902603,1.98422890594572e-18,4,64.6581885864799,0.119486767895763,0.07198754902603,***,***,
IL-1$\beta$ / inflammasome,AIM2,3.348,2.16991276552268e-05,2,84.2,2.84473093510165,5.7526325507623893e-11,3,81.8580012065159,0.408525686623056,-0.5032690648983498,***,***,
IL-1$\beta$ / inflammasome,CASP5,4.115,1.2106283827954602e-09,2,85.6,3.5448995223102,6.13918485004454e-06,3,92.1833542809935,0.718439199613245,-0.5701004776898002,***,***,
IL-1$\beta$ / inflammasome,GSDMD,0.841,0.0182568150862384,3,93.7,0.75479367438503,0.0019040356830061,4,91.343576064118,0.216411407266477,-0.08620632561496999,*,**,
IL-1$\beta$ / inflammasome,IL1A,-0.397,0.0075863577591397,3,6.1,-0.471663838285769,0.0043462440995701,4,18.4952787762651,0.146400009053611,-0.074663838285769,**,**,
IL-1$\beta$ / inflammasome,IL18,-0.367,4.84106335839992e-12,3,0.0,-0.0469801909062057,0.903100417344866,4,95.3699739053218,0.275540509640446,0.3200198090937943,***,ns,FLIP
IL-36 family,IL36G,4.835,1.1094889209173201e-20,3,89.7,4.65822790604996,1.05340107673602e-24,4,88.6660532426171,0.437328735342826,-0.17677209395004034,***,***,
IL-36 family,IL36A,10.061,7.206907281450409e-92,2,0.0,9.0275705468069,1.78575127382683e-19,3,72.9869037835462,0.95801415990298,-1.0334294531931008,***,***,
IL-36 family,IL36RN,2.497,3.03333588377393e-12,3,91.7,2.78937704239278,1.47009067642637e-16,4,91.4475115266111,0.322118636066443,0.29237704239278006,***,***,
Th17 axis,IL17A,5.604,7.560101103235949e-125,2,0.0,5.60423390165319,2.24831918693783e-124,2,0.0,0.233010865314146,0.00023390165319003842,***,***,
Th17 axis,IL23A,1.633,0.003323095773921,3,84.5,1.50386115841938,0.0004903124237027,4,85.8462618492232,0.387523719935393,-0.12913884158062006,**,***,
Th17 axis,RORC,-2.473,9.30744833846091e-227,2,0.0,-2.46105725377141,8.257998062819219e-250,3,0.0,0.0722647648066161,0.011942746228589929,***,***,
IL-1 output,S100A9,7.94,3.01369564684045e-21,3,89.7,6.07757094540479,0.0001142317581983,4,98.0350222189907,1.42624084666295,-1.8624290545952107,***,***,
IL-1 output,S100A8,7.763,3.78048122419265e-22,3,89.5,6.00690739291187,2.60164297794383e-05,4,97.8406574405719,1.30129897033351,-1.7560926070881298,***,***,
IL-1 output,S100A7,8.11,4.98670435214668e-60,3,67.0,6.3687073682104,1.26527229807783e-06,4,96.8574386583582,1.21067110592157,-1.7412926317895998,***,***,
IL-1 output,DEFB4A,10.592,4.68930593744309e-07,3,80.4,9.84150289926103,2.51822183113814e-07,4,91.7540846317284,1.76586032780055,-0.7504971007389702,***,***,
IL-1 output,CCL20,3.425,0.0154127908989544,3,92.3,3.14794537478987,0.0064701352925294,4,94.7649198825617,1.01965837068239,-0.27705462521013,*,**,
IL-1 output,CXCL2,2.286,0.0246766970302703,3,95.7,1.19003153936675,0.475234092929283,4,98.4707510365378,1.31973519468225,-1.09596846063325,*,ns,FLIP
IL-1 output,LCN2,4.332,1.16384188978424e-06,3,86.4,3.61823416027355,0.0002026438181628,4,94.3125438987343,0.878747332327163,-0.7137658397264497,***,***,
