"gene","logFC","FDR","I2","k"
"STAT3",1.21002177177507,5.30523610687884e-10,87.0996094590171,4
"IL17A",5.60423390165319,1.00383118689962e-124,0,2
"IL17F",NA,NA,NA,1
"IL23A",1.63290254010951,0.00334389008909091,84.5224643439603,3
"IL12B",NA,NA,NA,1
"SOCS3",0.853404433653633,0.294005564916805,96.2738429755556,4
"S100A7",8.22815911416137,7.49905190422453e-109,53.8483328638616,4
"S100A8",8.03570679635845,1.32974571369254e-35,84.1911941583814,4
"S100A9",7.48858146325429,1.4047871746569e-20,88.3990900367893,4
"DEFB4A",11.3536665419834,1.50318151738435e-20,73.907657743881,4
"PI3",7.29641564716462,3.1582019640712e-08,95.0862642566255,4
"IL36G",5.13472905751365,1.20655020307221e-29,86.0013958222042,4
"CCL20",3.3824123325075,0.00223579496612321,89.8263611610302,4
"KRT16",2.83446734963112,0.00227310200986344,96.3770460195057,4
"IL19",8.11237794583815,3.0097534488932e-65,0,2
"IL36A",9.99423502886163,3.12445624440045e-109,0,3
"LCN2",4.90410909486755,5.13479435134469e-10,84.691603556661,4
"CXCL8",4.67121573085923,0.0704161745814686,95.0956188150674,4
