"gene","logFC","SE","P","I2","k","FDR"
"PLBD1",2.05460774046137,0.0570801442955116,9.96617822869313e-284,13.0496418451821,4,2.47818987834683e-279
"PRSS27",4.23323567344401,0.123376583715293,5.28732471028268e-258,0,3,6.57373081229445e-254
"AKR1B15",5.1438212320073,0.165743882368281,1.83203376441237e-211,0,3,1.51851171952927e-207
"DTX3L",1.48005759153622,0.0497087011795002,8.32764377921866e-195,1.51078757531978,4,5.17687975535128e-191
"ARSF",3.5244134917421,0.119148719089673,2.70609045281476e-192,0,3,1.34579290399383e-188
"AC091177.1",1.86742534550465,0.0637782938640761,1.86705569469045e-188,0,3,7.73770115069544e-185
"RDH16",2.40221462703801,0.0826952657491841,1.5842905085856e-185,0,4,5.62785254092708e-182
"RP4-529N6.2",5.30709009580571,0.186516325192289,4.37853788707676e-178,0,3,1.36095903875064e-174
"AL591704.7",5.23102935036528,0.18450711744014,8.0509929187635e-177,0,2,2.22439988797748e-173
"CTA-384D8.34",4.48707965513803,0.161379225129683,3.81973539389882e-170,0,3,9.49815403046882e-167
"PLA2G2F",2.14479140287683,0.0820764903212477,1.59466904016617e-150,0,4,3.60482185025201e-147
"CCR7",2.66052650363105,0.102897364295534,2.07660219438184e-147,0,3,4.3030658471249e-144
"TRIM10",4.20785509202076,0.163133045582282,1.03517116738025e-146,0,3,1.98004355754441e-143
"LINC01206",5.22654857523307,0.203521556447132,1.9272433319245e-145,0,2,3.4230594779739e-142
"AP000439.3",-3.86547929507923,0.151293970158319,5.56700437125955e-144,0,2,9.22860871304934e-141
"ARL11",1.45903064478685,0.0582267598487746,1.43788394847263e-138,0,4,2.23465139142002e-135
"FABP5P11",3.32886153029577,0.134092139362917,4.79473971488691e-136,0,2,7.01329398531635e-133
"CRYAB",-1.28541126570729,0.0522531194296204,1.2724319048354e-133,0,4,1.75779398586872e-130
"CTA-398F10.2",-3.60309964811482,0.147301402196346,3.86932998353497e-132,0,2,5.06393470371477e-129
"IL17A",5.60423390165319,0.233010865314146,8.07392573714806e-128,0,2,1.00383118689962e-124
"HMOX1",1.36014161524573,0.0575628742378742,1.95002510957424e-123,1.06874271155281,4,2.30901544641301e-120
"ICOS",2.85801540155972,0.121029856635209,2.75895754801538e-123,0,3,3.11837447222502e-120
"TEX101",4.45026944002713,0.189783167295887,1.34598472740267e-121,0,3,1.4551850535476e-118
"CTD-2385L22.2",-2.32842248195859,0.0999186724630402,4.11638117337417e-120,0,3,4.26491392738009e-117
"IL7R",1.96971471469094,0.0847718227518758,1.99440691416606e-119,0,4,1.98371689310613e-116
"GZMB",3.91269611793869,0.168782463881579,6.93550102621594e-119,0,3,6.63300648145714e-116
"HS3ST6",-2.75901514433299,0.119603477614464,9.70082161593991e-118,2.56833685707931,3,8.93409741859118e-115
"SP110",0.979478289331499,0.0425845759125667,4.5786680134753e-117,0,4,4.06618424368131e-114
"TNNT2",-1.81976698620402,0.0792768368142706,1.32598874590831e-116,0,4,1.13696676399159e-113
"KYNU",4.47025494077354,0.198261725853754,1.4292180506351e-112,48.4993163047216,4,1.18463120156974e-109
"IL36A",9.99423502886163,0.444132617336724,3.89520403669324e-112,0,3,3.12445624440045e-109
"S100A7",8.22815911416137,0.366305779171068,9.65051318809559e-112,53.8483328638616,4,7.49905190422453e-109
"FOXE1",3.25468561433469,0.146791257944824,6.37141010307033e-109,20.1047888629684,4,4.80095404918021e-106
"CTD-3088G3.8",-2.04952525632237,0.0925112387930822,9.4742387490199e-109,0,3,6.92901237450379e-106
"CHI3L2",4.50876486787913,0.203668241033168,1.36779027479932e-108,36.4987461797618,4,9.71756370661715e-106
"CARD14",1.25964392906913,0.0571545115772109,1.21063457812675e-107,0,4,8.36212206102768e-105
"LIFR-AS1",-1.56902280797133,0.0712702109578,2.06288051604888e-107,0,3,1.38636721383977e-104
"TCEA3",-0.817825745151345,0.0373730881235769,3.7931442650247e-106,0,4,2.48211382352906e-103
"GLT1D1",1.61432093912131,0.0738481213063822,6.24255391314346e-106,0,4,3.98018834882629e-103
"HRH3",4.32889773102558,0.19942244872678,1.75524730351037e-104,0,2,1.09114948622722e-101
"HSPB2-C11orf52",-1.26734349468959,0.0585498358355557,6.69380543240595e-104,0,4,4.05971136298064e-101
"S100A12",8.57310004531737,0.396604658052398,1.26372244532686e-103,0,3,7.48183864892804e-101
"IDO1",3.06846544357938,0.142265169750088,3.53990027838347e-103,0,3,2.0470502400531e-100
"CYP4F22",1.12862841355897,0.0526558892874333,6.43477686692368e-102,0,4,3.63652639938464e-99
"TNIP3",7.0398093549461,0.332331473656641,1.36744623439158e-99,0,3,7.55620401430692e-97
"IKZF3",1.65973808451672,0.0788650891491085,2.52607646646308e-98,0,3,1.36550907424067e-95
"RP11-414J4.2",3.33193256753516,0.159004873224242,1.6925400112332e-97,0,3,8.95461700411167e-95
"CTD-2547L24.4",3.25366549833852,0.155296122115097,1.82335506394347e-97,0,2,9.4457389625038e-95
"FABP5P10",3.33139856514376,0.160186446261994,4.60678336280627e-96,0,2,2.33780153264369e-93
"CAT",-0.842565984390298,0.0405715432531506,8.53325698244726e-96,1.2525238051082,4,4.24375936251067e-93
"RP11-1263C18.1",-2.82474022278202,0.136386243148767,2.73803136293956e-95,0,2,1.33497819354618e-92
"TMPRSS6",-2.83992397018332,0.137141020403018,2.93044265425203e-95,0,3,1.40131513539675e-92
"PARP14",1.62692760722288,0.0787335108623339,7.34721536524284e-95,19.6688743025066,4,3.44709164664393e-92
"DEFB4B",10.031014421081,0.489759325860731,3.14697267578009e-93,0,3,1.44912263992496e-90
"AC006994.2",-2.8407323286935,0.14072468723632,1.28784136938958e-90,0,2,5.82244790749842e-88
"VWA5A",-0.679916744213223,0.0338723670466342,1.27344193215837e-89,0,4,5.65453697947322e-87
"CPLX3",3.6465963550996,0.181769268742101,1.59609407213015e-89,0,3,6.96289038554179e-87
"LYPD6B",-1.22787939927084,0.0616073302771001,2.20301083059594e-88,0,4,9.44483919199979e-86
"LINC01254",-2.32953177653786,0.116897272924045,2.32559818306498e-88,12.5015741828838,3,9.80141091865997e-86
"BEST2",-2.95485057489643,0.149112628773645,2.15660935108825e-87,0,3,8.93770802069339e-85
"MYO1H",1.94035696775598,0.0979865670409844,2.84547202612906e-87,0,3,1.15992635084795e-84
"SPINK1",-3.96401458540509,0.200696709673695,7.82281625926767e-87,19.2683922342313,2,3.13745401778952e-84
"MCM6",0.732463317330586,0.0371047371296874,9.69571459476493e-87,0,4,3.82688316053055e-84
"GREM2",-2.01480008042596,0.102126695069919,1.22911849100776e-86,0,3,4.77550943709359e-84
"PLBD1-AS1",1.19912942073686,0.0610738927351385,7.91074788987578e-86,0,4,3.0262870312254e-83
"PLA2G4B",2.01162245775382,0.103396345456405,2.62041265045703e-84,28.9856970378283,4,9.87260317670676e-82
"F3",-2.31600955971984,0.120265915612232,1.22356641248081e-82,36.0057487442524,4,4.54107498697727e-80
"AC006262.4",-2.01189552871352,0.104610357298295,1.98703177978994e-82,0,4,7.26610768180243e-80
"SYK",0.686852997722879,0.036218684010629,3.38069087336107e-80,10.2414272646899,4,1.21832259792749e-77
"DGAT2",-1.11539816428465,0.0588574424715436,4.34563997976176e-80,0,4,1.54369548195366e-77
"ILDR1",-1.31256377413186,0.0697901374469112,6.58100138163831e-79,0,3,2.30483352613828e-76
"CXCL13",5.54405096757664,0.295547910648171,1.64827647205934e-78,0,2,5.69250593808717e-76
"C5orf46",-3.33045050226449,0.1793145615789,5.29220323435067e-77,30.7408609267033,4,1.80268391267622e-74
"CD28",1.71991308877103,0.0926109413374059,5.47757094535734e-77,0,3,1.84061188009805e-74
"WFIKKN2",-3.05993634379408,0.165171491062157,1.2785455448153e-76,0,2,4.23897513565031e-74
"DBX2",-3.50766452954977,0.190373649198332,8.254960460162e-76,0,2,2.70089272108406e-73
"AC005162.5",3.25107612977094,0.176904991152966,1.98831212650943e-75,0,3,6.420957056855e-73
"SRSF2",0.518621924589321,0.0282560188916962,3.04500342876971e-75,0,4,9.70731477689584e-73
"RP11-680F20.6",-2.1128828280608,0.11562774294107,1.35409891373255e-74,0,3,4.26215488466754e-72
"CATSPERG",-1.24766676477415,0.0683353302771618,1.78704055709953e-74,0,3,5.55456881160461e-72
"OAS1",2.52464646857358,0.138885649564981,7.7265488717116e-74,26.2856995046103,4,2.37195511412322e-71
"MYO3A",-2.93930543439202,0.162301622857474,2.65063932834324e-73,0,3,8.03790213885159e-71
"FLVCR2",1.52581193002139,0.0844844580763678,6.55041573630317e-73,42.6572637135188,4,1.96244141805921e-70
"LINC00327",-1.23637531185977,0.0686598823497967,1.70927170374544e-72,0,3,5.05985121253978e-70
"ADCYAP1R1",-1.54925658008266,0.0860688330093911,1.94101589523405e-72,0,3,5.67827073539882e-70
"RP11-542C16.1",0.963554116630958,0.0536592778121145,4.23850788921181e-72,0.638955881632326,4,1.22552019968768e-69
"BATF2",2.95384032647122,0.165889255908669,6.3377198715481e-71,0,3,1.81142232558523e-68
"HSD17B13",-3.42746778632461,0.193452638441323,3.08096764206381e-70,0,3,8.63209678933941e-68
"TINCR",-0.837765789159965,0.0472854743513222,3.08958664140275e-70,0,4,8.63209678933941e-68
"NT5C3A",1.79336548515247,0.101430105190659,5.89528946141473e-70,41.7418082905526,4,1.62880297497265e-67
"UPK1B",-2.98826785339775,0.169664607338975,1.9650002503563e-69,0,4,5.36941716762195e-67
"ADAR",0.569773865872353,0.0327405474424289,7.87066360454094e-68,6.53058296137222,4,2.12730349120125e-65
"JMJD7-PLA2G4B",1.50287476860498,0.0864280246362139,1.00411123418846e-67,28.0439549270938,4,2.68475590853015e-65
"IL19",8.11237794583815,0.46672271872782,1.13776572104867e-67,0,2,3.0097534488932e-65
"SMAP2",0.581848060940464,0.033515217439583,1.63678935654836e-67,0,4,4.28425306736121e-65
"AC141928.1",-1.80133540918438,0.104038818235059,3.68425151994876e-67,0,2,9.54297898906727e-65
"KLRB1",1.71647896692994,0.0999164077552917,3.80444061838273e-66,0,3,9.75270313574279e-64
"LY6D",1.17288962103481,0.0683184811693166,4.61273716305589e-66,0,4,1.17041145200559e-63
"RP11-392E22.10",-2.92075663964107,0.170169511145126,4.95561390885373e-66,0,2,1.24471005512684e-63
"FOXC1",-1.38251915637624,0.0807206755830538,9.3025287358974e-66,0,4,2.31316679546825e-63
"AQP9",-2.59416188859133,0.15187663270863,2.06562368594116e-65,28.5354563556015,4,5.0855246113478e-63
"CH507-42P11.7",-2.57441568313776,0.151125192244509,4.51842185004363e-65,0,2,1.10152036983515e-62
"TLE3",0.98880234768581,0.0581123461722957,6.31863122293003e-65,21.1328979299726,4,1.52542799989688e-62
"PANDAR",0.948146866153392,0.0557734855178774,8.21799153653232e-65,1.62742484759643,4,1.96489016872512e-62
"FBXL16",-1.01225904877149,0.0595544957857484,8.61525799563602e-65,0,4,2.04025719351891e-62
"CXCL17",3.16034500086853,0.186024157844064,9.92401227230962e-65,0,2,2.32802348267218e-62
"MGAT3",-1.15870498948403,0.0683223652798239,1.6406506904723e-64,0,3,3.81274953918543e-62
