"gene","cls","lfc","npn","FDR","grp"
"JAK3","late_PP",2.04112667872001,0.0615302984934925,2.25494835907771e-16,"late_PP (plaque-specific)"
"STAT3","late_PP",1.68367965176823,0.0972573775899924,5.92021174204836e-22,"late_PP (plaque-specific)"
"IL17A","late_PP",3.61694378505965,0.148061247211534,7.05137921436484e-21,"late_PP (plaque-specific)"
"SOCS3","progressive",2.52736280259442,0.155806031958737,3.78689970010827e-19,"progressive (rises through PN)"
"IL23A","progressive",1.87998995954136,0.208453456875358,6.68609441423963e-10,"progressive (rises through PN)"
"CCL20","progressive",4.86807647723713,0.209292972051168,8.92533632164539e-19,"progressive (rises through PN)"
"IL36A","progressive",7.75408750179578,0.213831415730041,9.41663192508442e-25,"progressive (rises through PN)"
"PI3","progressive",8.45850957921244,0.23048504074828,1.26106971204122e-23,"progressive (rises through PN)"
"IL36G","progressive",4.91346570479316,0.239443920667261,6.28526563302169e-29,"progressive (rises through PN)"
"S100A9","progressive",9.03243969330116,0.242293592256623,3.02828415790135e-25,"progressive (rises through PN)"
"S100A8","progressive",9.04633468618229,0.253531413263744,8.88373730530469e-26,"progressive (rises through PN)"
"S100A7","progressive",8.69209956176057,0.276528696284645,6.95985185665075e-25,"progressive (rises through PN)"
"CXCL8","progressive",7.50376012800145,0.304695138456429,6.16578465325129e-24,"progressive (rises through PN)"
"DEFB4A","progressive",10.988781596993,0.327019449212453,2.02527261479012e-27,"progressive (rises through PN)"
