"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,3.46326157304449,0.269,0.027,0,"PLVAP"
0,2.94991173209069,0.283,0.042,0,"PECAM1"
0,2.73167655299585,0.268,0.033,0,"RNASE1"
0,2.9124275757388,0.262,0.033,0,"VWF"
0,3.50355045826866,0.239,0.027,0,"RAMP3"
0,2.9790793772963,0.229,0.024,0,"ADGRL4"
1.91237159505486e-316,3.91026273221651,0.158,0.01,4.62507070264019e-312,"CCL14"
2.05075921166925e-310,2.67191872784144,0.244,0.031,4.95976115342208e-306,"ECSCR"
2.10156284973517e-306,3.65568133893265,0.221,0.026,5.08262975208451e-302,"ACKR1"
5.39229404190479e-300,3.33772824442747,0.172,0.014,1.30412631403467e-295,"FAM110D"
1.91918913442107e-299,2.66061830001388,0.272,0.042,4.64155892159736e-295,"CLDN5"
3.14068078004072e-284,2.95350549805114,0.222,0.028,7.59573646652849e-280,"PCAT19"
7.93400031681086e-277,3.11987986989363,0.22,0.029,1.91883797662071e-272,"TSPAN7"
1.08507295251899e-262,2.73517760029469,0.231,0.034,2.62424893566718e-258,"SOX18"
3.22867608076857e-261,2.54157545900976,0.239,0.036,7.80855310133877e-257,"CLEC14A"
1.33151833772295e-259,2.63949904698917,0.23,0.034,3.22027709978294e-255,"CD93"
2.52941146990204e-259,3.1246091696975,0.166,0.016,6.11738163995808e-255,"DIPK2B"
2.13313691299232e-255,2.75180836907954,0.286,0.055,5.15899162407192e-251,"EGFL7"
1.00219265155377e-250,2.81882669312542,0.186,0.022,2.4238029277828e-246,"GIMAP6"
1.03260063539016e-248,3.37791787927766,0.15,0.013,2.4973446366911e-244,"SPNS2"
1.53950412806438e-246,3.14845607455428,0.154,0.014,3.72329073372369e-242,"NOSTRIN"
2.33594672668925e-236,3.03365551730379,0.163,0.017,5.64948715849794e-232,"IL3RA"
4.32697908436666e-232,3.05065018299816,0.152,0.015,1.04647989155408e-227,"MEOX1"
5.49518099348756e-232,3.02623326187146,0.161,0.017,1.32900952327497e-227,"RAPGEF3"
6.19093176191108e-230,2.7738629985732,0.153,0.015,1.49727684661819e-225,"MYCT1"
1.29044180784954e-229,2.55495070877865,0.238,0.042,3.12093351228411e-225,"EMCN"
2.94715197070977e-214,2.5743413884336,0.177,0.023,7.12768704116158e-210,"PTPRB"
9.16670134459233e-214,3.29774888963381,0.13,0.011,2.21696672018966e-209,"APLNR"
4.75840412722304e-212,2.90634038383699,0.151,0.017,1.15082003816889e-207,"C1orf115"
3.16551615023922e-210,2.66728747489774,0.155,0.018,7.65580080935355e-206,"ROBO4"
3.46857903765384e-210,3.65189761332,0.122,0.01,8.38875840256582e-206,"CYTL1"
1.04493856021086e-209,2.46777268025503,0.203,0.032,2.52718390786997e-205,"GIMAP1"
1.10010680329947e-208,3.35676229655776,0.105,0.007,2.66060830377977e-204,"AVPR2"
1.26618269843237e-208,2.87501479043627,0.226,0.042,3.06226285615868e-204,"MMRN2"
8.06253606272909e-203,2.9557848870984,0.106,0.007,1.94992434677103e-198,"TACR1"
1.38518583763184e-201,2.22904457437872,0.219,0.039,3.35007194831259e-197,"GIMAP4"
1.88981251961766e-200,2.49011173955348,0.183,0.027,4.5705115786953e-196,"CDH5"
1.6397293169314e-199,2.33385653057339,0.244,0.049,3.96568535299859e-195,"GIMAP7"
1.90412058981963e-196,2.69804131963718,0.203,0.035,4.60511564647878e-192,"CYYR1"
3.07632814460976e-196,2.84971452491726,0.16,0.021,7.4400996177387e-192,"ERG"
1.30983285626133e-192,2.59248085592687,0.265,0.062,3.16783076286804e-188,"CD34"
4.35078668537322e-192,2.71909198153782,0.158,0.021,1.05223775985751e-187,"FLT1"
8.64739002436967e-191,2.66864961117366,0.135,0.015,2.0913712773938e-186,"TM4SF18"
1.99561089238256e-190,2.62037346698492,0.153,0.02,4.82638494322721e-186,"PDE2A"
2.33024085456973e-189,2.86982562088199,0.136,0.015,5.63568750677689e-185,"TMEM273"
8.30968741413286e-189,2.33230344654981,0.31,0.083,2.00969790110803e-184,"A2M"
5.28140395384064e-187,2.67090716364256,0.164,0.023,1.27730754623636e-182,"ADCY4"
1.82980931931164e-185,2.28465481362317,0.233,0.048,4.4253938387552e-181,"ESAM"
3.85091433766892e-183,2.74266182394139,0.156,0.021,9.31343632565228e-179,"MCTP1"
3.83700070505759e-182,2.46106163635935,0.28,0.072,9.27978620518178e-178,"RAMP2"
3.50682586829918e-181,3.02844657238169,0.103,0.008,8.48125836248157e-177,"CFI"
2.60180736073232e-177,3.17028609593871,0.131,0.015,6.29247110193111e-173,"GIMAP8"
6.92914509692747e-177,2.304086801496,0.166,0.025,1.67581374169191e-172,"FLI1"
1.0388417275923e-175,2.47144085568635,0.228,0.049,2.51243871818199e-171,"JAM2"
1.53520869263599e-170,2.4581131479339,0.135,0.017,3.71290222314013e-166,"KDR"
2.40878024755794e-169,1.32452153003717,0.314,0.091,5.82563502871887e-165,"HLA-DPA1"
4.23834725099298e-169,2.69829650644479,0.108,0.01,1.02504428265265e-164,"CPLX1"
8.15486750009386e-169,1.35462213460352,0.399,0.147,1.9722547048977e-164,"HLA-DRA"
4.87132197802439e-168,2.57777170112794,0.145,0.02,1.1781292203852e-163,"HHEX"
8.28137506130703e-164,1.55979364040346,0.409,0.155,2.00285055857711e-159,"HLA-DRB1"
5.69570875970795e-162,2.48179042944765,0.137,0.019,1.37750716353537e-157,"HOXD9"
8.43043238440962e-162,3.05440798413984,0.11,0.011,2.03890007216947e-157,"ARHGEF15"
3.16359810211977e-156,2.25759017804778,0.139,0.02,7.65116200997667e-152,"S1PR1"
2.83005074338697e-151,1.11609130484684,0.33,0.108,6.84447772288139e-147,"HLA-DPB1"
6.70849312433799e-147,2.48330400934444,0.264,0.077,1.62244906212114e-142,"ENG"
1.3504622053979e-146,2.13734804261262,0.123,0.016,3.26609284375483e-142,"TIE1"
5.15686571716321e-145,2.56697045348452,0.111,0.013,1.24718797369592e-140,"THSD7A"
1.39731954789252e-144,2.33286805766858,0.116,0.015,3.37941732657807e-140,"SELE"
1.57077946298362e-144,3.02246539656465,0.109,0.013,3.79893013122589e-140,"SH3BGRL2"
3.68823114229435e-143,1.90697399443741,0.31,0.101,8.91998701763889e-139,"HLA-DMA"
6.19327223219575e-142,2.70977950613115,0.218,0.055,1.49784288935654e-137,"LIFR"
6.18125309776392e-141,2.17668361558804,0.35,0.132,1.4949360616942e-136,"SPARCL1"
3.71690568164358e-138,2.52575836240504,0.142,0.024,8.989336391055e-134,"KANK3"
5.18840894762778e-135,2.36663581208169,0.117,0.016,1.25481670398378e-130,"SCARF1"
5.16611122935409e-134,2.20046535797554,0.104,0.013,1.24942400081929e-129,"MECOM"
8.37924613503359e-132,-0.884386461271455,0.546,0.822,2.02652067775787e-127,"CD44"
1.93873711876149e-129,0.96795454218657,0.205,0.049,4.68883572172465e-125,"HLA-DQA1"
4.2283699735644e-129,2.47343736492367,0.106,0.014,1.02263127810655e-124,"TSPAN12"
1.87895879956755e-128,2.67707540994134,0.188,0.045,4.54426185675412e-124,"RASA4"
2.25769974886417e-124,2.79552548858656,0.148,0.029,5.46024684262798e-120,"GPR146"
3.12022054282723e-124,2.59463149850037,0.32,0.127,7.54625338282766e-120,"AQP1"
5.22986508355613e-121,2.13657938577597,0.246,0.077,1.26484287045805e-116,"LMCD1"
1.41691337120162e-119,1.87322689159139,0.104,0.014,3.42680498825112e-115,"SOX17"
1.59904342147136e-119,1.55375723871019,0.132,0.023,3.8672865148285e-115,"PODXL"
2.05997619150747e-119,2.29170920529923,0.151,0.031,4.98205241916081e-115,"GBP4"
2.70918199835732e-118,3.04509153905111,0.295,0.109,6.55215666302719e-114,"RBP7"
3.47457628049062e-118,1.7934062937813,0.163,0.035,8.40326273436656e-114,"ICAM2"
2.66654035649833e-116,2.18286231607293,0.189,0.048,6.44902785219122e-112,"HEG1"
1.05318096081295e-115,2.99408804660338,0.168,0.04,2.54711815372613e-111,"ADM5"
9.53002644065967e-114,2.43257539235769,0.142,0.029,2.30483689467354e-109,"ZNF385D"
1.21352249594841e-111,1.98561782793496,0.219,0.065,2.93490415645122e-107,"SPHK1"
6.66472290392424e-111,2.21024050674299,0.111,0.018,1.61186323431408e-106,"SHANK3"
5.08189436619267e-110,1.65520489257216,0.115,0.019,1.2290561524637e-105,"TESC"
8.357744567387e-110,1.6897994189947,0.374,0.167,2.02132052362255e-105,"BCAM"
5.38785947072601e-109,2.39934064943267,0.128,0.024,1.30305381299508e-104,"FGD5"
2.44669570127873e-108,1.58993776338549,0.165,0.039,5.91733355354261e-104,"CAVIN2"
5.80918687895833e-108,1.86836657770032,0.341,0.143,1.40495184667607e-103,"ARHGAP29"
9.13197350424626e-108,1.84206618233292,0.181,0.047,2.20856779200196e-103,"CMTM8"
1.05564421400511e-107,2.09525478401829,0.204,0.059,2.55307553157137e-103,"LMO2"
1.15320270916545e-107,1.5089448367273,0.242,0.077,2.78902075211665e-103,"SNCG"
1.29227781397785e-107,2.49327865156333,0.117,0.021,3.12537389310542e-103,"DOC2B"
2.10669778032081e-107,1.71799176326771,0.434,0.229,5.09504858170587e-103,"CD74"
5.83078921896519e-107,2.43164728280117,0.109,0.018,1.41017637260673e-102,"SHE"
1.42982119653592e-105,2.27893293518384,0.106,0.017,3.45802256382213e-101,"CSF2RB"
5.82357560808177e-104,2.04813222417004,0.145,0.032,1.40843176081458e-99,"C2CD4B"
1.54697491458394e-103,1.92403900301724,0.283,0.105,3.74135883092126e-99,"CTSH"
6.03907314618583e-102,1.42738866145521,0.148,0.033,1.46054984040504e-97,"HLA-DMB"
2.11657300279173e-98,1.7740905107155,0.167,0.043,5.11893180725181e-94,"LIMS2"
3.09200764642788e-95,2.14764920243798,0.142,0.033,7.47802049288582e-91,"ARHGAP31"
1.1338752957359e-93,2.53158664545085,0.102,0.018,2.74227740273728e-89,"CRACR2B"
1.01178784471527e-92,2.24742968879396,0.153,0.039,2.44700890244389e-88,"GASK1B"
4.14537392332808e-92,2.35835122285604,0.301,0.131,1.0025586833569e-87,"SLURP1"
3.25777540943649e-91,1.03079145415314,0.301,0.124,7.87892982772215e-87,"HLA-DQB1"
4.43079318443072e-91,-0.945165291675848,0.378,0.645,1.07158733165457e-86,"GPNMB"
4.98891830464241e-91,-1.23669073547753,0.466,0.685,1.20656989197777e-86,"MT1X"
4.00655371839434e-90,2.21016269772458,0.142,0.035,9.68985016793672e-86,"TMEM255B"
7.13677643465188e-89,2.14114614019133,0.353,0.18,1.72602938072056e-84,"GNG11"
9.02068362793946e-89,2.08969001671167,0.255,0.099,2.18165233541716e-84,"NRN1"
