"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","fdr_BH"
0,2.28333612352756,0.207,0.051,0,"PECAM1",0
0,2.46812812596706,0.197,0.041,0,"VWF",0
0,1.8598239058655,0.243,0.089,0,"A2M",0
0,2.04826677134098,0.217,0.064,0,"EGFL7",0
0,2.44449038908759,0.189,0.036,0,"PLVAP",0
0,2.0749523219063,0.186,0.041,0,"RNASE1",0
0,1.82435311360888,0.192,0.049,0,"CLDN5",0
0,1.89590960857781,0.178,0.042,0,"CLEC14A",0
0,2.48142696321352,0.171,0.036,0,"RAMP3",0
0,2.24635262939042,0.162,0.031,0,"ADGRL4",0
0,1.83258880809232,0.184,0.053,0,"GIMAP7",0
0,1.86113718102396,0.167,0.037,0,"ECSCR",0
0,2.03629608951738,0.165,0.038,0,"CD93",0
0,1.92552945395789,0.174,0.048,0,"EMCN",0
0,2.05803074888414,0.167,0.041,0,"SOX18",0
0,2.64422786069379,0.157,0.032,0,"ACKR1",0
0,1.57200412192333,0.173,0.053,0,"ESAM",0
0,2.10416247917175,0.155,0.035,0,"PCAT19",0
0,2.27314742247292,0.157,0.037,0,"TSPAN7",0
0,1.62023406423813,0.162,0.044,0,"GIMAP4",0
0,1.85746237996852,0.148,0.036,0,"GIMAP1",0
0,1.99076790445836,0.148,0.04,0,"CYYR1",0
0,1.95145620403825,0.138,0.031,0,"CDH5",0
0,1.98969770691115,0.132,0.028,0,"PTPRB",0
0,2.00833769169899,0.127,0.026,0,"GIMAP6",0
0,2.53283248143328,0.119,0.018,0,"FAM110D",0
0,2.3087141531868,0.117,0.02,0,"DIPK2B",0
0,2.19163679905061,0.118,0.022,0,"ROBO4",0
0,2.23062663841803,0.119,0.024,0,"FLT1",0
0,2.80203641020902,0.109,0.015,0,"CCL14",0
0,1.95826962021875,0.121,0.028,0,"ADCY4",0
0,2.14949752096198,0.113,0.022,0,"IL3RA",0
0,2.35845806616909,0.109,0.019,0,"NOSTRIN",0
0,2.01507763916104,0.114,0.026,0,"MCTP1",0
0,2.08286336976777,0.107,0.019,0,"MYCT1",0
0,2.03827905658673,0.11,0.022,0,"PDE2A",0
0,2.13851475932334,0.111,0.023,0,"RAPGEF3",0
0,2.16001132092462,0.104,0.019,0,"MEOX1",0
0,2.52934093616762,0.102,0.017,0,"SPNS2",0
0,2.34392986178398,0.103,0.019,0,"C1orf115",0
0,1.99194711209842,0.101,0.02,0,"KDR",0
1.97626258336499e-323,2.05339508203675,0.161,0.05,4.77959105786822e-319,"MMRN2",2.13436359003419e-321
3.35470573526206e-320,2.06170398153497,0.111,0.025,8.1133558207313e-316,"ERG",3.54272735744341e-318
8.5711990437477e-317,1.79073345589228,0.296,0.138,2.07294448873038e-312,"SPARCL1",8.84586701355331e-315
2.7164821397016e-309,-0.562141272441832,0.82,0.907,6.56981205486831e-305,"S100A11",2.74123231030777e-307
1.35392776089261e-306,1.90703249342513,0.195,0.07,3.27447428971877e-302,"CD34",1.33656216569855e-304
7.27799023030237e-306,1.86186815891834,0.103,0.023,1.76018193719863e-301,"S1PR1",7.0317773693198e-304
4.51853033428216e-301,1.64501365773403,0.21,0.08,1.09280656134614e-296,"RAMP2",4.27471796832819e-299
1.09294153339633e-299,1.83686689110241,0.169,0.056,2.64327909851903e-295,"JAM2",1.01286683737811e-297
2.63866586385568e-296,0.874504765653333,0.239,0.097,6.38161339173497e-292,"HLA-DPA1",2.39643633755373e-294
1.9912669074088e-291,1.1270163863332,0.322,0.161,4.81587901556819e-287,"HLA-DRB1",1.77300843657713e-289
1.17168604368428e-289,-0.459391500327046,0.586,0.817,2.83372269665043e-285,"CD44",1.02319737007121e-287
4.16182361320681e-288,2.0698084467708,0.279,0.133,1.00653704085407e-283,"AQP1",3.56581906180606e-286
2.0568453365579e-286,2.16079993708929,0.176,0.062,4.97448044646529e-282,"LIFR",1.72965456913137e-284
6.32189263476983e-285,0.857449090837134,0.312,0.155,1.52894973371908e-280,"HLA-DRA",5.21958444627087e-283
2.00453410806251e-281,0.640038264755688,0.262,0.116,4.84796574034918e-277,"HLA-DPB1",1.62546239012712e-279
1.40098865525095e-280,1.7931692675519,0.103,0.024,3.38829106272443e-276,"HHEX",1.11612096201659e-278
2.87057938343143e-276,1.67909216685898,0.115,0.03,6.94249623882892e-272,"FLI1",2.24746568623485e-274
3.37271983213949e-270,1.43319074450908,0.104,0.026,8.15692291402935e-266,"PODXL",2.59585097588905e-268
3.48422909163271e-262,-2.1896511566727,0.3,0.485,8.42660805811371e-258,"KRT16",2.63698071751736e-260
1.42023140457773e-257,0.599875903119682,0.158,0.052,3.43482965197125e-253,"HLA-DQA1",1.05725750953893e-255
5.65552748520585e-255,1.83886580193916,0.105,0.027,1.36778932229704e-250,"KANK3",4.14221779198706e-253
4.81357361579947e-251,1.68618466683257,0.2,0.081,1.1641627789811e-246,"LMCD1",3.46959329989609e-249
4.71784673369324e-243,-0.856562829853693,0.295,0.516,1.14101123254371e-238,"TPPP3",3.34745969026578e-241
1.16863851082646e-239,1.74685847985147,0.204,0.086,2.82635223843378e-235,"ENG",8.16428842717378e-238
1.0597250833586e-238,1.66742014987345,0.29,0.15,2.56294511410277e-234,"ARHGAP29",7.29122970232031e-237
