group,gene,logFC,FDR,I2,k,sig
IL-1 ligands,IL1A,-0.47,0.0043462440995701,18,4,**
IL-1 ligands,IL1B,1.09,0.330959262032692,94,4,n.s.
IL-1 ligands,IL18,-0.05,0.903100417344866,95,4,n.s.
IL-1 ligands,IL33,0.5,6.59084371979951e-05,34,4,***
IL-1 ligands,IL37,-1.91,0.013715180366358,95,4,*
IL-36 subfamily,IL36A,9.03,1.78575127382683e-19,73,3,***
IL-36 subfamily,IL36B,1.05,0.0005037839726889,85,3,***
IL-36 subfamily,IL36G,4.66,1.05340107673602e-24,89,4,***
IL-36 subfamily,IL36RN,2.79,1.47009067642637e-16,91,4,***
IL-36 subfamily,IL1F10,0.06,0.915171251044855,91,4,n.s.
Receptors,IL1R1,-0.02,0.912180056872694,90,4,n.s.
Receptors,IL1R2,-0.34,0.265817044687394,86,4,n.s.
Receptors,IL1RAP,0.2,0.346321060509674,93,4,n.s.
Receptors,IL1RL1,-0.23,0.0113017161967113,0,4,*
Receptors,IL1RL2,0.29,0.0060299405065436,72,4,**
Receptors,IL18R1,0.24,0.0114375549950978,57,4,*
Receptors,IL18RAP,1.43,0.0004267186453273,86,3,***
Receptors,IL1RAPL1,,,NA,1,n.s.
Antagonists,IL1RN,0.83,2.2382313065894e-05,83,4,***
Antagonists,IL18BP,-0.28,0.0199333619803548,83,4,*
Inflammasome,NLRP3,0.52,0.0614979105626366,88,3,n.s.
Inflammasome,NLRP1,-0.5,0.0056599768105287,89,4,**
Inflammasome,AIM2,2.84,5.7526325507623893e-11,82,3,***
Inflammasome,PYCARD,1.09,1.98422890594572e-18,65,4,***
Inflammasome,CASP1,0.59,6.41822271843493e-08,72,4,***
Inflammasome,CASP4,0.88,3.1948813335574902e-15,83,4,***
Inflammasome,CASP5,3.54,6.13918485004454e-06,92,3,***
Inflammasome,GSDMD,0.75,0.0019040356830061,91,4,**
