"gene","k","dl_logFC","mf_logFC","dl_SE","mf_SE","dl_I2","mf_I2","dl_P","mf_P"
"STAT3",3,1.24602212200644,1.24602212200644,0.224940066553688,0.224940066553688,91.0890420541685,91.0890420541685,3.0359354579927e-08,3.03593545799271e-08
"STAT1",3,1.86244127933586,1.86244127933586,0.153632974822403,0.153632974822403,72.5227158083796,72.5227158083795,8.01098518127841e-34,8.0109851812772e-34
"SOCS3",3,2.16261928287611,2.16261928287611,0.210140038884924,0.210140038884924,60.7956128536751,60.795612853675,7.7108495458492e-25,7.71084954584906e-25
"JAK3",3,1.5448447249749,1.5448447249749,0.367557283115179,0.367557283115179,91.7537789374336,91.7537789374336,2.63395951955559e-05,2.63395951955557e-05
"IL17A",2,5.60423390165319,5.60423390165319,0.233010865314146,0.233010865314146,0,0,8.07392573714806e-128,8.07392573714875e-128
"IL36A",2,10.0608644809872,10.0608644809872,0.487918304344249,0.487918304344249,0,0,1.81642756890757e-94,1.81642756890757e-94
"S100A9",3,7.93956640609816,7.93956640609817,0.810436892620471,0.810436892620471,89.6859521463506,89.6859521463505,1.16381770461949e-22,1.16381770461943e-22
"IL1B",3,1.63293432618842,1.63293432618842,0.844451952002523,0.844451952002523,90.1151507950481,90.1151507950482,0.0531474618327953,0.0531474618327953
"TPP1",3,-0.0804996481472418,-0.0804996481472417,0.309126741106091,0.309126741106091,97.4242651526054,97.4242651526054,0.79454764612864,0.79454764612864
"EFEMP1",3,-0.907122810617414,-0.907122810617414,0.169066680673329,0.169066680673329,82.0282398070191,82.0282398070191,8.07370923247244e-08,8.07370923247229e-08
"RP11-383G6.4",3,-0.0740437386152685,-0.0740437386152685,0.109815800519429,0.10981580051943,43.7389142718795,43.7389142718795,0.500149867701409,0.500149867701409
"PDCD6IP",3,0.0170591704302479,0.0170591704302479,0.0897838839147121,0.0897838839147122,87.8544815016579,87.8544815016579,0.84930710144559,0.84930710144559
"MAN1A2",3,0.0942403610967614,0.0942403610967614,0.0359660481576034,0.0359660481576034,0,0,0.00878630104278393,0.00878630104278392
"CYP2D6",3,-0.223726385917767,-0.223726385917767,0.1075852957654,0.1075852957654,0,0,0.0375690594900021,0.0375690594900021
"RP11-505D17.1",3,-0.321519408952629,-0.321519408952629,0.137707083360518,0.137707083360518,79.942290871055,79.942290871055,0.0195535255601963,0.0195535255601963
"PTGDR2",3,-0.0880832338227774,-0.0880832338227774,0.217819841544609,0.217819841544609,89.6395530267555,89.6395530267555,0.685929098181066,0.685929098181066
"RNF19A",3,-0.26208029345456,-0.262080293454559,0.0408741747810255,0.0408741747810255,0,0,1.4373619916804e-10,1.43736199168041e-10
"TTF2",3,0.182451791142339,0.182451791142339,0.169156565034662,0.169156565034662,91.2937446864417,91.2937446864417,0.280767346587091,0.280767346587091
"RP4-559A3.7",3,-0.130374236476336,-0.130374236476336,0.0542421825126936,0.0542421825126936,0,0,0.0162363872769555,0.0162363872769555
"VPS13C",3,-0.431793587913122,-0.431793587913122,0.184873829357092,0.184873829357092,91.914328023141,91.914328023141,0.0195114574791206,0.0195114574791206
"RP11-73M7.6",3,-0.523741301920773,-0.523741301920773,0.122216372819734,0.122216372819734,52.2003776594252,52.2003776594252,1.82442526970573e-05,1.82442526970574e-05
"NPM1P39",3,0.6154380607046,0.6154380607046,0.122841820034937,0.122841820034937,77.4456110095168,77.4456110095168,5.44287868240431e-07,5.44287868240438e-07
"LPCAT3",3,0.216931379604372,0.216931379604372,0.0502781357013071,0.0502781357013071,35.633530078602,35.633530078602,1.59872925420872e-05,1.59872925420872e-05
"TRIM59",3,0.413897561988214,0.413897561988214,0.174700818645029,0.174700818645029,87.6875943969657,87.6875943969657,0.0178276088425876,0.0178276088425876
"ALDH7A1P1",3,0.70653530343962,0.706535303439619,0.16336564006352,0.16336564006352,87.2335782805541,87.2335782805541,1.52621213239447e-05,1.52621213239447e-05
"HCG4P5",3,0.579375963199395,0.579375963199395,0.0908311888875784,0.0908311888875784,11.7749599387292,11.7749599387292,1.78712313597696e-10,1.78712313597697e-10
"RNASEH2B",3,-0.17039953155621,-0.17039953155621,0.128905415448415,0.128905415448415,89.3018200486063,89.3018200486063,0.186202840141261,0.186202840141261
"PNN",3,-0.0330117043057731,-0.0330117043057731,0.0447868759274572,0.0447868759274572,0,0,0.461071069596019,0.461071069596019
"IGFBP5",3,-1.78639063388999,-1.78639063388999,0.547442586161845,0.547442586161845,93.2443658925681,93.2443658925681,0.00110178800419056,0.00110178800419055
"RPL8",3,-0.260516119282251,-0.260516119282251,0.0454081239318654,0.0454081239318654,0,0,9.6246678245492e-09,9.6246678245492e-09
"NDUFB5",3,0.115841211970446,0.115841211970446,0.0473635284639338,0.0473635284639338,25.9515952885456,25.9515952885455,0.0144535432312518,0.0144535432312518
"ZBTB17",3,0.121370760765789,0.121370760765789,0.120281910855359,0.120281910855359,82.7860065810165,82.7860065810165,0.312949464906273,0.312949464906273
"CSTF1",3,0.118411407315758,0.118411407315758,0.0209751999512056,0.0209751999512056,0,0,1.64888386245895e-08,1.64888386245894e-08
"C10orf10",3,-0.449580153692204,-0.449580153692204,0.1907490287226,0.1907490287226,68.950928300021,68.950928300021,0.0184272284685679,0.0184272284685678
"ZNF492",3,-0.593718378690627,-0.593718378690627,0.186177700058173,0.186177700058173,57.343218929993,57.343218929993,0.0014277199696174,0.0014277199696174
"ATP5L",3,0.41106843713472,0.41106843713472,0.174926001402538,0.174926001402538,93.288800109423,93.288800109423,0.0187756215689074,0.0187756215689074
"SEPT7P3",3,-0.117649384308227,-0.117649384308227,0.0651580536398179,0.0651580536398179,0,0,0.0709808363096303,0.0709808363096303
"RP11-152N13.16",3,0.345254258303423,0.345254258303423,0.086852028514259,0.086852028514259,17.4721220066345,17.4721220066345,7.0319882370125e-05,7.03198823701254e-05
"SOWAHC",3,0.366938139033898,0.366938139033898,0.121457136971642,0.121457136971642,81.255243640574,81.255243640574,0.00251830892289393,0.00251830892289392
"DUT",3,0.0360335562584156,0.0360335562584156,0.0349298182276395,0.0349298182276395,0,0,0.302260133776556,0.302260133776556
"HCFC2",3,-0.216724639513085,-0.216724639513085,0.105324775786698,0.105324775786698,79.1412995629298,79.1412995629298,0.0396209026380589,0.039620902638059
"ARFRP1",3,0.369692329762191,0.369692329762191,0.136563189446132,0.136563189446132,86.266686215676,86.266686215676,0.00678706356722878,0.00678706356722878
"PEBP4",3,-1.39651079411971,-1.39651079411971,0.485310201531242,0.485310201531242,84.9577875466977,84.9577875466977,0.00400759578683789,0.00400759578683789
"ZNF93",3,-0.682365242116334,-0.682365242116334,0.240310541020911,0.240310541020911,89.2000380129856,89.2000380129855,0.00451822555303056,0.00451822555303056
"NOTCH2NL",3,-0.455937860941731,-0.455937860941731,0.0951100627808967,0.0951100627808967,64.4763430410198,64.4763430410198,1.6365793525949e-06,1.63657935259489e-06
"TIGD5",3,-0.0551261802081699,-0.05512618020817,0.0568742549465623,0.0568742549465623,18.2273084407552,18.2273084407553,0.332413377768178,0.332413377768178
"TRAPPC13",3,0.167282745239065,0.167282745239065,0.0366844440986709,0.0366844440986709,1.77010477469853,1.77010477469853,5.11424653226994e-06,5.11424653226994e-06
"FBXL5",3,-0.0351330916249552,-0.0351330916249552,0.0849241253019488,0.0849241253019488,79.9529039830863,79.9529039830863,0.679093991073643,0.679093991073643
"VMAC",3,-0.308947613196593,-0.308947613196593,0.0438764947088269,0.0438764947088269,0,0,1.90452854415183e-12,1.9045285441518e-12
"RP11-761N21.2",3,-0.122653016462599,-0.122653016462599,0.0390364639995143,0.0390364639995143,0,0,0.00167791479789594,0.00167791479789594
"THADA",3,-0.082401667151008,-0.082401667151008,0.118100428218319,0.118100428218319,89.8910544106724,89.8910544106724,0.485348947536897,0.485348947536897
"RP11-407N17.5",3,0.678039907048242,0.678039907048242,0.0739013348506379,0.0739013348506379,0,0,4.51849057278244e-20,4.51849057278236e-20
"RP11-69M1.6",3,-0.357820599476885,-0.357820599476885,0.139747786266051,0.139747786266051,76.5843329880856,76.5843329880856,0.0104529428329971,0.0104529428329971
"LGR5",3,-1.85304823484766,-1.85304823484766,0.946393426101344,0.946393426101345,92.6013472748361,92.6013472748361,0.0502287844214073,0.0502287844214074
"SPATA21",3,0.145066088392777,0.145066088392777,0.0246089317357509,0.0246089317357508,0,0,3.75010160599242e-09,3.75010160599244e-09
"MYL6",3,0.201944303334793,0.201944303334793,0.169849455444752,0.169849455444752,93.7612831724559,93.7612831724559,0.234455188037923,0.234455188037923
