"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP049599","SRR1644000","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1644001","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1644004","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1644006","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1644007","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1644021","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540465: JB2; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540465"
"SRP049599","SRR1644022","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
"SRP049599","SRR1644023","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
"SRP049599","SRR1644025","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
"SRP049599","SRR1644026","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
"SRP049599","SRR1644027","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
"SRP049599","SRR1644028","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
