"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP078169","SRR3819726","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228986: Ex-vivo-donor 1; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;no stimulation|surface markers;;unsorted","GEO Accession;;GSM2228986"
"SRP078169","SRR3819727","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228987: Ex-vivo-donor 2; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;no stimulation|surface markers;;unsorted","GEO Accession;;GSM2228987"
"SRP078169","SRR3819728","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228988: Ex-vivo-donor 3; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;no stimulation|surface markers;;unsorted","GEO Accession;;GSM2228988"
"SRP078169","SRR3819729","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228989: Medium-donor 1; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;no stimulation|surface markers;;unsorted","GEO Accession;;GSM2228989"
"SRP078169","SRR3819730","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228990: Medium-donor 2; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;no stimulation|surface markers;;unsorted","GEO Accession;;GSM2228990"
"SRP078169","SRR3819731","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228991: Medium-donor 3; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;no stimulation|surface markers;;unsorted","GEO Accession;;GSM2228991"
"SRP078169","SRR3819732","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228992: P1-donor 1; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;influenza virus stimulation|surface markers;;PD-L1+CD80- sorted","GEO Accession;;GSM2228992"
"SRP078169","SRR3819733","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228993: P1-donor 2; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;influenza virus stimulation|surface markers;;PD-L1+CD80- sorted","GEO Accession;;GSM2228993"
"SRP078169","SRR3819734","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228994: P1-donor 3; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;influenza virus stimulation|surface markers;;PD-L1+CD80- sorted","GEO Accession;;GSM2228994"
"SRP078169","SRR3819735","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228995: P2-donor 1; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;influenza virus stimulation|surface markers;;PD-L1+CD80+ sorted","GEO Accession;;GSM2228995"
"SRP078169","SRR3819736","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228996: P2-donor 2; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;influenza virus stimulation|surface markers;;PD-L1+CD80+ sorted","GEO Accession;;GSM2228996"
"SRP078169","SRR3819737","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228997: P2-donor 3; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;influenza virus stimulation|surface markers;;PD-L1+CD80+ sorted","GEO Accession;;GSM2228997"
"SRP078169","SRR3819738","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228998: P3-donor 1; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;influenza virus stimulation|surface markers;;PD-L1-CD80+ sorted","GEO Accession;;GSM2228998"
"SRP078169","SRR3819739","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2228999: P3-donor 2; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;influenza virus stimulation|surface markers;;PD-L1-CD80+ sorted","GEO Accession;;GSM2228999"
"SRP078169","SRR3819740","RNA-seq analysis of activated plasmacytoid dendritic cell subsets after viral infection","GSM2229000: P3-donor 3; Homo sapiens; RNA-Seq","cell type;;plasmacytoid dendritic cells|source_name;;plasmacytoid dendritic cells|stimulation;;influenza virus stimulation|surface markers;;PD-L1-CD80+ sorted","GEO Accession;;GSM2229000"
