gene,pocket,druggability,fpocket_score,volume,n_alpha,hydrophob,polarity,lig_atoms_in_pocket,is_ligand_pocket
STAT3,1,0.009,0.174,678.863,60.0,-5.154,11.0,0,False
STAT3,2,0.133,0.161,423.835,42.0,9.385,5.0,0,False
STAT3,3,0.041,0.153,343.301,28.0,28.875,3.0,0,False
STAT3,4,0.707,0.146,385.629,41.0,28.714,4.0,0,False
STAT3,5,0.004,0.12,159.003,28.0,6.0,6.0,0,False
STAT3,6,0.002,0.102,108.46,20.0,50.222,4.0,0,False
STAT3,7,0.004,0.1,490.387,32.0,35.308,9.0,0,False
STAT3,8,0.0,0.089,309.542,22.0,22.875,6.0,0,False
STAT3,9,0.003,0.088,528.219,46.0,-5.167,4.0,0,False
STAT3,10,0.001,0.076,395.592,41.0,48.385,6.0,0,False
STAT3,11,0.007,0.076,840.331,66.0,10.05,13.0,0,False
STAT3,12,0.0,0.068,481.336,35.0,-0.889,8.0,0,False
STAT3,13,0.021,0.062,419.601,35.0,9.727,7.0,0,False
STAT3,14,0.0,0.046,147.27,18.0,15.143,6.0,0,False
STAT3,15,0.001,0.03,186.292,16.0,-7.714,6.0,0,False
STAT3,16,0.0,0.025,193.328,18.0,7.333,5.0,0,False
STAT3,17,0.001,0.02,246.367,24.0,27.857,4.0,0,False
STAT3,18,0.0,0.018,241.326,16.0,-0.875,6.0,0,False
STAT3,19,0.0,0.018,235.935,24.0,13.5,5.0,0,False
STAT3,20,0.005,0.015,214.081,28.0,31.429,4.0,0,False
STAT3,21,0.001,0.008,113.401,15.0,25.143,5.0,0,False
STAT3,22,0.0,0.004,188.013,16.0,13.111,5.0,0,False
STAT3,23,0.0,0.0,171.671,15.0,42.625,3.0,0,False
STAT3,24,0.0,-0.002,198.131,16.0,13.0,3.0,0,False
STAT3,25,0.0,-0.01,214.32,16.0,18.0,3.0,0,False
STAT3,26,0.0,-0.015,412.629,26.0,29.8,6.0,0,False
STAT3,27,0.002,-0.021,158.393,17.0,66.222,3.0,0,False
STAT3,28,0.015,-0.025,1271.814,96.0,8.381,16.0,0,False
STAT3,29,0.0,-0.029,281.454,25.0,-21.889,9.0,0,False
STAT3,30,0.0,-0.03,241.395,19.0,-14.833,5.0,0,False
STAT3,31,0.004,-0.03,279.218,17.0,12.833,4.0,0,False
STAT3,32,0.001,-0.031,191.634,17.0,19.4,3.0,0,False
STAT3,33,0.0,-0.033,232.915,17.0,28.714,5.0,0,False
STAT3,34,0.0,-0.039,123.465,15.0,39.6,3.0,0,False
STAT3,35,0.007,-0.048,320.289,33.0,28.75,5.0,0,False
STAT3,36,0.0,-0.054,417.263,22.0,3.0,8.0,0,False
STAT3,37,0.0,-0.058,143.929,15.0,-15.4,5.0,0,False
STAT3,38,0.002,-0.059,308.406,22.0,31.444,6.0,0,False
STAT3,39,0.001,-0.068,198.926,18.0,35.0,4.0,3,True
STAT3,40,0.0,-0.078,206.146,16.0,38.6,2.0,0,False
STAT3,41,0.002,-0.096,136.476,15.0,66.667,2.0,0,False
STAT3,42,0.001,-0.133,441.596,27.0,22.167,6.0,1,False
RORC,1,0.936,0.32,1123.946,115.0,59.903,8.0,29,True
RORC,2,0.002,0.191,372.287,26.0,0.857,7.0,0,False
RORC,3,0.005,0.131,342.114,28.0,30.538,6.0,0,False
RORC,4,0.005,0.083,391.576,29.0,58.545,5.0,0,False
RORC,5,0.002,0.08,509.473,54.0,17.3,6.0,0,False
RORC,6,0.0,0.034,323.629,18.0,-3.167,5.0,0,False
RORC,7,0.001,0.032,305.275,22.0,23.75,3.0,0,False
RORC,8,0.002,0.025,768.071,63.0,12.222,10.0,0,False
RORC,9,0.0,0.024,256.477,16.0,-15.6,5.0,0,False
RORC,10,0.0,0.022,202.551,16.0,-14.5,3.0,0,False
RORC,11,0.0,0.012,235.904,16.0,-9.2,4.0,0,False
RORC,12,0.0,0.006,293.376,15.0,-17.75,4.0,0,False
RORC,13,0.0,-0.007,147.214,19.0,68.75,2.0,0,False
RORC,14,0.001,-0.011,234.604,15.0,15.833,4.0,0,False
RORC,15,0.002,-0.02,223.117,24.0,-5.857,7.0,0,False
RORC,16,0.0,-0.026,255.797,17.0,-10.857,7.0,0,False
RORC,17,0.0,-0.034,276.936,21.0,0.143,6.0,0,False
RORC,18,0.0,-0.047,428.288,17.0,18.0,4.0,0,False
RORC,19,0.0,-0.049,315.794,22.0,-3.667,6.0,0,False
RORC,20,0.0,-0.063,380.831,28.0,50.909,5.0,0,False
RORC,21,0.0,-0.063,204.349,20.0,-13.143,5.0,0,False
RORC,22,0.003,-0.1,322.622,18.0,57.0,2.0,0,False
JAK3,1,0.622,0.18,316.059,58.0,68.267,5.0,0,False
JAK3,2,0.064,0.106,479.473,28.0,30.222,5.0,0,False
JAK3,3,0.004,0.022,275.217,16.0,24.5,6.0,0,False
JAK3,4,0.0,-0.017,297.968,16.0,20.0,4.0,0,False
JAK3,5,0.001,-0.02,360.58,26.0,2.1,8.0,0,False
JAK3,6,0.0,-0.024,206.692,18.0,52.5,3.0,0,False
JAK3,7,0.0,-0.025,132.215,21.0,24.875,5.0,0,False
JAK3,8,0.002,-0.028,273.128,28.0,6.5,3.0,0,False
JAK3,9,0.008,-0.032,459.108,41.0,1.091,8.0,0,False
JAK3,10,0.001,-0.036,288.432,29.0,27.583,6.0,0,False
JAK3,11,0.004,-0.038,436.616,41.0,26.667,6.0,0,False
JAK3,12,0.007,-0.056,431.252,24.0,38.25,5.0,0,False
JAK3,13,0.002,-0.062,224.181,24.0,-7.8,5.0,0,False
JAK3,14,0.0,-0.069,274.956,15.0,9.857,4.0,0,False
JAK3,15,0.0,-0.077,328.913,34.0,11.556,6.0,0,False
JAK3,16,0.0,-0.082,483.91,24.0,-6.727,8.0,0,False
JAK3,17,0.0,-0.082,151.316,15.0,16.8,3.0,0,False
JAK3,18,0.0,-0.088,160.022,17.0,4.143,3.0,0,False
JAK3,19,0.001,-0.091,304.973,17.0,33.667,2.0,0,False
JAK3,20,0.001,-0.111,122.208,15.0,5.25,3.0,0,False
JAK3,21,0.0,-0.117,323.275,25.0,30.4,2.0,0,False
JAK3,22,0.001,-0.121,365.378,36.0,16.333,7.0,0,False
JAK3,23,0.0,-0.122,210.399,17.0,10.0,5.0,0,False
JAK3,24,0.009,-0.127,348.879,27.0,21.778,5.0,0,False
JAK3,25,0.016,-0.277,1860.084,185.0,21.925,17.0,32,True
