"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP130972","SRR6495389","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935003: CTL_8_lineB_batch1; Homo sapiens; RNA-Seq","batch;;1|cell line;;B|cell type;;Monolayer keratinocytes|source_name;;CTL_8hr_lineB|time;;8 hours|treatment;;CTL","GEO Accession;;GSM2935003"
"SRP130972","SRR6495390","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935004: CTL_8_lineA_batch1; Homo sapiens; RNA-Seq","batch;;1|cell line;;A|cell type;;Monolayer keratinocytes|source_name;;CTL_8hr_lineA|time;;8 hours|treatment;;CTL","GEO Accession;;GSM2935004"
"SRP130972","SRR6495391","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935005: IL1B_8_lineB_batch1; Homo sapiens; RNA-Seq","batch;;1|cell line;;B|cell type;;Monolayer keratinocytes|source_name;;IL1B_8hr_lineB|time;;8 hours|treatment;;IL1B","GEO Accession;;GSM2935005"
"SRP130972","SRR6495392","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935006: IL1B_8_lineA_batch1; Homo sapiens; RNA-Seq","batch;;1|cell line;;A|cell type;;Monolayer keratinocytes|source_name;;IL1B_8hr_lineA|time;;8 hours|treatment;;IL1B","GEO Accession;;GSM2935006"
"SRP130972","SRR6495393","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935007: CTL_24_lineB_batch2; Homo sapiens; RNA-Seq","batch;;2|cell line;;B|cell type;;Monolayer keratinocytes|source_name;;CTL_24hr_lineB|time;;24 hours|treatment;;CTL","GEO Accession;;GSM2935007"
"SRP130972","SRR6495394","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935008: CTL_24_lineC_batch2; Homo sapiens; RNA-Seq","batch;;2|cell line;;C|cell type;;Monolayer keratinocytes|source_name;;CTL_24hr_lineC|time;;24 hours|treatment;;CTL","GEO Accession;;GSM2935008"
"SRP130972","SRR6495395","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935009: CTL_24_lineA_batch2; Homo sapiens; RNA-Seq","batch;;2|cell line;;A|cell type;;Monolayer keratinocytes|source_name;;CTL_24hr_lineA|time;;24 hours|treatment;;CTL","GEO Accession;;GSM2935009"
"SRP130972","SRR6495396","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935010: IL1B_24_lineB_batch2; Homo sapiens; RNA-Seq","batch;;2|cell line;;B|cell type;;Monolayer keratinocytes|source_name;;IL1B_24hr_lineB|time;;24 hours|treatment;;IL1B","GEO Accession;;GSM2935010"
"SRP130972","SRR6495397","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935011: IL1B_24_lineC_batch2; Homo sapiens; RNA-Seq","batch;;2|cell line;;C|cell type;;Monolayer keratinocytes|source_name;;IL1B_24hr_lineC|time;;24 hours|treatment;;IL1B","GEO Accession;;GSM2935011"
"SRP130972","SRR6495398","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935012: IL1B_24_lineA_batch2; Homo sapiens; RNA-Seq","batch;;2|cell line;;A|cell type;;Monolayer keratinocytes|source_name;;IL1B_24hr_lineA|time;;24 hours|treatment;;IL1B","GEO Accession;;GSM2935012"
"SRP130972","SRR6495399","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935013: CTL_8_lineB_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;B|cell type;;Monolayer keratinocytes|source_name;;CTL_8hr_lineB|time;;8 hours|treatment;;CTL","GEO Accession;;GSM2935013"
"SRP130972","SRR6495400","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935014: CTL_8_lineC_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;C|cell type;;Monolayer keratinocytes|source_name;;CTL_8hr_lineC|time;;8 hours|treatment;;CTL","GEO Accession;;GSM2935014"
"SRP130972","SRR6495401","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935015: CTL_8_lineA_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;A|cell type;;Monolayer keratinocytes|source_name;;CTL_8hr_lineA|time;;8 hours|treatment;;CTL","GEO Accession;;GSM2935015"
"SRP130972","SRR6495402","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935016: IL36A_8_lineB_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;B|cell type;;Monolayer keratinocytes|source_name;;IL36A_8hr_lineB|time;;8 hours|treatment;;IL36A","GEO Accession;;GSM2935016"
"SRP130972","SRR6495403","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935017: IL36A_8_lineC_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;C|cell type;;Monolayer keratinocytes|source_name;;IL36A_8hr_lineC|time;;8 hours|treatment;;IL36A","GEO Accession;;GSM2935017"
"SRP130972","SRR6495404","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935018: IL36A_8_lineA_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;A|cell type;;Monolayer keratinocytes|source_name;;IL36A_8hr_lineA|time;;8 hours|treatment;;IL36A","GEO Accession;;GSM2935018"
"SRP130972","SRR6495405","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935019: IL36B_8_lineB_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;B|cell type;;Monolayer keratinocytes|source_name;;IL36B_8hr_lineB|time;;8 hours|treatment;;IL36B","GEO Accession;;GSM2935019"
"SRP130972","SRR6495406","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935020: IL36B_8_lineC_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;C|cell type;;Monolayer keratinocytes|source_name;;IL36B_8hr_lineC|time;;8 hours|treatment;;IL36B","GEO Accession;;GSM2935020"
"SRP130972","SRR6495407","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935021: IL36B_8_lineA_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;A|cell type;;Monolayer keratinocytes|source_name;;IL36B_8hr_lineA|time;;8 hours|treatment;;IL36B","GEO Accession;;GSM2935021"
"SRP130972","SRR6495408","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935022: IL36G_8_lineB_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;B|cell type;;Monolayer keratinocytes|source_name;;IL36G_8hr_lineB|time;;8 hours|treatment;;IL36G","GEO Accession;;GSM2935022"
"SRP130972","SRR6495409","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935023: IL36G_8_lineC_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;C|cell type;;Monolayer keratinocytes|source_name;;IL36G_8hr_lineC|time;;8 hours|treatment;;IL36G","GEO Accession;;GSM2935023"
"SRP130972","SRR6495410","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935024: IL36G_8_lineA_batch3; Homo sapiens; RNA-Seq","batch;;3|cell line;;A|cell type;;Monolayer keratinocytes|source_name;;IL36G_8hr_lineA|time;;8 hours|treatment;;IL36G","GEO Accession;;GSM2935024"
"SRP130972","SRR6495411","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935025: CTL_24_lineB_batch4; Homo sapiens; RNA-Seq","batch;;4|cell line;;B|cell type;;Monolayer keratinocytes|source_name;;CTL_24hr_lineB|time;;24 hours|treatment;;CTL","GEO Accession;;GSM2935025"
"SRP130972","SRR6495412","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935026: CTL_24_lineC_batch4; Homo sapiens; RNA-Seq","batch;;4|cell line;;C|cell type;;Monolayer keratinocytes|source_name;;CTL_24hr_lineC|time;;24 hours|treatment;;CTL","GEO Accession;;GSM2935026"
"SRP130972","SRR6495413","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935027: CTL_24_lineA_batch4; Homo sapiens; RNA-Seq","batch;;4|cell line;;A|cell type;;Monolayer keratinocytes|source_name;;CTL_24hr_lineA|time;;24 hours|treatment;;CTL","GEO Accession;;GSM2935027"
"SRP130972","SRR6495414","RNA-seq analysis of IL-1B and IL-36 responses in epidermal keratinocytes identifies a shared MyD88-dependent gene signature","GSM2935028: IL36A_24_lineB_batch4; Homo sapiens; RNA-Seq","batch;;4|cell line;;B|cell type;;Monolayer keratinocytes|source_name;;IL36A_24hr_lineB|time;;24 hours|treatment;;IL36A","GEO Accession;;GSM2935028"
