"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"ERP017153","ERR1655140","IL-12 protects from psoriasiform skin inflammation","Illumina HiSeq 2500 sequencing","Alias;;NGS I HD1 TNFa|ENA checklist;;ERC000011|INSDC center name;;University of Zurich|INSDC first public;;2016-09-28T17:01:35Z|INSDC last update;;2016-09-22T16:07:34Z|INSDC status;;public|Sample Name;;ERS1361268|SRA accession;;ERS1361268|Title;;Keratinocytes human",NA
"ERP017153","ERR1655141","IL-12 protects from psoriasiform skin inflammation","Illumina HiSeq 2500 sequencing","Alias;;NGS I HD1 TNFa + IL12|ENA checklist;;ERC000011|INSDC center name;;University of Zurich|INSDC first public;;2016-09-28T17:01:35Z|INSDC last update;;2016-09-22T16:07:34Z|INSDC status;;public|Sample Name;;ERS1361269|SRA accession;;ERS1361269|Title;;Keratinocytes human",NA
"ERP017153","ERR1655143","IL-12 protects from psoriasiform skin inflammation","Illumina HiSeq 2500 sequencing","Alias;;NGS I HD2 TNFa + IL12|ENA checklist;;ERC000011|INSDC center name;;University of Zurich|INSDC first public;;2016-09-28T17:01:35Z|INSDC last update;;2016-09-22T16:07:34Z|INSDC status;;public|Sample Name;;ERS1361271|SRA accession;;ERS1361271|Title;;Keratinocytes human",NA
"ERP017153","ERR1655144","IL-12 protects from psoriasiform skin inflammation","Illumina HiSeq 2500 sequencing","Alias;;NGS II HD1 TNFa 1|ENA checklist;;ERC000011|INSDC center name;;University of Zurich|INSDC first public;;2016-09-28T17:01:35Z|INSDC last update;;2016-09-22T16:07:34Z|INSDC status;;public|Sample Name;;ERS1361272|SRA accession;;ERS1361272|Title;;Keratinocytes human",NA
"ERP017153","ERR1655145","IL-12 protects from psoriasiform skin inflammation","Illumina HiSeq 2500 sequencing","Alias;;NGS II HD1 TNFa 2|ENA checklist;;ERC000011|INSDC center name;;University of Zurich|INSDC first public;;2016-09-28T17:01:35Z|INSDC last update;;2016-09-22T16:07:34Z|INSDC status;;public|Sample Name;;ERS1361273|SRA accession;;ERS1361273|Title;;Keratinocytes human",NA
"ERP017153","ERR1655146","IL-12 protects from psoriasiform skin inflammation","Illumina HiSeq 2500 sequencing","Alias;;NGS II HD1 TNFa 3|ENA checklist;;ERC000011|INSDC center name;;University of Zurich|INSDC first public;;2016-09-28T17:01:35Z|INSDC last update;;2016-09-22T16:07:34Z|INSDC status;;public|Sample Name;;ERS1361274|SRA accession;;ERS1361274|Title;;Keratinocytes human",NA
"ERP017153","ERR1655148","IL-12 protects from psoriasiform skin inflammation","Illumina HiSeq 2500 sequencing","Alias;;NGS II HD1 TNFa + IL12 2|ENA checklist;;ERC000011|INSDC center name;;University of Zurich|INSDC first public;;2016-09-28T17:01:35Z|INSDC last update;;2016-09-22T16:07:34Z|INSDC status;;public|Sample Name;;ERS1361276|SRA accession;;ERS1361276|Title;;Keratinocytes human",NA
"ERP017153","ERR1655142","IL-12 protects from psoriasiform skin inflammation","Illumina HiSeq 2500 sequencing","Alias;;NGS I HD2 TNFa|ENA checklist;;ERC000011|INSDC center name;;University of Zurich|INSDC first public;;2016-09-28T17:01:35Z|INSDC last update;;2016-09-22T16:07:34Z|INSDC status;;public|Sample Name;;ERS1361270|SRA accession;;ERS1361270|Title;;Keratinocytes human",NA
"ERP017153","ERR1655147","IL-12 protects from psoriasiform skin inflammation","Illumina HiSeq 2500 sequencing","Alias;;NGS II HD1 TNFa + IL12 1|ENA checklist;;ERC000011|INSDC center name;;University of Zurich|INSDC first public;;2016-09-28T17:01:35Z|INSDC last update;;2016-09-22T16:07:34Z|INSDC status;;public|Sample Name;;ERS1361275|SRA accession;;ERS1361275|Title;;Keratinocytes human",NA
"ERP017153","ERR1655149","IL-12 protects from psoriasiform skin inflammation","Illumina HiSeq 2500 sequencing","Alias;;NGS II HD1 TNFa + IL12 3|ENA checklist;;ERC000011|INSDC center name;;University of Zurich|INSDC first public;;2016-09-28T17:01:35Z|INSDC last update;;2016-09-22T16:07:34Z|INSDC status;;public|Sample Name;;ERS1361277|SRA accession;;ERS1361277|Title;;Keratinocytes human",NA
